seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z,gx_est,gy_est,gz_est,g_norm_est
0,340059,0.0863978,1871,1757,1487,1693,1576,1364,-0.00508333333333364,-0.007966666666667,0.00140000000000024,0.00955343161149776
1,349296,0.0886203,1885,1749,1487,1691,1576,1364,-0.0117500000000003,-0.007966666666667,0.00140000000000024,0.0142650018499049
2,359295,0.090649,1892,1748,1488,1698,1575,1355,0.011583333333333,-0.0113000000000003,-0.0285999999999998,0.0328606696692429
3,369296,0.0926641,1892,1744,1488,1699,1579,1364,0.0149166666666664,0.002033333333333,0.00140000000000024,0.0151195697322668
4,379295,0.0962481,1895,1758,1488,1696,1586,1364,0.00491666666666636,0.0253666666666663,0.00140000000000024,0.0258766572201448
5,389296,0.0997158,1891,1751,1488,1695,1579,1364,0.00158333333333303,0.002033333333333,0.00140000000000024,0.00293281245375275
6,399295,0.1006621,1888,1744,1488,1695,1576,1364,0.00158333333333303,-0.007966666666667,0.00140000000000024,0.00824225225422198
7,409296,0.1012711,1892,1747,1484,1692,1580,1364,-0.00841666666666697,0.00536666666666633,0.00140000000000024,0.0100797514299159
8,419295,0.1018571,1890,1757,1481,1695,1591,1383,0.00158333333333303,0.042033333333333,0.0647333333333336,0.0771991742183814
9,429295,0.102386,1892,1746,1489,1700,1588,1368,0.0182499999999997,0.032033333333333,0.0147333333333336,0.0397022424499616
10,439295,0.1029797,1890,1746,1485,1697,1579,1366,0.0082499999999997,0.002033333333333,0.00806666666666691,0.0117161450808512
11,449295,0.1036278,1891,1753,1498,1696,1580,1380,0.00491666666666636,0.00536666666666633,0.0547333333333336,0.0552151473782333
12,459295,0.1046332,1885,1751,1488,1693,1579,1368,-0.00508333333333364,0.002033333333333,0.0147333333333336,0.0157176917304464
13,469295,0.105409,1887,1743,1488,1694,1575,1358,-0.0017500000000003,-0.0113000000000003,-0.0185999999999998,0.0218337468154231
14,479295,0.1060449,1891,1755,1488,1690,1576,1364,-0.0150833333333336,-0.007966666666667,0.00140000000000024,0.0171153358781602
15,489295,0.1067393,1887,1748,1488,1703,1579,1360,0.0282499999999997,0.002033333333333,-0.0119333333333331,0.0307343682038344
16,499295,0.1074479,1889,1751,1481,1692,1578,1366,-0.00841666666666697,-0.00130000000000033,0.00806666666666691,0.0117303618396407
17,509296,0.1082574,1889,1751,1497,1692,1572,1355,-0.00841666666666697,-0.0213000000000003,-0.0285999999999998,0.0366400092491498
18,519295,0.1092323,1890,1751,1488,1706,1581,1364,0.0382499999999997,0.00869999999999967,0.00140000000000024,0.0392519107815145
19,529295,0.1105895,1893,1748,1488,1694,1575,1367,-0.0017500000000003,-0.0113000000000003,0.0114000000000002,0.0161465940681004
20,539296,0.1123715,1890,1757,1489,1700,1579,1350,0.0182499999999997,0.002033333333333,-0.0452666666666664,0.0488494427353631
21,549295,0.1133034,1899,1742,1489,1688,1576,1364,-0.0217500000000003,-0.007966666666667,0.00140000000000024,0.0232053932907373
22,559295,0.1141109,1894,1754,1491,1688,1578,1363,-0.0217500000000003,-0.00130000000000033,-0.00193333333333309,0.0218744206272484
23,569295,0.1149229,1897,1745,1490,1696,1574,1364,0.00491666666666636,-0.0146333333333337,0.00140000000000024,0.0155005824263336
24,579295,0.1156986,1895,1755,1488,1690,1574,1365,-0.0150833333333336,-0.0146333333333337,0.00473333333333358,0.0215417230818093
25,589295,0.1168342,1895,1755,1485,1697,1573,1363,0.0082499999999997,-0.017966666666667,-0.00193333333333309,0.0198645762323009
26,599296,0.1178354,1892,1749,1491,1694,1578,1358,-0.0017500000000003,-0.00130000000000033,-0.0185999999999998,0.0187273196160047
27,609296,0.1186538,1888,1755,1487,1694,1583,1364,-0.0017500000000003,0.0153666666666663,0.00140000000000024,0.0155292287137654
28,619295,0.1194507,1891,1754,1488,1691,1576,1360,-0.0117500000000003,-0.007966666666667,-0.0119333333333331,0.0185454771365481
29,629295,0.1201719,1898,1755,1491,1696,1580,1369,0.00491666666666636,0.00536666666666633,0.0180666666666669,0.0194776581412312
30,639295,0.12086,1891,1753,1487,1698,1574,1361,0.011583333333333,-0.0146333333333337,-0.00859999999999976,0.0205491619185687
31,649295,0.1215021,1894,1745,1488,1710,1583,1364,0.051583333333333,0.0153666666666663,0.00140000000000024,0.0538417563069982
32,659295,0.1222255,1892,1749,1486,1695,1580,1366,0.00158333333333303,0.00536666666666633,0.00806666666666691,0.00981728917098127
33,669295,0.1228817,1888,1751,1495,1698,1580,1364,0.011583333333333,0.00536666666666633,0.00140000000000024,0.0128426913932482
34,679296,0.1235212,1887,1758,1488,1696,1575,1364,0.00491666666666636,-0.0113000000000003,0.00140000000000024,0.0124025646989289
35,689295,0.124225,1889,1757,1489,1697,1582,1360,0.0082499999999997,0.012033333333333,-0.0119333333333331,0.0188485557949551
36,699295,0.124942,1888,1757,1489,1692,1575,1363,-0.00841666666666697,-0.0113000000000003,-0.00193333333333309,0.0142220974386891
37,709295,0.1258649,1895,1747,1488,1696,1580,1364,0.00491666666666636,0.00536666666666633,0.00140000000000024,0.00741179615357953
38,719295,0.1274122,1883,1754,1489,1702,1576,1364,0.0249166666666664,-0.007966666666667,0.00140000000000024,0.0261967184119604
39,729295,0.128419,1894,1751,1486,1696,1579,1362,0.00491666666666636,0.002033333333333,-0.00526666666666642,0.00748637651559995
40,739295,0.1292827,1893,1751,1490,1704,1586,1364,0.031583333333333,0.0253666666666663,0.00140000000000024,0.0405331311672586
41,749295,0.1300912,1885,1744,1486,1679,1580,1360,-0.0517500000000003,0.00536666666666633,-0.0119333333333331,0.0533785355321367
42,759295,0.1309323,1888,1747,1487,1693,1574,1365,-0.00508333333333364,-0.0146333333333337,0.00473333333333358,0.0161981223191666
