sensor_id,seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z,gx_est,gy_est,gz_est,g_norm_est
2,116048,1160885730,0.5769297,2010,1910,2245,1725,1656,1915,-0.0185438596491228,0.00347368421052655,-0.00324561403508748,0.0191435425965411
1,125435,1254802834,0.5800227,1808,0,0,1627,142,142,0.00262886597938177,0,0,0.00262886597938177
2,116049,1160895730,0.581081,2010,1917,2245,1732,1655,1919,0.00478947368421056,0.000140350877193214,0.0100877192982459,0.0111678483684493
1,125436,1254812834,0.5816607,1807,0,0,1624,142,142,-0.00737113402061823,0,0,0.00737113402061823
2,116050,1160905730,0.5821212,2009,1915,2247,1733,1655,1912,0.00812280701754389,0.000140350877193214,-0.0132456140350875,0.0155385322144498
1,125437,1254822835,0.5825618,1808,0,0,1626,142,142,-0.000704467353951562,0,0,0.000704467353951562
2,116051,1160915730,0.5830005,2010,1916,2245,1730,1655,1914,-0.00187719298245611,0.000140350877193214,-0.00657894736842081,0.00684295991063535
1,125438,1254832834,0.5834662,1810,0,0,1626,142,142,-0.000704467353951562,0,0,0.000704467353951562
2,116052,1160925731,0.583951,2014,1919,2243,1730,1656,1917,-0.00187719298245611,0.00347368421052655,0.00342105263157919,0.0052243599221224
1,125439,1254842836,0.5844137,1811,0,0,1626,142,142,-0.000704467353951562,0,0,0.000704467353951562
2,116053,1160935729,0.5850032,2010,1917,2246,1730,1654,1917,-0.00187719298245611,-0.00319298245614012,0.00342105263157919,0.0050420820666304
1,125440,1254852834,0.585709,1810,0,0,1625,142,142,-0.0040378006872849,0,0,0.0040378006872849
2,116054,1160945731,0.5862703,2010,1918,2244,1731,1657,1916,0.00145614035087722,0.00680701754385988,8.77192982458534e-05,0.00696157505447968
1,125441,1254862834,0.586821,1807,0,0,1626,142,142,-0.000704467353951562,0,0,0.000704467353951562
2,116055,1160955731,0.5873567,2009,1915,2241,1732,1654,1916,0.00478947368421056,-0.00319298245614012,8.77192982458534e-05,0.00575689932274734
1,125442,1254872834,0.5879013,1808,0,0,1626,142,142,-0.000704467353951562,0,0,0.000704467353951562
2,116056,1160965730,0.588496,2013,1910,2251,1730,1651,1917,-0.00187719298245611,-0.0131929824561401,0.00342105263157919,0.0137579882500836
1,125443,1254882834,0.5891641,1808,0,0,1626,142,142,-0.000704467353951562,0,0,0.000704467353951562
2,116057,1160975731,0.5896919,2008,1915,2241,1730,1656,1915,-0.00187719298245611,0.00347368421052655,-0.00324561403508748,0.00511119809365678
1,125444,1254892834,0.5901223,1808,0,0,1626,142,142,-0.000704467353951562,0,0,0.000704467353951562
2,116058,1160985730,0.5905751,2013,1914,2243,1733,1658,1910,0.00812280701754389,0.0101403508771932,-0.0199122807017541,0.023776156806816
1,125445,1254902834,0.5910001,1808,0,0,1627,142,142,0.00262886597938177,0,0,0.00262886597938177
2,116059,1160995731,0.5914547,2008,1913,2245,1733,1655,1914,0.00812280701754389,0.000140350877193214,-0.00657894736842081,0.0104538146477465
1,125446,1254912835,0.5919215,1808,0,0,1626,142,142,-0.000704467353951562,0,0,0.000704467353951562
2,116060,1161005730,0.5923596,2012,1914,2242,1730,1658,1912,-0.00187719298245611,0.0101403508771932,-0.0132456140350875,0.0167868061456753
1,125447,1254922835,0.5928113,1807,0,0,1626,142,142,-0.000704467353951562,0,0,0.000704467353951562
2,116061,1161015729,0.5932349,2011,1913,2245,1730,1655,1914,-0.00187719298245611,0.000140350877193214,-0.00657894736842081,0.00684295991063535
1,125448,1254932835,0.5937031,1809,0,0,1625,142,142,-0.0040378006872849,0,0,0.0040378006872849
2,116062,1161025730,0.5941356,2016,1915,2244,1733,1658,1911,0.00812280701754389,0.0101403508771932,-0.0165789473684208,0.021063432901636
1,125449,1254942836,0.5947437,1808,0,0,1626,142,142,-0.000704467353951562,0,0,0.000704467353951562
2,116063,1161035729,0.5952036,2009,1918,2242,1730,1655,1916,-0.00187719298245611,0.000140350877193214,8.77192982458534e-05,0.00188447513578612
1,125450,1254952834,0.5956231,1808,0,0,1626,142,142,-0.000704467353951562,0,0,0.000704467353951562
2,116064,1161045731,0.5960235,2014,1917,2241,1730,1654,1916,-0.00187719298245611,-0.00319298245614012,8.77192982458534e-05,0.00370495413384374
1,125451,1254962835,0.5965039,1808,0,0,1627,142,142,0.00262886597938177,0,0,0.00262886597938177
2,116065,1161055731,0.5969462,2011,1914,2247,1731,1655,1915,0.00145614035087722,0.000140350877193214,-0.00324561403508748,0.0035600637009664
1,125452,1254972835,0.5973666,1808,0,0,1626,142,142,-0.000704467353951562,0,0,0.000704467353951562
2,116066,1161065731,0.5977837,2013,1917,2246,1731,1656,1917,0.00145614035087722,0.00347368421052655,0.00342105263157919,0.0050882637337258
1,125453,1254982835,0.5982047,1808,0,0,1626,142,142,-0.000704467353951562,0,0,0.000704467353951562
2,116067,1161075731,0.5986758,2010,1913,2244,1733,1656,1916,0.00812280701754389,0.00347368421052655,8.77192982458534e-05,0.00883482713549091
1,125454,1254992834,0.5994264,1807,0,0,1625,142,142,-0.0040378006872849,0,0,0.0040378006872849
2,116068,1161085731,0.5999362,2014,1917,2247,1728,1652,1917,-0.00854385964912278,-0.00985964912280679,0.00342105263157919,0.013487543128265
1,125455,1255002835,0.6005615,1809,0,0,1628,142,142,0.00596219931271511,0,0,0.00596219931271511
2,116069,1161095730,0.6017062,2011,1911,2250,1730,1657,1919,-0.00187719298245611,0.00680701754385988,0.0100877192982459,0.0123134650678028
1,125456,1255012835,0.6027131,1808,0,0,1626,142,142,-0.000704467353951562,0,0,0.000704467353951562
2,116070,1161105732,0.6035701,2011,1913,2244,1730,1655,1913,-0.00187719298245611,0.000140350877193214,-0.00991228070175415,0.01008944302588
1,125457,1255022835,0.605203,1810,0,0,1627,142,142,0.00262886597938177,0,0,0.00262886597938177
2,116071,1161115729,0.6063175,2009,1909,2240,1730,1655,1916,-0.00187719298245611,0.000140350877193214,8.77192982458534e-05,0.00188447513578612
1,125458,1255032835,0.6074069,1806,0,0,1626,142,142,-0.000704467353951562,0,0,0.000704467353951562
2,116072,1161125732,0.6083329,2007,1910,2243,1732,1654,1918,0.00478947368421056,-0.00319298245614012,0.00675438596491252,0.00887445349866522
1,125459,1255042834,0.6166356,1809,0,0,1624,142,142,-0.00737113402061823,0,0,0.00737113402061823
2,116073,1161135732,0.6172476,2007,1910,2249,1731,1657,1919,0.00145614035087722,0.00680701754385988,0.0100877192982459,0.0122563417545396
1,125460,1255052834,0.6176767,1809,0,0,1624,142,142,-0.00737113402061823,0,0,0.00737113402061823
2,116074,1161145730,0.6505144,2006,1913,2243,1730,1655,1918,-0.00187719298245611,0.000140350877193214,0.00675438596491252,0.00701179589157575
1,125461,1255062835,0.6512535,1809,0,0,1626,142,142,-0.000704467353951562,0,0,0.000704467353951562
2,116075,1161155731,0.6520136,2010,1914,2241,1733,1657,1917,0.00812280701754389,0.00680701754385988,0.00342105263157919,0.0111363855354739
1,125462,1255072834,0.652646,1808,0,0,1626,142,142,-0.000704467353951562,0,0,0.000704467353951562
