seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z,gx_est,gy_est,gz_est,g_norm_est
74470,745104746,0.4230016,3914,1904,0,3072,1705,142,-0.112984293193717,-0.013246073298429,0,0.113758116045895
74471,745114747,0.4299828,3907,1904,0,3069,1705,142,-0.122984293193717,-0.013246073298429,0,0.123695573203674
74472,745124747,0.4334669,3901,1903,0,3066,1700,142,-0.132984293193717,-0.0299127399650956,0,0.136306985325228
74473,745134745,0.4364115,3901,1895,0,3070,1695,142,-0.119650959860384,-0.0465794066317623,0,0.128397793274177
74474,745144746,0.4373261,3909,1904,0,3063,1705,142,-0.142984293193717,-0.013246073298429,0,0.14359654089822
74475,745154747,0.4383191,3897,1897,0,3065,1700,142,-0.136317626527051,-0.0299127399650956,0,0.139560980629214
74477,745174746,0.4389984,3895,1901,0,3069,1705,142,-0.122984293193717,-0.013246073298429,0,0.123695573203674
74478,745184747,0.4399229,3893,1903,0,3067,1702,142,-0.129650959860384,-0.023246073298429,0,0.131718454730212
74479,745194747,0.4426505,3898,1899,0,3068,1703,142,-0.126317626527051,-0.0199127399650956,0,0.12787751946431
74480,745204746,0.4461244,3904,1902,0,3070,1704,142,-0.119650959860384,-0.0165794066317623,0,0.120794159294945
74481,745214747,0.4468964,3902,1897,0,3066,1700,142,-0.132984293193717,-0.0299127399650956,0,0.136306985325228
74482,745224746,0.4475103,3898,1903,0,3069,1698,142,-0.122984293193717,-0.0365794066317623,0,0.128308960567413
74483,745234747,0.4481188,3904,1901,0,3070,1703,142,-0.119650959860384,-0.0199127399650956,0,0.12129661746491
74484,745244747,0.4488517,3899,1904,0,3065,1699,142,-0.136317626527051,-0.033246073298429,0,0.140313209256053
74485,745254746,0.5110522,3903,1904,0,3063,1706,142,-0.142984293193717,-0.00991273996509563,0,0.143327493921168
74486,745264747,0.511922,3905,1903,0,3066,1705,142,-0.132984293193717,-0.013246073298429,0,0.133642361151171
74487,745274747,0.5126718,3899,1901,0,3065,1704,142,-0.136317626527051,-0.0165794066317623,0,0.137322146889094
74488,745284747,0.5132772,3889,1898,0,3063,1698,142,-0.142984293193717,-0.0365794066317623,0,0.147589163184967
74489,745294746,0.5141921,3898,1897,0,3068,1703,142,-0.126317626527051,-0.0199127399650956,0,0.12787751946431
74490,745304747,0.5149813,3901,1904,0,3070,1698,142,-0.119650959860384,-0.0365794066317623,0,0.125117565453629
74491,745314746,0.5156848,3897,1901,0,3069,1705,142,-0.122984293193717,-0.013246073298429,0,0.123695573203674
74492,745324747,0.5219094,3899,1904,0,3067,1701,142,-0.129650959860384,-0.0265794066317623,0,0.132347407415542
74493,745334747,0.6909027,3899,1904,0,3066,1701,142,-0.132984293193717,-0.0265794066317623,0,0.135614479658808
74494,745344747,0.6919443,3893,1901,0,3067,1705,142,-0.129650959860384,-0.013246073298429,0,0.13032586025247
74495,745354747,0.6928779,3899,1899,0,3062,1700,142,-0.146317626527051,-0.0299127399650956,0,0.149343964875481
74496,745364747,0.6934998,3879,1898,0,3055,1700,142,-0.169650959860384,-0.0299127399650956,0,0.172267873365201
74497,745374745,0.6941497,3857,1895,0,3050,1698,142,-0.186317626527051,-0.0365794066317623,0,0.189874461010967
74498,745384746,0.6947676,3876,1901,0,3054,1704,142,-0.172984293193717,-0.0165794066317623,0,0.173776990467643
74499,745394746,0.6953648,3880,1902,0,3059,1701,142,-0.156317626527051,-0.0265794066317623,0,0.158561234921866
74500,745404748,0.6960378,4006,1904,0,3111,1705,142,0.0170157068062827,-0.013246073298429,0,0.0215636902209415
74501,745414751,0.6967383,3991,1905,0,3116,1713,142,0.0336823734729493,0.0134205933682377,0,0.0362576144985688
74502,745424746,0.6974658,4022,1911,0,3114,1709,142,0.0270157068062827,8.72600349043751e-05,0,0.0270158477297441
74503,745434747,0.6982353,4016,1905,0,3117,1713,142,0.0370157068062827,0.0134205933682377,0,0.0393735301531913
74504,745444747,0.6990729,4012,1907,0,3117,1713,142,0.0370157068062827,0.0134205933682377,0,0.0393735301531913
