window_id,t_start_s,t_end_s,n_samples,rms_x,rms_y,rms_z,std_x,std_y,std_z,ptp_x,ptp_y,ptp_z,norm_rms,norm_mean_abs,jerk_rms,motion_threshold,is_motion
1,0,0.989237,100,4.59771413569255,4.89343546601503,5.57136429442674,4.3587135531466,4.8242233896381,5.22483386232413,42,31,38,8.72495192163338,7.40940406453926,1217.08144654097,10.5746734583437,0
2,0.249237,1.239237,100,4.51061830920778,4.34912556451328,6.57978294054269,4.38965726556082,4.15463718042985,6.08611600947666,42,19,46,9.08592946549333,7.60187013824144,1234.72412301555,10.5746734583437,0
3,0.499237,1.489237,100,4.37451297553886,3.83377657045711,6.42844446446245,4.3010921798299,3.68145777011381,5.89828771592214,42,19,40,8.66943509105533,7.02967030355978,1154.52307829162,10.5746734583437,0
4,0.749237,1.739237,100,4.40488811862585,3.72040943926734,6.58325699081027,4.35221991422977,3.69159569669794,6.09416843292741,37,18,40,8.75121467800059,7.00445536789894,1190.06113375337,10.5746734583437,0
5,0.999237,1.989237,100,3.96614856132014,4.40746079506713,6.5386431203245,3.78741936607837,4.32521383835236,6.12722851646071,26,28,40,8.8266584235192,7.33261838378123,1194.72028184474,10.5746734583437,0
6,1.249237,2.239237,100,3.95537667438174,4.16343998578608,6.00073735885532,3.78901922226144,4.15973969659573,5.7261671211195,19,30,39,8.30590669351922,7.00744601073227,1159.6242018119,10.5746734583437,0
7,1.499237,2.489237,100,5.15729673020591,4.39897176265421,5.95818736399277,5.12569285782198,4.41552586753477,5.61387170814898,40,30,39,9.02489106839881,7.69018029825461,1257.41675492068,10.5746734583437,0
8,1.749237,2.739237,100,5.06856861423241,4.71027546728477,5.15283045158433,5.0537614754265,4.60753664547488,4.80845215440605,40,30,31,8.62720953945488,7.51445965581854,1179.06783146986,10.5746734583437,0
9,1.999237,2.989237,100,5.33114441113156,4.32133183847896,5.60023237051068,5.35671955999606,4.16598782348851,5.15703892801388,40,28,31,8.85763016807017,7.66553701009906,1158.23748968861,10.5746734583437,0
10,2.249237,3.239237,100,5.19555376895751,5.52349441990005,5.2730644356947,5.22171069921176,5.42283797629725,4.71190197287892,40,39,27,9.23623181366642,7.92381790479303,1259.5898726249,10.5746734583437,0
11,2.499237,3.489237,100,4.37520206800256,5.92998592036631,5.61882055941673,4.35888735687205,5.59555198530065,5.16862133113333,31,42,44,9.26705296361905,7.92657737222103,1246.57105450888,10.5746734583437,0
12,2.749237,3.739237,100,5.1243616233622,5.69306267123759,5.80541208505097,5.13970482192953,5.33734697460009,5.43816479739593,32,42,44,9.61107975738844,8.24320945974561,1292.79224135514,10.5746734583437,0
13,2.999237,3.989237,100,6.01950151379048,5.57160339403665,5.37692768711505,6.02750429952631,5.30571447220882,4.96471387276083,48,42,36,9.80757432841735,8.32564267681545,1363.92887711281,10.5746734583437,0
14,3.249237,4.239238,100,6.27723550134679,4.95244400786567,5.63642285470513,6.22223935784077,4.40728276993222,5.43072999538996,48,37,37,9.78261978140086,8.26282210631579,1307.20633739717,10.5746734583437,0
15,3.499237,4.489237,100,6.4604728591174,4.42272187136818,6.19546127485168,6.44714328719756,4.11121894480472,6.04798989898146,46,33,48,9.98408326903666,8.28007389900146,1344.91218844701,10.5746734583437,0
16,3.749237,4.739237,100,5.90590621740174,4.31822015511426,5.82097418034016,5.909237760413,4.05786429372184,5.65974621981651,46,33,48,9.34935794399628,7.6966117343311,1242.83859936751,10.5746734583437,0
