parameter,value
A_mv_1_1,-2.49226881344327e-05
A_mv_1_2,-0.118548102336875
A_mv_1_3,0.117819556513808
A_mv_2_1,-4.71420966755529e-06
A_mv_2_2,0.118720799554594
A_mv_2_3,-0.115659348541023
A_mv_3_1,0.000108137454964368
A_mv_3_2,-0.136484664788709
A_mv_3_3,0.139118748753612
c_mv_1,1.07228423644641
c_mv_2,-4.207539245611
c_mv_3,-3.90704918334943
M_mv_1_1,-2.49226881344327e-05
M_mv_1_2,-0.118548102336875
M_mv_1_3,0.117819556513808
M_mv_2_1,-4.71420966755529e-06
M_mv_2_2,0.118720799554594
M_mv_2_3,-0.115659348541023
M_mv_3_1,0.000108137454964368
M_mv_3_2,-0.136484664788709
M_mv_3_3,0.139118748753612
b_mv_1,2621.21554577662
b_mv_2,1377.25487114935
b_mv_3,1377.22462816341
rmse_x,0.5634547789422
rmse_y,0.418587612077213
rmse_z,0.40239322848109
rmse_overall,0.467124960877615
cond_A,5393.79065164374
rcond_A,0.000177428488994304
