parameter,value
A_mv_1_1,-2.62984049668466e-05
A_mv_1_2,-0.103439078624501
A_mv_1_3,0.102738270363667
A_mv_2_1,-3.34994497625156e-06
A_mv_2_2,0.103738681584678
A_mv_2_3,-0.10070473875434
A_mv_3_1,0.000106533502431263
A_mv_3_2,-0.11886783119719
A_mv_3_3,0.121534251286961
c_mv_1,1.03723249096872
c_mv_2,-4.17277722602166
c_mv_3,-3.94791177123228
M_mv_1_1,-2.62984049668466e-05
M_mv_1_2,-0.103439078624501
M_mv_1_3,0.102738270363667
M_mv_2_1,-3.34994497625156e-06
M_mv_2_2,0.103738681584678
M_mv_2_3,-0.10070473875434
M_mv_3_1,0.000106533502431263
M_mv_3_2,-0.11886783119719
M_mv_3_3,0.121534251286961
b_mv_1,2621.2155457764
b_mv_2,1377.25487114936
b_mv_3,1377.22462816341
lambda,1
rmse_overall,0.467331135628494
cond_A,4704.86562670173
rcond_A,0.000203390294183716
cv_mean_abs_gnorm_err,0.382783998399344
cv_avg_pair_dominance_ratio,1.09369856645906
cv_pair_axis_match_count,1.33333333333333
cv_pair_sign_opposition_count,2
score_global,0.602186884867056
