model,parameter,value
mv,m11,-0.0028371736080768
mv,m12,0.000395737539940927
mv,m13,-0.000390709106891723
mv,m21,9.81957110825844e-05
mv,m22,-0.0034178092875444
mv,m23,0.00150446290302085
mv,m31,2.32487219844002e-05
mv,m32,-0.000786065725434014
mv,m33,0.00499147934931398
mv,b1,1743.4701582091
mv,b2,1649.75721431537
mv,b3,1680.35071444124
mv,c1,4.95018498475159
mv,c2,2.93932892340241
mv,c3,-7.13115174227393
raw,m11,-0.00234186008718093
raw,m12,0.000325423216114337
raw,m13,-0.000323982754599955
raw,m21,7.81241068670098e-05
raw,m22,-0.00282040644405844
raw,m23,0.00124553296528342
raw,m31,1.9485779828737e-05
raw,m32,-0.00065151669517996
raw,m33,0.00411972468786025
raw,b1,1938.52655186496
raw,b2,1825.11679499043
raw,b3,1862.03130776855
raw,c1,4.54908861478516
raw,c2,2.67690413803234
raw,c3,-6.51973598717499
