seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
0,340060,1840,1805,1302,1653,1619,1218
1,349297,1842,1779,1303,1653,1618,1211
2,359298,1841,1804,1304,1667,1617,1210
3,369297,1841,1799,1311,1652,1622,1215
4,379298,1837,1798,1304,1640,1624,1212
5,389298,1840,1799,1302,1650,1626,1218
6,399298,1840,1785,1312,1653,1613,1210
7,409298,1840,1795,1310,1675,1618,1208
8,419298,1843,1793,1311,1632,1613,1215
9,429298,1841,1797,1303,1654,1617,1212
10,439298,1840,1801,1311,1660,1619,1223
11,449298,1840,1793,1307,1652,1625,1218
12,459297,1842,1798,1301,1661,1614,1212
13,469298,1835,1802,1306,1651,1622,1216
14,479297,1837,1791,1307,1654,1618,1215
15,489297,1840,1770,1311,1655,1618,1213
16,499298,1842,1808,1305,1653,1615,1206
17,509297,1840,1802,1309,1653,1622,1223
18,519297,1841,1798,1305,1653,1621,1214
19,529298,1842,1795,1305,1661,1619,1210
20,539298,1846,1797,1306,1653,1623,1208
21,549298,1840,1792,1301,1654,1619,1213
22,559298,1840,1799,1302,1651,1626,1218
23,569297,1840,1817,1306,1664,1618,1217
24,579297,1840,1802,1313,1649,1622,1218
25,589298,1858,1808,1312,1648,1622,1232
26,599297,1842,1796,1311,1653,1621,1215
27,609297,1842,1805,1326,1644,1626,1216
28,619298,1845,1804,1312,1675,1612,1214
29,629297,1840,1797,1314,1650,1629,1218
30,639298,1845,1801,1303,1653,1626,1218
31,649297,1847,1802,1302,1654,1614,1213
32,659298,1842,1799,1311,1657,1619,1220
33,669298,1845,1804,1297,1658,1621,1217
34,679297,1843,1807,1308,1652,1624,1220
35,689298,1839,1813,1305,1653,1626,1219
36,699298,1842,1806,1299,1650,1614,1218
37,709298,1840,1799,1315,1654,1617,1208
38,719298,1847,1797,1301,1655,1612,1212
39,729297,1843,1798,1300,1657,1622,1216
40,739298,1844,1814,1310,1655,1615,1206
41,749298,1839,1795,1300,1653,1617,1206
42,759298,1843,1801,1304,1653,1629,1206
43,769297,1840,1803,1306,1655,1614,1204
44,779297,1843,1792,1296,1658,1617,1211
45,789298,1844,1805,1310,1654,1619,1214
46,799298,1840,1797,1306,1653,1625,1208
47,809298,1840,1801,1299,1653,1596,1206
48,819297,1840,1802,1310,1656,1619,1211
49,829297,1841,1795,1314,1653,1626,1218
50,839297,1849,1797,1317,1656,1616,1215
51,849297,1838,1806,1321,1653,1619,1212
52,859298,1840,1803,1307,1653,1622,1224
53,869297,1840,1798,1297,1664,1619,1214
54,879298,1843,1798,1302,1656,1619,1223
55,889298,1840,1805,1303,1653,1615,1218
56,899298,1839,1802,1301,1653,1617,1218
57,909298,1845,1803,1305,1649,1621,1206
58,919297,1846,1798,1309,1649,1624,1213
59,929297,1851,1793,1316,1657,1615,1212
60,939297,1840,1803,1309,1657,1624,1208
61,949298,1846,1794,1310,1649,1626,1217
62,959298,1837,1798,1307,1657,1619,1214
63,969298,1846,1799,1312,1658,1613,1220
64,979298,1842,1797,1307,1665,1626,1220
65,989297,1840,1807,1298,1658,1621,1214
66,999297,1841,1799,1311,1653,1622,1215
67,1009298,1842,1807,1309,1654,1619,1213
68,1019297,1840,1798,1301,1635,1619,1211
69,1029298,1839,1800,1310,1650,1614,1214
70,1039297,1845,1808,1305,1652,1621,1228
71,1049298,1845,1808,1311,1653,1622,1218
72,1059297,1843,1797,1303,1638,1623,1218
73,1069297,1840,1799,1299,1653,1621,1217
74,1079297,1845,1802,1303,1652,1626,1208
75,1089297,1841,1796,1309,1653,1624,1217
76,1099298,1839,1799,1301,1653,1617,1211
