seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
0,342270,1825,1671,577,1636,1528,619
1,351400,1808,1680,627,1636,1527,621
2,361400,1809,1680,578,1638,1480,618
3,371400,1814,1680,560,1647,1526,592
4,381400,1810,1682,582,1668,1530,605
5,391400,1810,1679,581,1636,1529,620
6,401400,1808,1678,661,1644,1532,618
7,411400,1809,1680,576,1636,1528,618
8,421400,1813,1677,581,1636,1531,618
9,431400,1803,1678,579,1636,1530,620
10,441401,1809,1677,587,1636,1532,646
11,451400,1751,1680,678,1636,1530,622
12,461400,1811,1677,576,1643,1529,622
13,471400,1808,1680,613,1636,1526,602
14,481400,1795,1680,577,1645,1527,621
15,491400,1781,1677,579,1636,1527,622
16,501400,1814,1677,578,1641,1530,619
17,511400,1749,1678,578,1636,1527,619
18,521401,1808,1678,579,1640,1532,619
19,531399,1809,1679,578,1635,1512,619
20,541400,1808,1678,571,1641,1529,624
21,551400,1808,1673,586,1641,1532,620
22,561400,1809,1680,572,1640,1527,618
23,571400,1815,1680,577,1636,1527,577
24,581400,1815,1681,576,1636,1529,627
25,591400,1830,1680,585,1627,1530,620
26,601400,1808,1679,576,1640,1556,617
27,611400,1810,1680,610,1571,1529,631
28,621400,1829,1678,576,1616,1526,621
29,631400,1808,1680,511,1636,1530,586
30,641400,1822,1678,511,1637,1529,618
31,651401,1814,1667,580,1636,1529,621
32,661400,1808,1680,572,1621,1529,623
33,671400,1808,1680,592,1636,1534,621
34,681400,1811,1680,578,1636,1530,629
35,691400,1826,1673,579,1637,1530,620
36,701400,1809,1681,578,1633,1527,618
37,711400,1812,1680,510,1641,1530,620
38,721400,1801,1675,579,1638,1530,631
39,731400,1808,1680,576,1639,1528,619
40,741400,1814,1679,579,1641,1514,618
41,751399,1823,1679,582,1636,1530,623
42,761400,1810,1679,583,1652,1522,614
43,771400,1744,1679,577,1636,1530,618
44,781400,1810,1680,578,1640,1480,620
45,791400,1808,1680,583,1638,1530,623
46,801400,1814,1680,576,1636,1522,621
47,811400,1808,1680,578,1639,1530,629
48,821400,1818,1675,579,1637,1527,620
49,831400,1809,1680,580,1636,1530,622
50,841400,1811,1680,582,1637,1530,605
51,851400,1802,1680,577,1627,1530,632
52,861400,1810,1678,583,1641,1532,620
53,871400,1809,1680,641,1599,1524,624
54,881400,1808,1680,578,1636,1528,619
55,891400,1808,1679,572,1639,1524,620
56,901400,1808,1680,570,1636,1530,618
57,911400,1808,1679,579,1636,1527,620
58,921400,1810,1680,544,1636,1526,624
59,931400,1819,1682,579,1636,1530,628
60,941400,1809,1680,578,1637,1530,624
61,951400,1807,1680,579,1637,1521,619
62,961400,1813,1679,605,1644,1528,616
63,971400,1810,1680,532,1628,1530,634
64,981400,1808,1680,586,1633,1530,622
65,991400,1809,1678,577,1641,1529,622
66,1001400,1808,1680,576,1636,1527,624
67,1011400,1808,1680,582,1637,1527,623
68,1021400,1813,1679,583,1635,1530,623
69,1031400,1809,1679,578,1640,1539,624
70,1041401,1809,1680,579,1639,1530,623
71,1051400,1810,1680,577,1636,1540,622
72,1061400,1815,1680,580,1638,1530,622
73,1071400,1808,1682,579,1631,1527,627
74,1081401,1809,1680,582,1640,1528,620
75,1091400,1808,1680,576,1663,1530,623
76,1101400,1808,1679,579,1641,1525,618
77,1111400,1808,1681,583,1636,1548,618
78,1121400,1808,1680,559,1637,1523,631
79,1131400,1802,1680,586,1675,1530,627
80,1141400,1818,1679,528,1634,1531,621
81,1151400,1831,1677,582,1636,1529,624
82,1161400,1809,1677,587,1636,1530,620
83,1171401,1797,1677,578,1636,1530,627
84,1181399,1812,1682,576,1636,1532,621
85,1191400,1806,1680,581,1636,1529,619
86,1201400,1822,1681,585,1632,1530,623
87,1211400,1812,1680,533,1638,1530,623
88,1221400,1810,1676,609,1636,1530,615
89,1231400,1882,1679,586,1636,1530,631
90,1241401,1808,1680,582,1638,1529,623
91,1251400,1831,1678,590,1636,1532,623
92,1261400,1808,1680,583,1639,1475,624
93,1271400,1808,1679,584,1640,1532,618
94,1281399,1809,1680,584,1641,1530,622
95,1291400,1811,1680,586,1643,1542,626
96,1301400,1815,1680,592,1637,1530,624
97,1311400,1808,1679,583,1643,1528,622
98,1321401,1808,1678,579,1636,1518,634
99,1331400,1811,1677,583,1635,1531,625
100,1341401,1809,1680,581,1636,1532,615
101,1351399,1809,1681,524,1623,1519,626
102,1361400,1808,1680,581,1641,1569,623
103,1371400,1807,1680,651,1623,1530,577
104,1381400,1847,1678,622,1746,1527,620
105,1391400,1796,1680,586,1638,1530,631
106,1401400,1808,1681,583,1638,1553,622
107,1411400,1808,1680,579,1700,1530,626
108,1421400,1809,1680,581,1627,1531,623
109,1431401,1815,1680,586,1636,1541,620
110,1441400,1809,1680,582,1634,1509,620
111,1451400,1825,1680,585,1636,1534,625
112,1461399,1809,1679,583,1636,1530,625
113,1471400,1809,1678,581,1637,1530,623
114,1481400,1808,1680,560,1635,1532,622
115,1491400,1817,1677,586,1636,1556,625
116,1501400,1833,1680,579,1636,1522,621
117,1511401,1811,1677,544,1643,1531,564
118,1521400,1807,1681,582,1648,1527,619
119,1531400,1812,1679,577,1641,1532,630
120,1541399,1808,1680,511,1636,1531,658
121,1551400,1808,1678,577,1637,1528,629
122,1561400,1811,1680,574,1636,1528,617
123,1571400,1811,1679,580,1641,1495,609
124,1581400,1811,1679,579,1637,1528,620
125,1591400,1808,1678,579,1640,1530,615
126,1601399,1873,1679,578,1636,1529,618
127,1611399,1809,1678,577,1648,1530,625
128,1621400,1811,1680,578,1638,1529,629
129,1631400,1811,1680,534,1637,1530,609
130,1641400,1799,1675,573,1627,1530,620
131,1651400,1810,1680,583,1639,1530,623
132,1661400,1808,1678,581,1638,1527,620
133,1671400,1808,1679,579,1584,1530,620
134,1681400,1813,1680,581,1637,1532,620
135,1691400,1810,1680,578,1638,1526,621
136,1701400,1835,1677,579,1640,1530,620
137,1711400,1815,1681,576,1635,1529,619
138,1721400,1808,1675,554,1636,1532,610
139,1731400,1740,1681,574,1636,1534,620
140,1741401,1808,1680,579,1637,1479,622
141,1751400,1805,1677,579,1634,1530,610
142,1761400,1809,1680,592,1594,1530,620
143,1771400,1808,1680,583,1636,1533,618
144,1781399,1811,1678,577,1639,1527,620
145,1791400,1810,1675,555,1653,1527,595
146,1801400,1794,1677,576,1637,1531,618
147,1811399,1821,1679,574,1635,1530,618
148,1821400,1809,1680,537,1641,1529,621
149,1831400,1808,1678,581,1636,1530,620
150,1841400,1809,1680,587,1638,1529,620
151,1851400,1807,1678,578,1637,1529,648
152,1861400,1854,1681,677,1638,1530,579
153,1871400,1805,1679,588,1636,1538,618
154,1881400,1812,1680,576,1635,1552,622
155,1891400,1821,1680,581,1640,1463,620
156,1901400,1808,1679,577,1636,1537,619
157,1911401,1830,1680,594,1637,1530,620
158,1921400,1814,1680,581,1640,1522,620
159,1931400,1810,1675,585,1636,1528,618
160,1941401,1831,1679,581,1643,1530,618
161,1951400,1808,1679,579,1636,1528,627
162,1961400,1814,1685,580,1636,1529,620
163,1971400,1809,1677,578,1636,1527,623
164,1981400,1813,1681,576,1636,1527,620
165,1991400,1807,1678,576,1637,1529,627
166,2001399,1815,1679,577,1640,1527,618
167,2011400,1819,1680,577,1636,1530,620
168,2021399,1808,1680,578,1645,1517,623
169,2031400,1810,1675,573,1635,1522,619
170,2041400,1809,1679,573,1608,1522,620
171,2051400,1815,1678,577,1634,1528,619
172,2061401,1809,1681,573,1641,1528,620
173,2071400,1808,1680,576,1634,1530,620
174,2081400,1808,1679,583,1636,1528,624
175,2091400,1811,1679,579,1636,1530,645
176,2101399,1814,1680,530,1628,1532,620
177,2111400,1808,1680,581,1636,1551,622
178,2121400,1806,1679,569,1622,1531,641
179,2131400,1806,1680,563,1641,1530,577
180,2141400,1819,1678,577,1636,1530,621
181,2151401,1805,1677,558,1627,1528,619
182,2161400,1807,1680,613,1636,1534,647
183,2171400,1810,1678,576,1634,1528,618
184,2181399,1810,1680,577,1636,1526,615
185,2191400,1814,1680,578,1636,1530,628
186,2201400,1810,1679,577,1636,1529,621
187,2211400,1813,1680,581,1639,1530,619
188,2221400,1805,1674,598,1636,1530,564
189,2231400,1810,1680,581,1639,1528,622
190,2241400,1810,1680,628,1641,1534,624
191,2251400,1813,1680,577,1638,1526,623
192,2261400,1807,1680,580,1651,1539,621
193,2271399,1808,1678,578,1636,1527,589
194,2281400,1809,1680,576,1640,1529,622
195,2291400,1762,1678,540,1608,1529,618
196,2301400,1817,1675,576,1636,1556,617
197,2311400,1808,1680,572,1631,1529,626
198,2321400,1808,1679,578,1636,1530,620
199,2331400,1810,1680,580,1632,1534,618
200,2341400,1811,1680,574,1636,1571,620
201,2351401,1811,1681,576,1632,1527,670
202,2361400,1821,1681,579,1644,1530,618
203,2371400,1808,1680,579,1636,1529,618
204,2381400,1812,1680,577,1638,1526,621
205,2391400,1808,1680,611,1617,1527,564
206,2401401,1811,1680,577,1635,1532,621
207,2411400,1810,1681,579,1641,1506,619
208,2421399,1808,1680,577,1581,1539,619
209,2431400,1813,1680,576,1637,1527,620
210,2441400,1813,1679,582,1636,1463,622
211,2451400,1808,1680,577,1636,1526,623
212,2461400,1810,1678,586,1637,1499,620
213,2471400,1809,1679,579,1637,1527,632
214,2481399,1809,1680,583,1637,1530,620
215,2491400,1807,1680,576,1637,1535,563
216,2501400,1813,1681,565,1701,1530,619
217,2511400,1813,1679,578,1635,1530,619
218,2521401,1804,1680,584,1598,1527,635
219,2531399,1823,1679,583,1639,1528,609
220,2541401,1808,1679,578,1635,1530,620
221,2551400,1808,1679,576,1636,1530,620
222,2561400,1809,1680,586,1670,1521,658
223,2571400,1809,1677,581,1633,1535,623
224,2581400,1808,1679,583,1636,1530,624
225,2591400,1811,1680,579,1637,1470,626
226,2601399,1813,1678,583,1637,1560,623
227,2611401,1761,1674,570,1636,1530,624
228,2621400,1808,1681,583,1636,1530,610
229,2631400,1810,1676,583,1641,1551,620
230,2641400,1808,1680,555,1636,1530,657
231,2651400,1808,1675,532,1608,1531,626
232,2661399,1811,1677,582,1636,1530,622
233,2671400,1809,1675,586,1635,1501,624
234,2681401,1808,1695,581,1636,1529,627
235,2691400,1808,1677,630,1636,1532,622
236,2701400,1810,1680,591,1636,1525,629
237,2711400,1812,1682,589,1636,1532,642
238,2721400,1813,1679,585,1638,1546,627
239,2731400,1813,1682,586,1636,1526,620
240,2741399,1853,1680,582,1636,1530,628
241,2751400,1811,1678,592,1636,1541,627
242,2761400,1810,1676,586,1641,1489,627
243,2771400,1809,1680,587,1640,1530,615
244,2781400,1808,1680,609,1608,1531,625
245,2791400,1809,1679,587,1638,1528,626
246,2801400,1811,1680,576,1641,1527,627
247,2811400,1808,1682,583,1639,1535,624
248,2821400,1809,1680,592,1641,1530,631
249,2831400,1808,1677,587,1639,1532,624
250,2841400,1815,1678,586,1634,1532,623
251,2851400,1809,1677,585,1636,1529,651
252,2861400,1808,1677,587,1637,1530,625
253,2871400,1813,1679,586,1636,1550,627
254,2881400,1819,1681,620,1597,1530,628
255,2891400,1797,1673,576,1636,1528,629
256,2901400,1813,1680,589,1627,1530,620
257,2911400,1812,1683,611,1632,1526,609
258,2921400,1808,1682,587,1636,1529,622
259,2931400,1811,1677,576,1636,1529,626
260,2941400,1808,1676,587,1636,1532,620
261,2951400,1808,1671,587,1636,1529,629
262,2961400,1812,1680,581,1636,1530,624
263,2971400,1808,1680,542,1607,1531,622
264,2981400,1827,1638,592,1624,1526,700
265,2991400,1823,1695,597,1632,1529,626
266,3001399,1809,1678,594,1636,1529,627
267,3011400,1811,1635,587,1636,1530,628
268,3021400,1808,1687,567,1636,1522,618
269,3031400,1811,1680,593,1641,1529,629
270,3041400,1819,1662,592,1638,1532,627
271,3051400,1812,1680,589,1636,1518,620
272,3061400,1842,1680,587,1630,1528,629
273,3071400,1809,1678,585,1646,1528,627
274,3081400,1810,1680,583,1640,1513,627
275,3091400,1803,1686,591,1636,1528,631
276,3101400,1814,1679,582,1636,1530,627
277,3111400,1809,1680,593,1636,1530,624
278,3121401,1808,1680,592,1600,1527,644
279,3131399,1844,1681,586,1617,1534,631
280,3141400,1808,1679,592,1639,1532,626
281,3151399,1810,1686,577,1636,1531,625
282,3161400,1811,1680,596,1574,1528,578
283,3171400,1806,1670,582,1636,1529,627
284,3181400,1813,1680,587,1637,1562,624
285,3191400,1810,1678,576,1587,1527,627
286,3201400,1749,1680,590,1634,1531,631
287,3211400,1813,1675,590,1635,1539,631
288,3221401,1810,1680,589,1636,1522,628
289,3231400,1808,1680,590,1636,1531,629
290,3241400,1809,1680,587,1636,1521,624
291,3251400,1809,1680,529,1653,1526,622
292,3261400,1809,1680,586,1636,1530,679
293,3271400,1812,1679,591,1636,1530,626
294,3281400,1808,1653,586,1641,1530,627
295,3291400,1809,1680,587,1636,1532,625
296,3301400,1808,1679,587,1636,1543,626
297,3311400,1810,1677,587,1607,1522,629
298,3321400,1808,1681,590,1637,1530,624
299,3331400,1812,1680,592,1637,1517,631
300,3341400,1813,1673,591,1644,1530,626
301,3351400,1810,1671,588,1636,1529,629
302,3361400,1808,1680,592,1642,1531,624
303,3371400,1809,1679,590,1641,1534,625
304,3381400,1813,1677,587,1637,1527,629
305,3391400,1805,1719,585,1641,1530,630
306,3401400,1809,1826,592,1635,1530,624
307,3411400,1815,1680,592,1637,1532,629
308,3421400,1808,1681,619,1649,1522,630
309,3431400,1808,1680,592,1636,1530,628
310,3441400,1808,1680,591,1639,1530,632
311,3451400,1807,1669,585,1637,1533,629
312,3461400,1810,1614,587,1636,1532,625
313,3471400,1808,1645,590,1638,1530,615
314,3481401,1810,1676,579,1636,1530,631
315,3491399,1808,1684,591,1636,1530,630
316,3501399,1808,1728,587,1636,1584,631
317,3511400,1809,1675,622,1637,1530,631
318,3521400,1807,1696,578,1636,1529,629
319,3531400,1811,1666,592,1634,1520,626
320,3541400,1807,1679,559,1661,1530,627
321,3551401,1808,1678,592,1636,1530,631
322,3561400,1809,1817,589,1636,1456,631
323,3571400,1808,1676,586,1636,1530,631
324,3581400,1811,1666,591,1636,1526,630
325,3591400,1811,1648,592,1641,1519,629
326,3601400,1811,1681,589,1637,1530,620
327,3611400,1809,1699,592,1638,1530,630
328,3621400,1808,1679,589,1633,1470,629
329,3631400,1811,1682,592,1636,1528,635
330,3641400,1808,1680,591,1663,1528,637
331,3651400,1813,1681,599,1637,1528,631
332,3661401,1810,1681,540,1636,1529,629
333,3671400,1811,1601,590,1635,1529,631
334,3681400,1810,1679,592,1638,1520,631
335,3691400,1813,1680,530,1669,1530,629
336,3701400,1811,1680,592,1594,1531,631
337,3711400,1813,1680,598,1636,1543,631
338,3721400,1808,1680,592,1638,1535,639
339,3731400,1805,1678,592,1637,1530,631
340,3741400,1809,1686,592,1636,1530,631
341,3751401,1808,1666,591,1636,1530,631
342,3761400,1808,1690,593,1648,1530,629
343,3771400,1807,1680,587,1637,1532,627
344,3781400,1809,1716,592,1640,1532,632
345,3791400,1809,1681,592,1636,1546,635
346,3801400,1808,1734,592,1636,1464,631
347,3811401,1808,1694,592,1600,1531,631
348,3821400,1807,1687,599,1633,1526,634
349,3831400,1808,1680,593,1638,1624,636
350,3841401,1808,1682,593,1636,1525,648
351,3851400,1808,1685,592,1651,1529,631
352,3861400,1807,1683,607,1641,1530,640
353,3871400,1808,1678,595,1645,1529,631
354,3881400,1810,1680,596,1635,1532,633
355,3891400,1814,1677,593,1636,1527,632
356,3901400,1809,1674,611,1635,1528,632
357,3911400,1811,1680,592,1640,1532,631
358,3921400,1808,1680,593,1640,1530,634
359,3931400,1813,1680,591,1636,1522,636
360,3941400,1812,1680,597,1639,1534,631
361,3951399,1814,1678,541,1663,1531,623
362,3961400,1811,1680,593,1641,1530,636
363,3971400,1812,1680,599,1637,1544,629
364,3981401,1810,1680,593,1636,1530,632
365,3991399,1809,1687,603,1649,1530,579
366,4001400,1809,1680,613,1640,1529,632
367,4011400,1808,1683,596,1630,1530,658
368,4021400,1808,1618,591,1641,1530,631
369,4031400,1809,1666,601,1639,1530,635
370,4041400,1808,1686,597,1637,1530,635
371,4051400,1808,1677,601,1634,1529,632
372,4061400,1810,1722,583,1610,1532,658
373,4071400,1809,1678,614,1636,1532,624
374,4081400,1809,1680,605,1640,1526,642
375,4091400,1808,1680,595,1636,1527,668
376,4101400,1808,1687,597,1636,1527,632
377,4111400,1810,1640,594,1636,1532,631
378,4121400,1808,1685,592,1636,1528,594
379,4131400,1809,1680,595,1636,1536,633
380,4141400,1808,1680,594,1636,1524,631
381,4151401,1808,1679,581,1636,1530,586
382,4161400,1810,1685,592,1638,1528,634
383,4171400,1809,1687,603,1641,1532,631
384,4181400,1809,1680,599,1640,1531,634
385,4191400,1810,1685,595,1644,1530,640
386,4201400,1808,1682,589,1641,1520,632
387,4211400,1810,1680,595,1637,1530,634
388,4221400,1808,1679,592,1640,1530,633
389,4231400,1808,1680,595,1621,1530,631
390,4241400,1809,1680,597,1638,1529,635
391,4251400,1810,1683,594,1636,1524,631
392,4261400,1810,1680,592,1631,1530,632
393,4271400,1808,1680,592,1637,1525,636
394,4281400,1809,1806,592,1640,1531,634
395,4291400,1811,1695,595,1636,1532,629
396,4301400,1810,1682,598,1640,1525,683
397,4311399,1808,1681,624,1641,1531,633
398,4321400,1809,1686,592,1636,1530,631
399,4331400,1812,1681,607,1637,1524,633
400,4341401,1809,1680,595,1635,1530,632
401,4351400,1811,1680,601,1636,1528,633
402,4361400,1810,1682,594,1653,1527,634
403,4371400,1808,1678,599,1638,1556,639
404,4381400,1808,1680,595,1637,1532,631
405,4391399,1810,1665,595,1635,1530,640
406,4401400,1811,1681,607,1643,1533,635
407,4411400,1813,1678,586,1636,1530,634
408,4421400,1808,1680,602,1622,1534,582
409,4431400,1813,1683,595,1639,1531,622
410,4441400,1808,1678,596,1637,1538,631
411,4451399,1808,1680,576,1633,1532,636
412,4461400,1813,1675,597,1621,1531,634
413,4471400,1808,1680,599,1636,1529,634
414,4481400,1809,1669,592,1641,1530,639
415,4491400,1809,1681,599,1636,1527,632
416,4501400,1808,1675,592,1636,1526,634
417,4511400,1811,1648,593,1648,1530,635
418,4521400,1808,1616,599,1636,1522,637
419,4531400,1808,1699,596,1641,1522,633
420,4541400,1808,1680,592,1640,1532,633
421,4551400,1810,1679,593,1645,1530,652
422,4561400,1808,1677,594,1636,1530,641
423,4571400,1809,1680,592,1641,1528,636
424,4581400,1809,1680,599,1640,1582,632
425,4591400,1808,1680,624,1641,1532,635
