seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
0,340063,1934,1719,1488,1745,1558,1328
1,349300,1953,1717,1445,1740,1550,1335
2,359300,1951,1715,1431,1745,1559,1334
3,369300,1943,1723,1441,1749,1552,1337
4,379300,1948,1712,1453,1747,1542,1330
5,389300,1947,1718,1447,1743,1560,1337
6,399299,1954,1717,1450,1758,1553,1335
7,409300,1952,1718,1453,1745,1553,1337
8,419300,1950,1726,1449,1744,1556,1332
9,429300,1953,1721,1429,1742,1549,1334
10,439300,1955,1725,1467,1744,1561,1338
11,449300,1954,1724,1446,1745,1551,1330
12,459300,1951,1719,1452,1750,1558,1335
13,469300,1955,1718,1451,1743,1557,1332
14,479300,1965,1718,1449,1739,1555,1325
15,489300,1954,1719,1445,1745,1553,1332
16,499300,1949,1721,1453,1747,1557,1332
17,509300,1953,1715,1427,1744,1565,1336
18,519300,1956,1721,1477,1741,1558,1337
19,529300,1955,1717,1452,1745,1556,1337
20,539300,1951,1726,1453,1744,1550,1328
21,549300,1952,1726,1449,1745,1546,1333
22,559300,1951,1723,1446,1745,1534,1332
23,569300,1951,1720,1447,1753,1561,1334
24,579300,1950,1721,1455,1742,1558,1329
25,589300,1956,1742,1447,1744,1548,1337
26,599300,1950,1719,1455,1743,1554,1337
27,609300,1949,1723,1458,1746,1547,1337
28,619300,1958,1712,1459,1754,1556,1337
29,629300,1950,1714,1490,1741,1552,1329
30,639300,1957,1717,1449,1748,1562,1334
31,649300,1955,1728,1447,1748,1553,1331
32,659300,1954,1723,1446,1744,1558,1328
33,669300,1951,1719,1456,1750,1553,1329
34,679300,1954,1698,1451,1742,1550,1332
35,689300,1950,1719,1453,1747,1548,1328
36,699300,1951,1716,1450,1741,1558,1337
37,709300,1954,1721,1455,1740,1553,1333
38,719300,1954,1722,1430,1745,1562,1342
39,729299,1951,1723,1454,1739,1552,1335
40,739300,1956,1725,1454,1746,1548,1346
41,749300,1947,1717,1453,1744,1555,1334
42,759300,1955,1727,1451,1745,1548,1336
43,769300,1953,1727,1458,1742,1550,1322
44,779300,1947,1714,1448,1740,1562,1351
45,789300,1953,1713,1455,1749,1556,1335
46,799300,1953,1722,1461,1745,1548,1337
47,809300,1952,1718,1453,1747,1562,1332
48,819300,1949,1711,1455,1746,1552,1335
49,829300,1949,1718,1453,1740,1550,1329
50,839300,1953,1723,1447,1743,1555,1332
51,849300,1947,1712,1449,1743,1561,1326
52,859300,1950,1714,1453,1745,1558,1335
53,869300,1953,1721,1453,1744,1548,1337
54,879300,1953,1714,1447,1745,1552,1329
55,889300,1951,1722,1456,1743,1548,1337
56,899300,1955,1739,1453,1743,1556,1332
57,909300,1949,1718,1447,1747,1553,1332
58,919300,1947,1723,1444,1760,1553,1332
59,929300,1950,1716,1418,1745,1557,1332
60,939300,1951,1716,1457,1741,1553,1313
61,949300,1950,1715,1450,1743,1561,1333
62,959300,1951,1731,1441,1747,1553,1328
63,969300,1953,1722,1424,1742,1543,1336
64,979300,1950,1724,1451,1747,1553,1314
65,989300,1949,1717,1456,1745,1552,1332
66,999300,1954,1721,1449,1745,1562,1342
67,1009300,1951,1726,1446,1742,1552,1332
68,1019300,1949,1713,1450,1750,1554,1337
69,1029299,1952,1713,1436,1745,1560,1332
70,1039300,1952,1722,1452,1740,1553,1342
71,1049300,1946,1723,1450,1745,1556,1329
72,1059300,1953,1718,1449,1743,1552,1337
73,1069300,1957,1719,1447,1745,1549,1337
74,1079300,1954,1717,1447,1745,1550,1335
75,1089300,1950,1716,1451,1745,1557,1336
76,1099300,1954,1717,1449,1745,1557,1332
77,1109300,1957,1713,1451,1744,1556,1330
78,1119300,1951,1723,1443,1744,1558,1334
79,1129300,1950,1722,1443,1745,1553,1336
80,1139300,1955,1723,1452,1748,1552,1332
81,1149300,1945,1723,1450,1740,1553,1329
82,1159299,1951,1719,1447,1744,1553,1337
83,1169300,1954,1714,1457,1746,1555,1337
84,1179300,1953,1715,1453,1718,1549,1330
85,1189300,1953,1723,1457,1741,1557,1337
86,1199300,1951,1717,1446,1750,1556,1333
87,1209300,1946,1723,1455,1745,1553,1323
88,1219300,1956,1717,1453,1741,1553,1332
89,1229300,1951,1731,1451,1743,1553,1328
90,1239300,1950,1717,1457,1743,1555,1334
91,1249300,1953,1716,1450,1746,1550,1333
92,1259300,1959,1719,1456,1745,1553,1337
93,1269300,1949,1723,1463,1743,1553,1336
94,1279300,1951,1723,1454,1742,1560,1328
95,1289300,1949,1717,1457,1744,1550,1327
96,1299301,1952,1719,1447,1743,1553,1337
97,1309300,1949,1718,1456,1743,1558,1333
98,1319300,1946,1706,1446,1744,1553,1337
99,1329300,1949,1718,1454,1745,1553,1338
100,1339300,1954,1722,1451,1743,1547,1323
101,1349300,1951,1712,1452,1747,1548,1332
102,1359300,1951,1719,1453,1741,1550,1337
103,1369300,1947,1728,1446,1739,1557,1335
104,1379300,1952,1722,1450,1742,1548,1305
105,1389300,1951,1725,1451,1742,1548,1334
106,1399300,1946,1717,1453,1748,1558,1337
107,1409300,1951,1731,1446,1745,1548,1335
108,1419300,1954,1734,1451,1743,1550,1325
109,1429300,1950,1725,1452,1747,1555,1330
110,1439300,1953,1707,1444,1744,1560,1333
111,1449300,1946,1718,1443,1746,1552,1330
112,1459300,1949,1718,1451,1746,1552,1327
113,1469300,1954,1719,1456,1741,1558,1332
114,1479300,1951,1707,1446,1741,1550,1332
115,1489300,1953,1722,1455,1729,1557,1332
116,1499300,1951,1715,1457,1741,1549,1335
117,1509300,1943,1713,1443,1745,1551,1336
118,1519299,1956,1717,1453,1744,1550,1325
119,1529300,1952,1719,1455,1753,1556,1328
120,1539300,1954,1717,1451,1744,1558,1325
121,1549300,1947,1722,1455,1744,1558,1337
122,1559300,1951,1719,1451,1747,1548,1336
123,1569300,1957,1729,1441,1744,1549,1334
124,1579300,1953,1701,1450,1744,1555,1337
125,1589300,1952,1725,1454,1745,1560,1336
126,1599300,1953,1718,1446,1747,1553,1332
127,1609300,1952,1718,1454,1744,1551,1338
128,1619300,1968,1721,1454,1746,1553,1335
129,1629300,1953,1685,1456,1748,1559,1345
130,1639300,1951,1723,1456,1745,1552,1337
131,1649300,1953,1725,1479,1742,1557,1337
132,1659300,1951,1725,1454,1736,1555,1335
133,1669300,1958,1725,1450,1741,1555,1328
134,1679300,1952,1721,1455,1748,1552,1336
135,1689300,1955,1718,1446,1736,1550,1333
136,1699300,1953,1723,1451,1744,1555,1331
137,1709299,1951,1721,1450,1745,1557,1329
138,1719300,1950,1717,1449,1743,1549,1337
139,1729300,1953,1723,1456,1742,1552,1332
140,1739300,1949,1722,1450,1745,1556,1337
141,1749300,1961,1716,1470,1745,1553,1337
142,1759300,1952,1727,1451,1744,1559,1333
143,1769300,1949,1727,1455,1747,1556,1315
144,1779300,1953,1719,1455,1742,1552,1337
145,1789300,1954,1722,1457,1745,1555,1336
146,1799300,1953,1731,1456,1742,1557,1337
147,1809299,1950,1715,1453,1741,1556,1335
148,1819300,1951,1723,1444,1749,1552,1335
149,1829300,1955,1725,1456,1742,1553,1335
150,1839300,1963,1724,1455,1739,1558,1337
151,1849300,1951,1727,1456,1744,1552,1337
152,1859300,1953,1719,1456,1744,1553,1328
153,1869300,1951,1716,1450,1749,1558,1337
154,1879300,1957,1712,1447,1750,1557,1335
155,1889300,1955,1723,1461,1745,1560,1337
156,1899300,1953,1715,1445,1746,1551,1340
157,1909300,1955,1733,1455,1744,1559,1326
158,1919300,1950,1716,1455,1744,1556,1337
159,1929300,1952,1726,1454,1747,1553,1333
160,1939300,1959,1729,1456,1743,1561,1338
161,1949301,1948,1714,1443,1743,1558,1328
162,1959300,1953,1722,1456,1755,1543,1335
163,1969300,1952,1725,1445,1747,1557,1333
164,1979300,1954,1722,1455,1750,1553,1332
165,1989300,1956,1695,1455,1746,1558,1342
166,1999300,1952,1715,1442,1745,1559,1317
167,2009300,1950,1718,1454,1742,1555,1333
168,2019299,1951,1701,1456,1740,1553,1337
169,2029300,1954,1718,1454,1736,1560,1307
170,2039300,1953,1726,1442,1740,1551,1336
171,2049299,1955,1737,1451,1745,1556,1336
172,2059300,1949,1723,1451,1738,1558,1332
173,2069300,1947,1717,1452,1746,1558,1327
174,2079300,1955,1716,1445,1745,1561,1329
175,2089300,1951,1729,1456,1750,1552,1340
176,2099300,1951,1713,1421,1742,1559,1333
177,2109300,1951,1715,1453,1747,1564,1337
178,2119300,1948,1712,1449,1743,1555,1325
179,2129300,1959,1722,1454,1745,1548,1336
180,2139300,1956,1714,1446,1744,1557,1329
181,2149300,1954,1725,1455,1741,1553,1327
182,2159300,1954,1721,1452,1740,1552,1332
183,2169300,1951,1722,1455,1746,1553,1335
184,2179300,1949,1722,1452,1747,1548,1337
185,2189300,1955,1720,1445,1754,1553,1335
186,2199300,1958,1721,1451,1737,1553,1339
187,2209300,1955,1718,1450,1746,1555,1334
188,2219300,1954,1721,1451,1747,1554,1332
189,2229300,1959,1717,1454,1741,1549,1327
190,2239300,1955,1695,1447,1745,1557,1336
191,2249300,1954,1714,1452,1746,1557,1335
192,2259300,1953,1718,1453,1748,1548,1328
193,2269300,1951,1724,1434,1742,1554,1333
194,2279300,1950,1725,1453,1745,1550,1338
195,2289300,1953,1725,1456,1745,1552,1338
196,2299300,1955,1723,1454,1743,1551,1333
197,2309300,1954,1723,1447,1743,1536,1334
198,2319300,1951,1727,1447,1750,1557,1336
199,2329300,1957,1724,1456,1743,1550,1337
200,2339300,1953,1719,1453,1754,1548,1332
201,2349300,1953,1718,1449,1744,1553,1336
202,2359300,1966,1723,1454,1744,1550,1333
203,2369300,1955,1721,1453,1746,1556,1337
204,2379299,1954,1714,1461,1741,1555,1346
205,2389300,1959,1713,1417,1743,1558,1332
206,2399300,1954,1722,1456,1746,1555,1328
207,2409300,1947,1712,1450,1743,1559,1330
208,2419300,1956,1719,1453,1744,1553,1330
209,2429300,1945,1724,1449,1749,1552,1330
210,2439300,1952,1719,1423,1742,1555,1330
211,2449300,1952,1718,1453,1747,1554,1335
212,2459300,1945,1714,1443,1744,1555,1332
213,2469300,1948,1719,1450,1737,1566,1333
214,2479300,1947,1727,1449,1741,1559,1343
215,2489300,1951,1725,1450,1749,1552,1328
216,2499300,1947,1719,1456,1736,1552,1333
217,2509300,1951,1728,1457,1741,1553,1338
218,2519300,1950,1717,1447,1744,1552,1335
219,2529300,1948,1719,1447,1747,1557,1329
220,2539300,1954,1719,1445,1747,1553,1329
221,2549300,1952,1730,1452,1740,1548,1335
222,2559300,1954,1721,1456,1741,1558,1334
223,2569300,1954,1726,1451,1739,1553,1315
224,2579300,1957,1715,1449,1737,1556,1337
225,2589300,1949,1719,1450,1745,1556,1334
226,2599300,1951,1714,1454,1730,1552,1323
227,2609300,1956,1712,1444,1744,1553,1337
228,2619300,1952,1705,1449,1719,1561,1336
229,2629300,1947,1712,1455,1745,1560,1326
230,2639300,1949,1717,1458,1732,1553,1332
231,2649300,1953,1696,1457,1740,1548,1333
232,2659300,1953,1718,1453,1742,1557,1336
233,2669300,1954,1712,1455,1759,1557,1333
234,2679300,1949,1715,1455,1744,1555,1334
235,2689300,1955,1718,1451,1743,1560,1339
236,2699300,1955,1727,1456,1744,1563,1334
237,2709300,1951,1725,1450,1745,1553,1343
238,2719301,1951,1728,1445,1745,1549,1336
239,2729300,1951,1721,1450,1750,1552,1337
240,2739300,1949,1733,1451,1749,1550,1335
241,2749300,1951,1717,1453,1741,1552,1328
242,2759300,1951,1721,1446,1739,1557,1337
243,2769300,1950,1717,1444,1749,1557,1335
244,2779300,1947,1716,1448,1743,1557,1330
245,2789300,1950,1719,1449,1737,1550,1337
246,2799299,1950,1723,1456,1744,1558,1336
247,2809299,1951,1723,1454,1743,1553,1327
248,2819300,1949,1722,1450,1742,1558,1324
249,2829300,1951,1715,1451,1737,1561,1337
250,2839300,1952,1718,1446,1746,1559,1337
251,2849300,1954,1743,1442,1745,1557,1320
252,2859300,1953,1721,1454,1745,1553,1329
253,2869300,1953,1727,1450,1736,1553,1337
254,2879300,1958,1721,1455,1750,1553,1335
255,2889300,1950,1723,1453,1747,1551,1332
256,2899300,1950,1713,1444,1742,1556,1329
257,2909300,1951,1715,1440,1750,1548,1336
258,2919300,1947,1718,1447,1745,1553,1336
259,2929300,1950,1714,1453,1745,1552,1335
260,2939300,1950,1718,1446,1741,1557,1337
261,2949300,1954,1718,1451,1745,1544,1333
262,2959300,1952,1723,1446,1733,1553,1328
263,2969300,1950,1683,1431,1743,1554,1338
264,2979300,1953,1722,1467,1740,1555,1336
265,2989300,1948,1719,1451,1744,1557,1324
266,2999300,1952,1722,1442,1745,1552,1337
267,3009300,1952,1712,1451,1745,1555,1332
268,3019300,1947,1711,1454,1739,1552,1337
269,3029300,1947,1738,1465,1747,1538,1335
270,3039300,1950,1691,1453,1745,1548,1337
271,3049300,1954,1723,1449,1745,1561,1332
272,3059300,1959,1690,1451,1746,1548,1325
273,3069300,1952,1721,1456,1745,1555,1335
274,3079300,1951,1743,1454,1746,1548,1333
275,3089300,1954,1713,1452,1741,1553,1329
276,3099300,1948,1713,1470,1734,1552,1327
277,3109300,1951,1723,1440,1741,1553,1316
278,3119300,1951,1725,1447,1744,1553,1337
279,3129300,1955,1719,1438,1747,1550,1342
280,3139300,1949,1715,1450,1743,1551,1335
281,3149300,1947,1715,1425,1744,1553,1329
282,3159300,1948,1718,1454,1743,1552,1330
283,3169300,1954,1720,1453,1746,1558,1333
284,3179300,1951,1715,1443,1742,1553,1332
285,3189300,1957,1716,1453,1745,1556,1337
286,3199300,1954,1723,1453,1742,1552,1335
287,3209300,1950,1726,1443,1743,1548,1337
288,3219300,1952,1719,1447,1747,1556,1337
289,3229300,1955,1721,1454,1759,1553,1332
290,3239300,1948,1725,1443,1745,1550,1330
291,3249300,1951,1718,1455,1747,1550,1337
292,3259300,1952,1725,1450,1744,1553,1337
293,3269300,1953,1721,1455,1745,1548,1323
294,3279300,1953,1719,1447,1740,1557,1332
295,3289300,1950,1716,1458,1737,1557,1333
296,3299300,1951,1721,1453,1732,1548,1328
297,3309300,1950,1712,1437,1736,1549,1338
298,3319300,1946,1715,1453,1744,1548,1337
299,3329300,1954,1718,1453,1737,1550,1330
300,3339300,1951,1728,1456,1745,1553,1328
301,3349300,1952,1724,1450,1747,1566,1328
302,3359300,1955,1719,1456,1741,1566,1329
303,3369300,1957,1730,1456,1746,1527,1332
304,3379300,1950,1712,1443,1740,1562,1335
305,3389300,1954,1714,1453,1744,1555,1337
306,3399300,1948,1715,1452,1743,1553,1332
307,3409300,1951,1719,1458,1744,1548,1332
308,3419300,1952,1714,1454,1736,1553,1335
309,3429300,1947,1725,1450,1745,1550,1335
310,3439300,1951,1718,1453,1745,1552,1337
311,3449300,1949,1713,1456,1741,1557,1333
312,3459300,1945,1719,1447,1740,1566,1325
313,3469300,1947,1717,1453,1744,1548,1332
314,3479300,1943,1719,1446,1747,1553,1328
315,3489300,1954,1706,1447,1745,1553,1329
316,3499300,1950,1711,1455,1736,1563,1337
317,3509300,1952,1723,1446,1743,1553,1337
318,3519300,1947,1721,1457,1741,1561,1330
319,3529300,1950,1718,1453,1750,1557,1337
320,3539300,1945,1721,1455,1739,1551,1330
321,3549300,1948,1713,1451,1741,1560,1327
322,3559300,1948,1714,1444,1739,1550,1333
323,3569300,1952,1712,1450,1746,1557,1328
324,3579300,1947,1716,1451,1745,1552,1337
325,3589300,1950,1712,1442,1744,1553,1332
326,3599300,1951,1721,1455,1745,1547,1333
327,3609300,1949,1717,1455,1742,1556,1360
328,3619300,1953,1714,1446,1745,1557,1337
329,3629300,1952,1718,1454,1740,1547,1330
330,3639300,1949,1715,1452,1749,1553,1335
331,3649300,1947,1714,1453,1739,1553,1336
332,3659300,1951,1725,1451,1746,1550,1328
333,3669300,1956,1720,1450,1745,1549,1337
334,3679300,1946,1721,1442,1747,1569,1338
335,3689300,1951,1723,1453,1745,1552,1331
336,3699300,1951,1716,1454,1763,1556,1337
337,3709300,1949,1713,1443,1747,1552,1335
338,3719300,1949,1727,1449,1743,1548,1333
339,3729300,1946,1727,1453,1747,1552,1334
340,3739300,1978,1722,1451,1743,1552,1328
341,3749300,1949,1722,1442,1743,1555,1333
342,3759300,1950,1723,1428,1741,1551,1333
343,3769300,1948,1714,1450,1740,1539,1333
344,3779300,1947,1722,1456,1743,1552,1333
345,3789300,1951,1727,1451,1740,1548,1333
346,3799300,1951,1712,1484,1746,1548,1336
347,3809300,1953,1716,1449,1742,1552,1326
348,3819300,1950,1715,1452,1744,1555,1326
349,3829300,1951,1713,1455,1741,1550,1337
350,3839300,1950,1722,1454,1758,1553,1336
351,3849300,1952,1715,1451,1734,1553,1328
352,3859300,1953,1712,1467,1741,1559,1334
353,3869299,1941,1722,1459,1741,1557,1337
354,3879300,1951,1719,1457,1741,1552,1332
355,3889300,1952,1718,1453,1731,1555,1330
356,3899300,1953,1725,1447,1741,1561,1335
357,3909300,1951,1726,1446,1741,1548,1324
358,3919300,1953,1713,1442,1746,1550,1332
359,3929300,1954,1712,1446,1745,1549,1328
360,3939299,1958,1718,1450,1743,1555,1335
361,3949299,1955,1723,1446,1745,1551,1337
362,3959300,1950,1717,1450,1746,1555,1328
363,3969300,1949,1723,1439,1745,1552,1337
364,3979299,1951,1715,1447,1735,1553,1333
365,3989300,1951,1722,1456,1746,1552,1337
366,3999300,1950,1716,1453,1746,1548,1351
367,4009300,1946,1727,1451,1761,1555,1333
368,4019300,1951,1712,1456,1745,1546,1346
369,4029300,1947,1713,1447,1746,1550,1327
370,4039300,1949,1713,1445,1745,1553,1337
371,4049300,1952,1712,1456,1743,1553,1328
372,4059300,1949,1712,1438,1739,1553,1332
373,4069300,1952,1729,1458,1731,1549,1332
374,4079300,1948,1696,1447,1740,1549,1332
375,4089300,1955,1718,1458,1760,1550,1335
376,4099300,1953,1729,1456,1745,1558,1334
377,4109300,1950,1732,1455,1746,1559,1339
378,4119300,1955,1728,1454,1744,1549,1330
379,4129300,1950,1715,1440,1740,1552,1329
380,4139300,1950,1718,1446,1744,1552,1335
381,4149300,1950,1713,1447,1741,1552,1332
382,4159300,1945,1718,1456,1745,1556,1328
383,4169300,1946,1713,1451,1715,1554,1332
384,4179300,1951,1714,1454,1744,1557,1329
385,4189300,1951,1714,1455,1745,1556,1330
386,4199300,1947,1724,1453,1745,1550,1337
387,4209300,1957,1694,1451,1761,1552,1335
388,4219300,1947,1727,1454,1741,1557,1329
389,4229300,1952,1712,1455,1747,1550,1332
390,4239300,1945,1723,1451,1737,1552,1335
391,4249300,1952,1725,1450,1740,1553,1332
392,4259300,1951,1723,1451,1744,1553,1330
393,4269300,1953,1717,1447,1752,1553,1332
394,4279300,1950,1718,1451,1745,1552,1336
395,4289300,1950,1721,1450,1739,1550,1337
396,4299299,1945,1725,1418,1747,1553,1333
397,4309300,1942,1728,1446,1743,1550,1326
398,4319300,1953,1721,1452,1737,1553,1332
399,4329300,1945,1714,1455,1740,1557,1332
400,4339300,1953,1714,1449,1737,1552,1332
401,4349300,1951,1719,1456,1745,1552,1328
402,4359300,1953,1721,1447,1743,1553,1323
403,4369300,1955,1713,1447,1744,1558,1327
404,4379300,1947,1723,1451,1748,1557,1330
405,4389300,1953,1719,1443,1741,1556,1337
406,4399300,1952,1713,1447,1742,1552,1328
407,4409300,1952,1727,1456,1740,1561,1337
408,4419300,1951,1719,1451,1742,1553,1329
409,4429300,1946,1718,1446,1745,1551,1337
410,4439301,1952,1721,1449,1760,1545,1328
411,4449300,1947,1713,1456,1746,1558,1337
412,4459300,1953,1717,1450,1742,1548,1336
413,4469300,1956,1717,1447,1742,1553,1332
414,4479300,1951,1719,1456,1749,1552,1333
415,4489300,1949,1726,1446,1742,1558,1354
416,4499300,1956,1719,1447,1741,1553,1337
417,4509300,1949,1724,1455,1745,1553,1337
418,4519300,1952,1715,1455,1745,1558,1334
419,4529300,1943,1721,1451,1749,1550,1336
420,4539300,1950,1724,1447,1745,1556,1336
421,4549300,1950,1716,1454,1749,1532,1337
422,4559300,1942,1712,1454,1744,1550,1334
423,4569300,1958,1719,1443,1750,1550,1340
424,4579301,1948,1719,1453,1749,1553,1336
425,4589300,1945,1721,1454,1749,1553,1328
426,4599300,1951,1719,1453,1741,1560,1337
427,4609300,1952,1719,1456,1747,1550,1333
428,4619299,1951,1722,1446,1749,1557,1337
429,4629300,1949,1712,1453,1742,1557,1335
430,4639300,1949,1718,1447,1750,1557,1333
431,4649300,1949,1725,1450,1745,1553,1333
432,4659300,1951,1709,1451,1745,1552,1336
433,4669300,1952,1718,1449,1745,1558,1329
434,4679300,1951,1723,1463,1737,1553,1329
435,4689300,1946,1717,1449,1740,1553,1332
436,4699300,1953,1726,1447,1731,1553,1337
437,4709300,1951,1714,1465,1741,1557,1338
438,4719299,1949,1718,1471,1753,1556,1336
439,4729300,1952,1722,1446,1745,1548,1337
440,4739300,1951,1719,1446,1748,1553,1328
441,4749300,1936,1719,1446,1744,1550,1332
442,4759300,1951,1723,1453,1744,1558,1337
443,4769299,1947,1712,1449,1745,1552,1329
444,4779300,1950,1727,1446,1743,1565,1332
445,4789300,1951,1721,1453,1747,1550,1332
446,4799300,1947,1714,1445,1727,1553,1327
447,4809300,1949,1719,1443,1737,1548,1332
448,4819300,1952,1713,1457,1747,1556,1371
449,4829300,1950,1714,1455,1741,1556,1337
450,4839299,1952,1718,1459,1747,1549,1337
451,4849300,1952,1721,1453,1745,1553,1337
452,4859300,1953,1716,1454,1742,1557,1334
453,4869300,1957,1725,1447,1746,1557,1332
454,4879300,1955,1722,1454,1745,1553,1332
455,4889300,1952,1717,1455,1748,1552,1328
456,4899300,1954,1718,1446,1744,1553,1339
457,4909300,1954,1715,1450,1743,1553,1337
458,4919300,1951,1719,1458,1737,1555,1336
459,4929300,1946,1723,1450,1741,1553,1329
460,4939299,1954,1714,1451,1733,1552,1327
461,4949300,1950,1721,1455,1745,1553,1333
462,4959300,1955,1715,1455,1736,1555,1337
463,4969300,1953,1729,1450,1745,1557,1339
464,4979300,1947,1721,1455,1741,1557,1335
465,4989300,1949,1712,1452,1741,1552,1334
466,4999300,1946,1715,1454,1745,1553,1330
467,5009300,1954,1723,1441,1745,1548,1337
468,5019300,1949,1714,1450,1739,1548,1337
469,5029300,1951,1715,1456,1743,1559,1332
470,5039300,1949,1719,1456,1740,1551,1337
471,5049300,1954,1723,1456,1745,1547,1332
472,5059300,1951,1714,1456,1736,1558,1336
473,5069300,1953,1713,1428,1736,1548,1328
474,5079300,1949,1717,1451,1746,1553,1326
475,5089300,1953,1716,1451,1742,1556,1335
476,5099300,1949,1719,1443,1740,1553,1337
477,5109300,1949,1715,1462,1743,1555,1330
478,5119300,1954,1719,1453,1745,1552,1332
479,5129300,1953,1727,1447,1743,1557,1337
480,5139300,1952,1722,1454,1747,1552,1337
481,5149300,1951,1725,1454,1743,1530,1332
482,5159300,1946,1725,1445,1744,1522,1330
483,5169299,1953,1723,1454,1745,1553,1337
484,5179300,1953,1717,1451,1739,1548,1330
485,5189300,1955,1715,1452,1743,1552,1335
486,5199300,1951,1717,1452,1747,1555,1330
487,5209300,1954,1716,1447,1747,1552,1333
