seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
0,340053,1933,1737,1451,1731,1557,1332
1,349290,1936,1738,1447,1731,1563,1332
2,359291,1936,1728,1456,1731,1558,1333
3,369290,1931,1735,1455,1731,1562,1333
4,379290,1933,1728,1453,1731,1562,1337
5,389290,1933,1731,1449,1731,1566,1333
6,399290,1937,1729,1439,1731,1560,1337
7,409290,1937,1733,1456,1730,1562,1332
8,419290,1936,1733,1451,1731,1564,1330
9,429291,1936,1733,1443,1728,1561,1337
10,439290,1931,1728,1455,1722,1568,1330
11,449290,1931,1728,1441,1727,1563,1329
12,459290,1933,1735,1442,1726,1565,1335
13,469290,1936,1738,1458,1731,1564,1337
14,479291,1931,1728,1447,1730,1562,1329
15,489290,1936,1733,1456,1722,1560,1332
16,499290,1934,1735,1449,1731,1561,1337
17,509290,1929,1729,1456,1722,1561,1330
18,519290,1933,1732,1443,1731,1562,1333
19,529290,1940,1735,1451,1731,1568,1332
20,539290,1936,1739,1450,1731,1561,1338
21,549290,1940,1730,1451,1722,1574,1336
22,559290,1934,1735,1456,1740,1563,1337
23,569291,1929,1732,1450,1731,1559,1337
24,579290,1937,1707,1454,1731,1557,1333
25,589291,1935,1729,1451,1731,1565,1327
26,599290,1951,1735,1454,1733,1566,1329
27,609290,1936,1733,1441,1737,1562,1327
28,619290,1935,1728,1451,1727,1570,1346
29,629291,1936,1731,1455,1731,1566,1335
30,639290,1930,1733,1457,1729,1565,1337
31,649291,1934,1734,1456,1727,1562,1337
32,659291,1930,1731,1421,1730,1558,1305
33,669290,1933,1731,1451,1727,1566,1332
34,679291,1931,1735,1442,1726,1545,1342
35,689290,1930,1738,1442,1724,1565,1330
36,699291,1936,1730,1456,1745,1562,1336
37,709291,1936,1725,1482,1730,1566,1327
38,719290,1946,1728,1457,1731,1565,1333
39,729291,1933,1734,1454,1731,1546,1333
40,739290,1934,1727,1449,1731,1565,1330
41,749290,1934,1751,1445,1731,1562,1333
42,759291,1933,1730,1447,1729,1566,1333
43,769291,1941,1738,1456,1732,1559,1337
44,779290,1935,1729,1453,1733,1566,1336
45,789291,1939,1735,1451,1732,1562,1337
46,799290,1936,1733,1456,1731,1562,1332
47,809290,1935,1731,1455,1731,1561,1337
48,819291,1933,1730,1450,1723,1563,1325
49,829290,1933,1730,1444,1731,1558,1328
50,839290,1930,1739,1440,1729,1559,1337
51,849291,1936,1738,1450,1731,1562,1335
52,859290,1935,1738,1451,1731,1560,1335
53,869291,1931,1721,1451,1731,1556,1339
54,879291,1936,1728,1456,1728,1561,1332
55,889291,1935,1731,1443,1731,1563,1337
56,899290,1936,1735,1451,1731,1559,1332
57,909290,1936,1733,1450,1731,1559,1335
58,919290,1936,1739,1450,1730,1562,1326
59,929291,1936,1729,1427,1727,1564,1326
60,939291,1936,1734,1433,1731,1563,1336
61,949290,1932,1734,1451,1730,1566,1332
62,959290,1931,1732,1447,1730,1560,1336
63,969290,1934,1737,1458,1731,1569,1330
64,979291,1936,1729,1453,1733,1560,1333
65,989290,1926,1728,1451,1727,1565,1337
66,999291,1936,1727,1452,1726,1570,1327
67,1009291,1924,1729,1453,1731,1576,1332
68,1019291,1936,1731,1456,1733,1562,1328
69,1029290,1938,1728,1451,1729,1559,1310
70,1039291,1943,1727,1456,1731,1561,1332
71,1049290,1935,1733,1450,1731,1565,1332
72,1059290,1937,1731,1440,1727,1562,1330
73,1069291,1933,1752,1455,1731,1560,1330
74,1079291,1933,1730,1445,1731,1565,1337
75,1089290,1936,1743,1445,1730,1557,1330
76,1099291,1933,1725,1438,1731,1566,1332
77,1109290,1934,1733,1443,1731,1562,1327
78,1119290,1934,1744,1447,1730,1570,1330
79,1129291,1931,1733,1449,1729,1565,1332
80,1139290,1936,1731,1456,1731,1574,1351
81,1149291,1934,1730,1451,1704,1557,1337
82,1159290,1930,1733,1448,1726,1565,1332
83,1169291,1934,1728,1441,1731,1565,1330
84,1179290,1937,1737,1460,1730,1566,1334
85,1189290,1936,1731,1450,1731,1562,1334
86,1199290,1936,1733,1437,1731,1585,1332
87,1209291,1935,1732,1435,1729,1562,1329
88,1219290,1936,1729,1450,1731,1560,1334
89,1229291,1936,1727,1447,1727,1562,1336
90,1239290,1936,1729,1453,1730,1567,1327
91,1249290,1937,1730,1447,1727,1562,1335
92,1259291,1931,1741,1453,1731,1562,1327
93,1269290,1934,1729,1456,1731,1561,1340
94,1279290,1931,1731,1454,1730,1566,1330
95,1289290,1932,1726,1451,1722,1559,1325
96,1299290,1936,1723,1446,1729,1571,1332
97,1309290,1936,1729,1451,1731,1563,1328
98,1319290,1936,1740,1449,1730,1562,1333
99,1329290,1936,1731,1447,1721,1557,1336
100,1339290,1936,1729,1449,1731,1568,1336
101,1349290,1939,1731,1450,1734,1572,1333
102,1359290,1936,1733,1450,1731,1562,1326
103,1369290,1935,1738,1439,1731,1560,1327
104,1379290,1933,1739,1455,1727,1570,1340
105,1389291,1937,1739,1450,1731,1562,1333
106,1399290,1935,1735,1444,1731,1565,1336
107,1409290,1936,1726,1449,1731,1563,1337
108,1419290,1935,1733,1451,1736,1563,1332
109,1429291,1931,1731,1448,1745,1568,1337
110,1439291,1935,1731,1449,1718,1558,1329
111,1449291,1936,1739,1456,1734,1573,1322
112,1459290,1931,1731,1452,1731,1570,1332
113,1469290,1934,1739,1457,1731,1566,1335
114,1479290,1934,1731,1451,1727,1559,1334
115,1489290,1936,1730,1452,1731,1559,1335
116,1499291,1932,1730,1450,1731,1561,1332
117,1509291,1931,1721,1467,1732,1566,1330
118,1519290,1936,1732,1451,1734,1562,1319
119,1529290,1936,1738,1453,1731,1565,1339
120,1539290,1929,1727,1449,1729,1568,1333
121,1549290,1935,1738,1455,1733,1569,1334
122,1559290,1943,1731,1451,1728,1556,1330
123,1569290,1939,1731,1456,1731,1562,1330
124,1579290,1930,1735,1454,1729,1565,1333
125,1589290,1931,1734,1448,1727,1565,1337
126,1599290,1936,1740,1450,1731,1564,1337
127,1609290,1936,1734,1455,1731,1566,1351
