seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
0,342266,1914,1738,1711,1720,1577,1543
1,351396,1904,1740,1698,1724,1633,1547
2,361395,1908,1743,1689,1723,1545,1542
3,371396,1840,1734,1680,1734,1585,1546
4,381395,1919,1743,1692,1726,1582,1544
5,391396,1924,1740,1695,1717,1575,1489
6,401395,1910,1739,1695,1727,1575,1504
7,411396,1909,1739,1695,1727,1581,1545
8,421396,1921,1739,1680,1727,1579,1536
9,431396,1923,1737,1697,1723,1592,1541
10,441396,1904,1739,1719,1718,1582,1549
11,451396,1909,1737,1699,1724,1693,1543
12,461396,1917,1738,1690,1724,1583,1542
13,471396,1915,1735,1695,1715,1583,1554
14,481396,1921,1739,1694,1729,1578,1539
15,491396,1915,1738,1695,1731,1579,1541
16,501396,1919,1738,1696,1729,1580,1540
17,511396,1927,1743,1743,1727,1594,1544
18,521396,1917,1738,1685,1728,1577,1541
19,531396,1915,1738,1694,1723,1581,1601
20,541396,1913,1740,1689,1725,1578,1540
21,551396,1923,1738,1691,1724,1579,1583
22,561395,1920,1739,1685,1725,1582,1541
23,571396,1919,1737,1698,1726,1581,1570
24,581396,1882,1738,1686,1726,1577,1543
25,591396,1904,1731,1695,1728,1580,1542
26,601396,1904,1743,1695,1725,1580,1541
27,611396,1919,1741,1688,1727,1575,1491
28,621397,1911,1735,1691,1727,1575,1556
29,631396,1914,1738,1696,1724,1578,1542
30,641396,1919,1738,1712,1726,1580,1541
31,651395,1917,1735,1692,1722,1575,1534
32,661396,1921,1739,1637,1789,1580,1541
33,671396,1867,1734,1661,1726,1583,1570
34,681396,1910,1734,1694,1733,1580,1544
35,691395,1919,1739,1693,1728,1534,1542
36,701396,1939,1738,1698,1703,1581,1547
37,711396,1917,1758,1696,1727,1642,1539
38,721396,1907,1737,1691,1727,1573,1557
39,731396,1910,1735,1695,1724,1579,1542
40,741395,1913,1744,1702,1724,1575,1538
41,751395,1923,1735,1697,1725,1585,1542
42,761395,1917,1740,1693,1724,1577,1522
43,771395,1943,1739,1695,1723,1579,1538
44,781396,1918,1731,1695,1726,1572,1590
45,791396,1838,1741,1685,1661,1579,1543
46,801396,1926,1739,1697,1719,1579,1535
47,811396,1915,1737,1693,1727,1575,1545
48,821396,1913,1740,1693,1728,1601,1539
49,831395,1921,1735,1670,1729,1579,1544
50,841395,1891,1735,1679,1724,1582,1555
51,851396,1911,1739,1696,1721,1577,1564
52,861396,1915,1739,1673,1727,1582,1545
53,871396,1915,1741,1683,1725,1578,1541
54,881395,1914,1744,1691,1726,1579,1540
55,891396,1849,1744,1698,1731,1575,1541
56,901396,1923,1739,1690,1723,1570,1544
57,911395,1922,1741,1696,1726,1578,1570
58,921395,1921,1738,1694,1727,1575,1548
59,931396,1919,1734,1692,1719,1577,1541
60,941395,1919,1743,1683,1727,1583,1559
61,951396,1915,1737,1744,1711,1574,1543
62,961395,1920,1735,1696,1731,1562,1544
63,971396,1915,1737,1693,1727,1572,1539
64,981396,1925,1741,1696,1722,1696,1532
65,991395,1919,1741,1691,1727,1583,1558
66,1001396,1923,1740,1694,1726,1583,1541
67,1011396,1965,1741,1697,1726,1580,1543
68,1021395,1882,1738,1696,1741,1573,1538
69,1031396,1922,1734,1693,1727,1575,1516
70,1041396,1916,1739,1680,1726,1580,1529
71,1051396,1916,1738,1693,1729,1578,1543
72,1061396,1917,1737,1691,1724,1609,1542
73,1071396,1919,1734,1689,1724,1570,1529
74,1081396,1920,1735,1681,1727,1575,1542
75,1091396,1905,1739,1695,1727,1582,1538
76,1101396,1919,1734,1685,1717,1574,1526
77,1111395,1916,1734,1694,1732,1567,1541
78,1121395,1918,1739,1680,1724,1575,1541
79,1131396,1919,1742,1694,1723,1580,1548
80,1141396,1919,1738,1702,1678,1571,1530
81,1151396,1914,1741,1690,1716,1579,1557
82,1161396,1920,1739,1691,1724,1580,1551
83,1171396,1919,1734,1698,1728,1578,1543
84,1181396,1919,1737,1698,1723,1587,1543
85,1191396,1920,1733,1693,1703,1575,1543
86,1201396,1920,1741,1639,1728,1579,1543
87,1211396,1914,1737,1691,1724,1570,1542
88,1221396,1927,1735,1684,1723,1575,1543
89,1231396,1843,1740,1694,1728,1575,1542
90,1241396,1931,1739,1694,1720,1579,1541
91,1251396,1913,1738,1693,1727,1575,1539
92,1261396,1918,1739,1687,1727,1580,1542
93,1271396,1902,1742,1695,1715,1581,1539
94,1281396,1921,1735,1694,1724,1574,1542
95,1291396,1978,1743,1691,1728,1538,1545
96,1301396,1907,1734,1742,1723,1575,1561
97,1311396,1891,1739,1695,1728,1575,1544
98,1321396,1915,1739,1692,1719,1556,1544
99,1331396,1911,1741,1692,1723,1596,1543
100,1341395,1915,1742,1696,1701,1579,1579
101,1351396,1905,1740,1694,1726,1573,1539
102,1361396,1917,1738,1696,1729,1578,1542
103,1371396,1919,1743,1697,1726,1577,1543
104,1381395,1926,1743,1698,1724,1575,1554
105,1391396,1919,1740,1696,1722,1580,1551
106,1401396,1921,1729,1694,1727,1691,1547
107,1411396,1918,1735,1689,1727,1577,1543
108,1421396,1904,1728,1696,1728,1583,1543
109,1431396,1918,1742,1696,1727,1642,1540
110,1441396,1914,1733,1693,1730,1581,1539
111,1451396,1919,1735,1696,1674,1584,1544
112,1461395,1920,1739,1683,1721,1577,1544
113,1471396,2037,1739,1696,1727,1572,1541
114,1481396,1915,1735,1696,1728,1525,1541
115,1491396,1914,1742,1696,1728,1579,1552
116,1501395,1918,1739,1695,1726,1564,1544
117,1511396,1918,1744,1698,1727,1565,1540
118,1521396,1917,1741,1697,1724,1559,1545
119,1531396,1907,1739,1683,1721,1574,1536
120,1541396,1959,1738,1687,1750,1572,1553
121,1551396,1917,1739,1687,1722,1596,1541
122,1561396,1923,1744,1703,1724,1578,1541
123,1571396,1911,1742,1689,1713,1580,1541
124,1581396,1874,1741,1695,1727,1570,1542
125,1591396,1921,1741,1695,1731,1598,1544
126,1601396,1914,1737,1734,1739,1578,1540
127,1611396,1920,1737,1693,1726,1577,1543
128,1621396,1918,1740,1707,1724,1572,1542
129,1631396,1919,1737,1696,1708,1575,1541
130,1641396,1933,1735,1695,1727,1572,1542
131,1651396,1917,1735,1681,1726,1641,1538
132,1661396,1917,1741,1637,1720,1572,1544
133,1671396,1913,1732,1697,1721,1572,1541
134,1681396,1922,1741,1715,1722,1578,1549
135,1691395,1843,1733,1692,1723,1578,1537
136,1701395,1915,1738,1697,1726,1503,1547
137,1711396,1920,1742,1695,1727,1578,1541
138,1721396,1855,1741,1693,1724,1557,1543
139,1731397,1915,1740,1699,1730,1575,1541
140,1741396,1916,1741,1697,1680,1579,1538
141,1751396,1916,1738,1712,1729,1575,1489
142,1761396,1921,1742,1693,1728,1584,1551
143,1771396,1920,1735,1699,1727,1575,1537
144,1781395,1963,1741,1711,1716,1581,1538
145,1791395,1913,1737,1696,1728,1577,1542
146,1801395,1904,1744,1728,1728,1584,1542
147,1811396,1914,1744,1694,1727,1578,1536
