seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
19,529293,0.0394901,1853,1750,1535,1693,1580,1402
20,539293,0.0490098,1889,1746,1535,1705,1580,1402
21,549293,0.0557224,1887,1758,1535,1689,1579,1402
22,559293,0.0571368,1893,1754,1564,1690,1578,1421
23,569293,0.0579354,1893,1750,1535,1694,1580,1402
24,579293,0.0586417,1892,1751,1535,1697,1575,1421
25,589293,0.0593956,1890,1749,1534,1681,1578,1402
26,599293,0.0602585,1881,1761,1535,1690,1579,1402
27,609293,0.0610396,1890,1753,1535,1697,1589,1421
28,619293,0.0618027,1890,1755,1555,1688,1584,1401
29,629293,0.0625904,1892,1747,1535,1696,1585,1402
30,639293,0.0634141,1887,1742,1535,1700,1575,1402
31,649293,0.064114,1885,1746,1535,1701,1574,1402
32,659293,0.0648914,1884,1747,1555,1688,1575,1402
33,669293,0.0654556,1887,1725,1534,1695,1574,1401
34,679293,0.065998,1887,1764,1535,1700,1579,1402
35,689293,0.0666035,1895,1744,1535,1691,1574,1402
36,699293,0.067477,1887,1747,1535,1695,1576,1402
37,709293,0.0681766,1892,1760,1554,1697,1584,1402
38,719293,0.0693861,1887,1746,1535,1696,1577,1402
39,729293,0.0703681,1889,1755,1558,1698,1575,1402
40,739293,0.0720859,1894,1748,1535,1692,1582,1402
41,749293,0.0732271,1894,1751,1535,1695,1581,1427
42,759293,0.0740497,1889,1753,1535,1690,1587,1420
43,769293,0.0745884,1895,1747,1535,1697,1575,1402
44,779293,0.0751457,1889,1754,1535,1695,1582,1402
45,789293,0.0763164,1893,1749,1535,1695,1583,1402
46,799293,0.076998,1883,1739,1535,1696,1582,1402
47,809293,0.0775092,1891,1758,1535,1691,1579,1402
48,819293,0.0780661,1889,1757,1535,1690,1583,1402
49,829293,0.0790766,1887,1751,1535,1695,1580,1402
50,839293,0.0797381,1890,1749,1535,1678,1581,1402
51,849293,0.0803683,1889,1752,1535,1691,1581,1398
52,859293,0.0810465,1903,1748,1535,1693,1586,1402
53,869293,0.0816864,1883,1758,1535,1690,1575,1402
54,879293,0.0822969,1890,1750,1535,1698,1577,1402
55,889293,0.0829975,1889,1748,1535,1692,1589,1402
56,899293,0.0836894,1891,1750,1535,1709,1579,1402
57,909293,0.0849269,1871,1749,1534,1694,1575,1402
58,919293,0.0866836,1892,1754,1571,1691,1562,1402
59,929293,0.0874221,1893,1747,1535,1698,1583,1402
60,939293,0.0880413,1885,1748,1535,1697,1574,1402
61,949293,0.0885589,1883,1751,1535,1693,1589,1399
62,959293,0.0895421,1897,1755,1535,1679,1581,1402
63,969293,0.0905947,1890,1747,1535,1703,1578,1402
64,979293,0.0912681,1892,1757,1535,1699,1579,1402
65,989293,0.0918155,1886,1750,1535,1671,1575,1402
66,999293,0.0927672,1889,1755,1564,1699,1582,1422
67,1009293,0.0934421,1892,1746,1535,1696,1584,1402
68,1019293,0.0939034,1895,1755,1535,1702,1582,1402
69,1029293,0.0943741,1889,1746,1535,1690,1575,1402
70,1039293,0.0949143,1895,1751,1559,1695,1585,1419
71,1049293,0.0954565,1883,1751,1535,1693,1576,1430
72,1059293,0.0959034,1885,1749,1535,1695,1582,1402
73,1069293,0.0964386,1892,1748,1565,1695,1585,1402
74,1079293,0.0968835,1894,1747,1566,1695,1576,1402
75,1089293,0.0973303,1894,1754,1535,1688,1581,1402
76,1099293,0.0977399,1890,1756,1533,1695,1588,1402
77,1109293,0.098233,1894,1754,1535,1694,1576,1402
78,1119293,0.0987862,1887,1754,1535,1688,1577,1402
79,1129293,0.0992676,1893,1754,1568,1697,1580,1402
80,1139293,0.0997457,1887,1755,1535,1695,1575,1402
81,1149293,0.1008672,1889,1751,1514,1693,1579,1402
82,1159293,0.1019612,1884,1751,1535,1694,1583,1386
83,1169293,0.1031843,1891,1752,1535,1696,1578,1402
84,1179293,0.1040753,1892,1750,1535,1694,1594,1402
85,1189293,0.1056742,1888,1751,1535,1695,1580,1402
86,1199293,0.1068859,1885,1745,1535,1695,1582,1402
87,1209292,0.1078749,1915,1753,1535,1708,1575,1402
88,1219293,0.1089194,1878,1757,1535,1692,1592,1402
89,1229293,0.1106214,1889,1750,1535,1695,1580,1402
90,1239293,0.112235,1890,1751,1535,1695,1575,1402
91,1249293,0.1134276,1895,1745,1535,1691,1579,1402
92,1259293,0.1144266,1886,1755,1535,1693,1575,1402
93,1269293,0.1153721,1883,1754,1535,1695,1600,1402
94,1279293,0.1162244,1893,1744,1535,1690,1576,1402
95,1289293,0.1167512,1891,1748,1535,1689,1579,1402
96,1299293,0.1173219,1889,1747,1535,1694,1578,1402
97,1309293,0.1178336,1904,1754,1535,1690,1579,1402
98,1319293,0.1186898,1890,1750,1535,1691,1579,1402
99,1329293,0.1196665,1886,1754,1535,1697,1582,1402
100,1339293,0.1212477,1887,1750,1535,1690,1580,1401
101,1349293,0.1222271,1893,1756,1535,1693,1585,1402
102,1359293,0.1230496,1887,1747,1535,1681,1588,1402
103,1369293,0.1237401,1887,1750,1535,1687,1583,1402
104,1379293,0.1244574,1885,1749,1535,1695,1583,1402
105,1389293,0.1250619,1879,1744,1535,1691,1574,1402
106,1399293,0.1256257,1885,1753,1520,1694,1580,1402
107,1409293,0.1261727,1879,1749,1535,1687,1575,1402
108,1419293,0.1267085,1875,1746,1535,1693,1582,1402
109,1429293,0.1272085,1895,1747,1535,1694,1585,1402
110,1439293,0.1277467,1890,1751,1535,1685,1579,1402
111,1449293,0.1283273,1887,1755,1535,1685,1579,1402
112,1459293,0.1289769,1892,1747,1535,1691,1579,1402
113,1469293,0.129624,1891,1751,1535,1691,1576,1402
114,1479293,0.1300972,1886,1751,1535,1690,1579,1402
115,1489293,0.1305853,1892,1753,1535,1694,1584,1402
116,1499293,0.1310276,1886,1753,1535,1696,1582,1402
117,1509293,0.1317745,1889,1744,1535,1685,1575,1402
118,1519293,0.1322876,1899,1744,1535,1691,1580,1402
119,1529293,0.1327661,1884,1746,1535,1674,1580,1402
120,1539293,0.1332728,1888,1754,1535,1685,1573,1401
121,1549293,0.1337084,1888,1751,1535,1691,1581,1402
122,1559293,0.1349454,1888,1749,1535,1690,1578,1402
123,1569293,0.136314,1889,1754,1535,1695,1579,1419
124,1579293,0.1372343,1891,1759,1535,1690,1579,1402
125,1589293,0.1380794,1887,1744,1535,1690,1576,1402
126,1599293,0.1386995,1889,1749,1535,1691,1582,1402
127,1609293,0.1393171,1886,1749,1535,1693,1575,1402
128,1619293,0.139961,1891,1747,1535,1693,1576,1402
129,1629293,0.1405961,1884,1754,1535,1690,1585,1419
130,1639293,0.1411811,1887,1747,1535,1691,1577,1402
131,1649293,0.1418213,1892,1751,1535,1696,1574,1402
132,1659293,0.142489,1882,1749,1535,1690,1581,1402
133,1669293,0.1432112,1875,1749,1535,1692,1575,1402
134,1679293,0.1438176,1879,1745,1558,1690,1579,1402
135,1689293,0.1443306,1885,1752,1535,1698,1579,1402
136,1699293,0.1447675,1883,1746,1535,1688,1579,1402
137,1709293,0.1452234,1878,1748,1535,1690,1579,1402
138,1719293,0.1456529,1891,1750,1535,1693,1578,1402
139,1729293,0.1461292,1889,1753,1535,1692,1575,1402
140,1739293,0.1465907,1886,1749,1535,1691,1579,1402
141,1749293,0.1480128,1890,1750,1535,1695,1581,1402
142,1759293,0.1487626,1887,1750,1559,1690,1582,1402
143,1769293,0.1495757,1889,1755,1535,1688,1580,1402
144,1779293,0.1503859,1899,1758,1535,1693,1575,1402
145,1789293,0.1510934,1883,1753,1535,1694,1579,1395
146,1799293,0.1523802,1879,1750,1555,1696,1575,1402
147,1809293,0.1537294,1872,1753,1513,1691,1578,1401
148,1819293,0.1547057,1890,1754,1535,1695,1576,1402
149,1829293,0.1556379,1891,1754,1535,1692,1576,1402
150,1839293,0.1564446,1894,1746,1535,1679,1579,1402
151,1849293,0.1572832,1888,1749,1535,1690,1580,1402
152,1859293,0.1580662,1886,1749,1557,1695,1585,1402
153,1869293,0.1591691,1874,1751,1535,1693,1580,1402
154,1879293,0.1602385,1885,1751,1535,1693,1579,1402
155,1889293,0.1615687,1883,1747,1535,1694,1573,1419
156,1899293,0.1623665,1890,1754,1535,1693,1581,1402
157,1909293,0.1637218,1889,1747,1535,1695,1580,1402
158,1919293,0.164486,1893,1751,1535,1700,1581,1424
159,1929293,0.1652374,1892,1750,1535,1693,1575,1402
160,1939293,0.1659896,1894,1747,1535,1697,1574,1402
161,1949293,0.1668893,1887,1755,1535,1686,1582,1402
162,1959293,0.1676737,1890,1749,1535,1691,1581,1402
163,1969293,0.168284,1885,1755,1535,1690,1580,1419
164,1979293,0.1697203,1891,1757,1555,1690,1577,1402
165,1989293,0.1709017,1882,1745,1535,1695,1574,1402
166,1999293,0.1722283,1899,1749,1533,1693,1593,1402
167,2009293,0.1734566,1904,1751,1535,1691,1580,1402
168,2019293,0.1744105,1892,1758,1535,1697,1576,1402
169,2029293,0.1753259,1890,1745,1535,1695,1585,1402
170,2039293,0.1763276,1887,1744,1535,1691,1575,1402
171,2049293,0.1775351,1893,1751,1535,1694,1579,1402
172,2059293,0.1788752,1866,1745,1535,1687,1583,1402
173,2069293,0.179813,1894,1755,1535,1694,1579,1402
174,2079293,0.1807901,1885,1753,1535,1692,1582,1402
175,2089293,0.1814923,1885,1753,1520,1692,1578,1442
176,2099293,0.1835161,1891,1749,1535,1697,1584,1402
177,2109293,0.1881496,1872,1754,1558,1694,1579,1402
178,2119293,0.1891405,1899,1749,1535,1695,1584,1402
179,2129293,0.1901916,1889,1746,1535,1695,1583,1402
180,2139293,0.1909902,1887,1746,1535,1694,1576,1402
181,2149293,0.1917711,1882,1751,1566,1690,1582,1402
182,2159293,0.1927317,1905,1745,1535,1690,1582,1402
183,2169293,0.1934626,1888,1753,1535,1698,1575,1402
184,2179293,0.1943808,1883,1757,1535,1694,1581,1402
185,2189293,0.1950849,1890,1754,1535,1690,1578,1402
186,2199293,0.1957749,1887,1746,1535,1693,1580,1402
187,2209293,0.1964244,1881,1754,1535,1691,1580,1402
188,2219293,0.1970224,1895,1746,1535,1683,1580,1402
