sensor_id,seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
1,181959,1820005302,0.004722,1841,1742,1193,1653,1566,1119
2,181897,1819385531,0.0067074,2000,1901,2277,1723,1641,1940
1,181960,1820015301,0.008173,1838,1733,1195,1652,1569,1121
2,181898,1819395531,0.0097311,1999,1899,2277,1723,1646,1945
1,181961,1820025300,0.014328,1837,1734,1195,1653,1562,1126
2,181899,1819405531,0.0175143,2000,1894,2277,1723,1642,1941
1,181962,1820035301,0.018595,1840,1738,1189,1649,1563,1116
2,181900,1819415530,0.0194682,2000,1901,2278,1723,1639,1939
1,181963,1820045301,0.0202047,1837,1734,1195,1653,1565,1126
1,181964,1820055301,0.0209499,1841,1738,1197,1651,1566,1120
2,181902,1819435529,0.0216276,2000,1897,2282,1724,1636,1941
1,181965,1820065301,0.0223391,1842,1736,1194,1652,1563,1120
2,181903,1819445532,0.0235308,2000,1894,2281,1723,1642,1942
1,181966,1820075301,0.0242621,1840,1735,1194,1653,1563,1126
1,181967,1820085301,0.0249638,1840,1737,1194,1652,1560,1118
2,181904,1819455531,0.0256691,2000,1899,2277,1722,1639,1946
2,181905,1819465532,0.0264649,2000,1899,2283,1723,1637,1945
1,181968,1820095301,0.0276328,1839,1740,1193,1653,1565,1122
2,181906,1819475531,0.0284296,1998,1894,2279,1722,1643,1938
2,181907,1819485531,0.0292697,2000,1899,2272,1723,1639,1941
2,181908,1819495532,0.0300388,2000,1893,2285,1721,1643,1940
1,181969,1820105300,0.0307251,1838,1739,1189,1654,1566,1126
1,181970,1820115300,0.0314286,1840,1729,1197,1655,1569,1124
1,181971,1820125308,0.0321921,1839,1732,1189,1653,1562,1122
2,181909,1819505530,0.033446,1997,1899,2273,1723,1640,1942
1,181972,1820135301,0.0349455,1837,1733,1196,1653,1564,1118
2,181910,1819515532,0.0359505,2000,1898,2277,1723,1641,1942
1,181973,1820145300,0.0366344,1840,1734,1191,1653,1571,1118
2,181911,1819525530,0.0371862,2000,1901,2275,1721,1643,1940
2,181912,1819535529,0.0377691,2000,1899,2274,1723,1642,1947
1,181975,1820165301,0.0383624,1840,1734,1195,1653,1572,1126
2,181913,1819545532,0.0389125,1999,1901,2278,1723,1642,1946
1,181976,1820175301,0.0394975,1840,1733,1194,1653,1565,1126
2,181915,1819565530,0.0400258,2000,1899,2279,1723,1640,1940
1,181977,1820185300,0.040567,1840,1735,1191,1655,1565,1119
1,181978,1820195301,0.041148,1840,1733,1190,1652,1565,1119
2,181916,1819575533,0.0416612,2000,1897,2274,1720,1640,1938
2,181917,1819585532,0.0421644,2000,1893,2281,1722,1642,1941
1,181979,1820205301,0.0426634,1840,1733,1197,1653,1570,1121
1,181980,1820215301,0.0432189,1837,1734,1198,1653,1566,1122
2,181918,1819595532,0.0438038,1999,1897,2279,1722,1643,1941
2,181919,1819605533,0.0450733,1998,1900,2278,1721,1642,1945
1,181981,1820225301,0.0457803,1834,1729,1194,1655,1566,1121
1,181982,1820235301,0.0464185,1840,1731,1193,1653,1564,1119
2,181920,1819615533,0.0473386,1998,1895,2276,1723,1643,1942
