seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
74470,745104746,0.4230016,3914,1904,0,3072,1705,142
74471,745114747,0.4299828,3907,1904,0,3069,1705,142
74472,745124747,0.4334669,3901,1903,0,3066,1700,142
74473,745134745,0.4364115,3901,1895,0,3070,1695,142
74474,745144746,0.4373261,3909,1904,0,3063,1705,142
74475,745154747,0.4383191,3897,1897,0,3065,1700,142
74477,745174746,0.4389984,3895,1901,0,3069,1705,142
74478,745184747,0.4399229,3893,1903,0,3067,1702,142
74479,745194747,0.4426505,3898,1899,0,3068,1703,142
74480,745204746,0.4461244,3904,1902,0,3070,1704,142
74481,745214747,0.4468964,3902,1897,0,3066,1700,142
74482,745224746,0.4475103,3898,1903,0,3069,1698,142
74483,745234747,0.4481188,3904,1901,0,3070,1703,142
74484,745244747,0.4488517,3899,1904,0,3065,1699,142
74485,745254746,0.5110522,3903,1904,0,3063,1706,142
74486,745264747,0.511922,3905,1903,0,3066,1705,142
74487,745274747,0.5126718,3899,1901,0,3065,1704,142
74488,745284747,0.5132772,3889,1898,0,3063,1698,142
74489,745294746,0.5141921,3898,1897,0,3068,1703,142
74490,745304747,0.5149813,3901,1904,0,3070,1698,142
74491,745314746,0.5156848,3897,1901,0,3069,1705,142
74492,745324747,0.5219094,3899,1904,0,3067,1701,142
74493,745334747,0.6909027,3899,1904,0,3066,1701,142
74494,745344747,0.6919443,3893,1901,0,3067,1705,142
74495,745354747,0.6928779,3899,1899,0,3062,1700,142
74496,745364747,0.6934998,3879,1898,0,3055,1700,142
74497,745374745,0.6941497,3857,1895,0,3050,1698,142
74498,745384746,0.6947676,3876,1901,0,3054,1704,142
74499,745394746,0.6953648,3880,1902,0,3059,1701,142
74500,745404748,0.6960378,4006,1904,0,3111,1705,142
74501,745414751,0.6967383,3991,1905,0,3116,1713,142
74502,745424746,0.6974658,4022,1911,0,3114,1709,142
74503,745434747,0.6982353,4016,1905,0,3117,1713,142
74504,745444747,0.6990729,4012,1907,0,3117,1713,142
74505,745454746,0.6998802,4015,1913,0,3118,1714,142
74506,745464746,0.7006462,4014,1910,0,3117,1714,142
74507,745474746,0.7015338,4021,1914,0,3123,1714,142
74508,745484747,0.7023648,4019,1915,0,3118,1709,142
74509,745494747,0.7031947,4016,1913,0,3121,1714,142
74510,745504746,0.70462,4027,1906,0,3115,1713,142
74511,745514747,0.8369007,4015,1911,0,3121,1710,142
74512,745524746,0.8382785,4012,1908,0,3117,1713,142
74513,745534746,0.8391232,4007,1917,0,3117,1707,142
74514,745544747,0.8399297,4009,1906,0,3117,1713,142
74515,745554747,0.8406675,4026,1909,0,3122,1714,142
74516,745564746,0.8415123,4037,1913,0,3123,1709,142
74517,745574746,0.8423489,4037,1918,0,3128,1718,142
74518,745584746,0.8433745,4037,1911,0,3127,1707,142
74519,745594747,0.8443357,4046,1914,0,3128,1711,142
74520,745604746,0.8456594,4048,1907,0,3128,1708,142
74521,745614747,0.8467125,4049,1909,0,3135,1717,142
74522,745624746,0.8475977,4053,1909,0,3129,1718,142
74523,745634746,0.8481572,4055,1914,0,3132,1718,142
74524,745644746,0.8489548,4070,1915,0,3132,1706,142
74525,745654746,0.8627756,4048,1919,0,3131,1713,142
74526,745664747,0.86347,4050,1917,0,3132,1711,142
74527,745674746,0.8794044,4048,1910,0,3133,1717,142
74528,745684747,0.8801476,4048,1917,0,3132,1718,142
74529,745694746,0.8941275,4049,1916,0,3133,1719,142
74530,745704747,1.0809255,4049,1910,0,3131,1709,142
74531,745714747,1.0821435,4053,1920,0,3136,1718,142
74532,745724746,1.083412,4046,1912,0,3131,1715,142
74533,745734747,1.0846335,4051,1909,0,3130,1710,142
74534,745744746,1.0860185,4048,1909,0,3129,1713,142
74535,745754746,1.0872525,4047,1910,0,3131,1713,142
74536,745764747,1.0883398,4050,1913,0,3134,1711,142
74537,745774747,1.0893127,4049,1919,0,3133,1711,142
74538,745784746,1.0903269,4048,1907,0,3132,1713,142
74539,745794747,1.0919294,4048,1916,0,3130,1711,142
74541,745814746,1.0930278,4053,1918,0,3130,1717,142
74542,745824747,1.0943854,4054,1909,0,3130,1716,142
74543,745834746,1.0955293,4053,1913,0,3130,1709,142
74544,745844747,1.0964569,4047,1909,0,3130,1714,142
74545,745854746,1.0974334,4060,1911,0,3132,1713,142
74546,745864747,1.0983189,4055,1911,0,3134,1713,142
74547,745874747,1.0993687,4062,1907,0,3130,1716,142
74548,745884746,1.1007529,4047,1918,0,3133,1711,142
74549,745894747,1.1026222,4051,1913,0,3131,1713,142
74550,745904746,1.1105367,4048,1911,0,3130,1711,142
74551,745914747,1.1120845,4048,1911,0,3138,1716,142
74552,745924747,1.2905739,4057,1911,0,3131,1714,142
74553,745934746,1.2917393,4063,1909,0,3131,1713,142
74554,745944747,1.2930778,4054,1910,0,3129,1716,142
74555,745954747,1.2944901,4048,1918,0,3130,1715,142
74556,745964747,1.2957507,4048,1920,0,3127,1714,142
74557,745974747,1.2977107,4048,1915,0,3131,1714,142
74558,745984747,1.2993623,4047,1918,0,3129,1715,142
74559,745994747,1.3003284,4046,1913,0,3129,1714,142
74560,746004746,1.3011319,4048,1918,0,3130,1714,142
74561,746014747,1.3020367,4046,1907,0,3129,1711,142
74562,746024746,1.3031043,4048,1920,0,3129,1715,142
74563,746034747,1.3038923,4043,1910,0,3129,1710,142
74564,746044747,1.3047746,4048,1908,0,3130,1711,142
74565,746054747,1.305593,4039,1914,0,3134,1714,142
74566,746064746,1.3065011,4038,1914,0,3130,1711,142
74567,746074746,1.307484,4039,1916,0,3134,1710,142
74568,746084746,1.3084027,4048,1905,0,3130,1718,142
74569,746094746,1.3095475,4042,1915,0,3130,1709,142
74570,746104747,1.3126999,4038,1907,0,3124,1708,142
74571,746114746,1.313419,4034,1919,0,3128,1717,142
74572,746124747,1.3281338,4041,1919,0,3128,1717,142
74573,746134746,1.3291336,4047,1917,0,3130,1718,142
74574,746144747,1.4698193,4039,1913,0,3124,1711,142
74575,746154746,1.4707484,4038,1909,0,3126,1716,142
74576,746164747,1.4716135,4039,1911,0,3125,1713,142
74577,746174747,1.4723354,4042,1918,0,3128,1710,142
74578,746184747,1.4731439,4036,1909,0,3123,1718,142
74579,746194746,1.4739316,4044,1913,0,3123,1709,142
74580,746204746,1.4747256,4038,1915,0,3124,1710,142
74582,746224747,1.4753759,4021,1911,0,3122,1711,142
74583,746234746,1.4759319,4002,1905,0,3116,1713,142
74584,746244746,1.4765889,4001,1907,0,3113,1709,142
74585,746254746,1.4772302,3999,1906,0,3108,1708,142
74586,746264746,1.4778798,4016,1910,0,3117,1713,142
74587,746274746,1.4996498,4027,1915,0,3119,1714,142
74588,746284746,1.5005139,4018,1907,0,3125,1711,142
74589,746294746,1.5013821,4021,1907,0,3121,1708,142
74590,746304746,1.5021711,4017,1907,0,3118,1708,142
74591,746314746,1.5168613,4031,1914,0,3123,1715,142
74592,746324746,1.5178002,4028,1910,0,3120,1709,142
74594,746344747,1.5784507,4023,1907,0,3124,1711,142
