sensor_id,seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
1,92045,920905823,0.0,1849,1745,1311,1663.0,1574.0,1225.0
2,91077,911227994,0.0,1937,1867,2096,1674.0,1619.0,1795.0
1,92046,920915824,0.0,1853,1741,1311,1653.0,1568.0,1221.0
2,91078,911237997,0.0,1936,1871,2097,1672.0,1621.0,1799.0
1,92047,920925824,0.0,1853,1742,1320,1663.0,1575.0,1222.0
2,91079,911247996,0.0,1942,1870,2096,1674.0,1621.0,1798.0
1,92048,920935824,0.0,1843,1737,1318,1658.0,1568.0,1218.0
2,91080,911257997,0.0,1943,1872,2100,1679.0,1621.0,1800.0
1,92049,920945823,0.0,1878,1755,1264,1690.0,1587.0,1174.0
2,91081,911267995,0.016,1998,1889,2027,1723.0,1636.0,1751.0
1,92050,920955824,0.016,1776,1762,1360,1602.0,1588.0,1255.0
2,91082,911277996,0.016,1872,1857,2131,1628.0,1611.0,1820.0
1,92051,920965824,0.016,1839,1735,1263,1653.0,1561.0,1184.0
2,91083,911287996,0.016,1961,1847,1989,1689.0,1609.0,1719.0
1,92052,920975824,0.016,1858,1680,1339,1670.0,1522.0,1236.0
2,91084,911297996,0.016,1972,1870,2179,1701.0,1621.0,1865.0
1,92053,920985824,0.016,1853,1744,1291,1666.0,1571.0,1199.0
2,91085,911307997,0.016,1951,1862,2046,1685.0,1618.0,1758.0
1,92054,920995824,0.016,1847,1744,1328,1663.0,1576.0,1234.0
2,91086,911317994,0.016,1955,1888,2128,1692.0,1640.0,1824.0
1,92055,921005823,0.016,1843,1751,1302,1655.0,1580.0,1213.0
2,91087,911327996,0.016,1942,1887,2094,1677.0,1633.0,1798.0
2,91088,911337995,0.016,1948,1889,2122,1681.0,1634.0,1818.0
2,91089,911347995,0.031,1958,1875,2090,1683.0,1622.0,1793.0
1,92056,921015824,0.031,1840,1747,1326,1654.0,1576.0,1227.0
1,92057,921025823,0.047,1850,1744,1305,1657.0,1574.0,1214.0
1,92058,921035833,0.047,1853,1744,1321,1657.0,1563.0,1223.0
2,91090,911357995,0.047,1947,1877,2121,1682.0,1621.0,1817.0
1,92059,921045824,0.047,1845,1727,1314,1661.0,1561.0,1218.0
2,91091,911367997,0.062,1947,1866,2104,1676.0,1615.0,1801.0
2,91092,911377997,0.062,1949,1871,2103,1681.0,1617.0,1801.0
1,92060,921055825,0.062,1846,1735,1315,1663.0,1562.0,1220.0
1,92061,921065829,0.078,1843,1726,1314,1658.0,1561.0,1220.0
2,91093,911388000,0.078,1947,1873,2103,1681.0,1621.0,1803.0
1,92062,921075824,0.078,1846,1744,1314,1653.0,1573.0,1223.0
2,91094,911397995,0.094,1948,1877,2107,1682.0,1624.0,1808.0
1,92063,921085824,0.094,1846,1740,1312,1666.0,1566.0,1223.0
2,91095,911407996,0.094,1953,1883,2108,1687.0,1628.0,1806.0
2,91096,911417995,0.094,1952,1875,2112,1685.0,1626.0,1812.0
2,91097,911427994,0.109,1952,1878,2101,1682.0,1625.0,1806.0
2,91098,911437996,0.156,1941,1890,2059,1675.0,1632.0,1765.0
2,91099,911447997,0.156,1954,1925,2422,1677.0,1666.0,2060.0
2,91100,911457996,0.172,1995,1825,1922,1719.0,1583.0,1659.0
2,91101,911467996,0.172,1904,1850,2128,1648.0,1606.0,1828.0
2,91102,911477994,0.172,1986,1873,2112,1710.0,1624.0,1813.0
2,91103,911487995,0.187,1943,1884,2103,1681.0,1627.0,1806.0
1,92064,921095823,0.187,1849,1751,1313,1658.0,1575.0,1221.0
2,91104,911497996,0.187,1948,1885,2115,1679.0,1631.0,1810.0
1,92065,921105824,0.203,1846,1743,1314,1662.0,1573.0,1219.0
1,92066,921115823,0.203,1847,1733,1313,1658.0,1565.0,1217.0
1,92067,921125823,0.203,1863,1723,1420,1663.0,1556.0,1309.0
1,92068,921135823,0.203,1890,1747,1264,1701.0,1578.0,1178.0
1,92069,921145823,0.219,1824,1709,1321,1639.0,1545.0,1223.0
1,92070,921155829,0.219,1889,1694,1309,1687.0,1525.0,1215.0
1,92071,921165825,0.219,1854,1742,1319,1664.0,1577.0,1227.0
1,92072,921175824,0.219,1834,1754,1310,1653.0,1581.0,1215.0
2,91105,911507995,0.234,1951,1901,2114,1680.0,1647.0,1815.0
1,92073,921185825,0.234,1838,1754,1321,1655.0,1577.0,1217.0
2,91106,911517995,0.234,1956,1882,2096,1688.0,1632.0,1803.0
2,91107,911527996,0.25,1950,1882,2118,1682.0,1632.0,1812.0
1,92074,921195823,0.25,1846,1751,1313,1664.0,1576.0,1225.0
1,92075,921205824,0.25,1849,1744,1318,1658.0,1570.0,1222.0
2,91108,911537996,0.25,1957,1881,2114,1686.0,1622.0,1817.0
2,91109,911547994,0.266,1958,1872,2096,1686.0,1620.0,1799.0
1,92076,921215824,0.266,1852,1742,1317,1661.0,1565.0,1221.0
2,91110,911557995,0.266,1947,1878,2112,1679.0,1624.0,1810.0
1,92077,921225824,0.266,1854,1728,1311,1661.0,1561.0,1219.0
1,92078,921235824,0.281,1840,1733,1314,1655.0,1566.0,1227.0
1,92079,921245824,0.281,1840,1733,1316,1653.0,1570.0,1222.0
2,91111,911567997,0.281,1953,1878,2111,1683.0,1626.0,1811.0
1,92080,921255824,0.297,1855,1732,1312,1662.0,1566.0,1219.0
1,92081,921265824,0.297,1847,1744,1312,1663.0,1576.0,1220.0
2,91113,911587996,0.297,1954,1885,2112,1692.0,1629.0,1810.0
1,92082,921275823,0.297,1849,1742,1311,1658.0,1574.0,1218.0
2,91114,911597996,0.312,1958,1888,2112,1690.0,1628.0,1809.0
1,92083,921285824,0.312,1858,1733,1316,1662.0,1566.0,1223.0
2,91116,911617995,0.312,1946,1891,1982,1681.0,1634.0,1701.0
