seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
0,342266,2277,1827,1862,2083,1649,1700
1,351395,2260,1835,1862,2028,1656,1675
2,361395,2288,1829,1869,2031,1584,1678
3,371395,2288,1827,1861,2048,1654,1675
4,381395,2285,1827,1858,2032,1655,1679
5,391395,2287,1823,1856,2027,1660,1678
6,401395,2282,1827,1850,2032,1656,1678
7,411395,2288,1833,1798,2023,1653,1678
8,421395,2287,1828,1858,2034,1662,1673
9,431396,2288,1823,1861,2031,1657,1680
10,441395,2299,1829,1808,2034,1643,1678
11,451395,2285,1824,1808,2069,1660,1679
12,461395,2285,1829,1862,2030,1651,1678
13,471395,2283,1830,1878,1995,1653,1678
14,481395,2284,1831,1869,2030,1651,1678
15,491396,2279,1826,1853,2032,1650,1675
16,501394,2280,1835,1857,2025,1714,1679
17,511395,2210,1821,1835,2025,1651,1664
18,521395,2283,1826,1853,2023,1650,1680
19,531396,2288,1827,1859,2032,1651,1620
20,541395,2285,1827,1859,2034,1652,1679
21,551395,2283,1828,1823,2031,1648,1684
22,561395,2281,1834,1858,2028,1670,1675
23,571395,2288,1831,1851,1971,1651,1676
24,581395,2288,1829,1887,2012,1651,1679
25,591395,2277,1829,1856,2021,1657,1675
26,601395,2283,1831,1904,2032,1648,1677
27,611396,2281,1827,1858,2031,1636,1675
28,621395,2282,1827,1870,2031,1648,1678
29,631395,2288,1829,1840,2021,1662,1675
30,641395,2285,1831,1862,2059,1650,1704
31,651395,2288,1829,1919,2030,1654,1677
32,661395,2288,1829,1859,2026,1651,1676
33,671395,2271,1825,1852,2032,1654,1676
34,681395,2291,1829,1859,1990,1645,1688
35,691395,2288,1829,1859,2023,1646,1673
36,701395,2277,1828,1821,2026,1652,1696
37,711395,2298,1835,1852,1979,1649,1678
38,721396,2288,1863,1862,2028,1597,1681
39,731395,2288,1829,1898,2032,1650,1717
40,741395,2243,1821,1859,2020,1650,1678
41,751395,2285,1826,1859,2031,1653,1679
42,761395,2289,1831,1850,2023,1650,1658
43,771395,2284,1830,1861,2027,1655,1676
44,781396,2263,1830,1875,2028,1654,1681
45,791395,2279,1830,1861,2033,1652,1674
46,801395,2286,1830,1861,2028,1651,1676
47,811395,2285,1823,1855,2030,1662,1677
48,821395,2288,1826,1863,2021,1662,1679
49,831395,2286,1827,1844,1988,1650,1680
50,841395,2283,1826,1859,2029,1650,1681
51,851395,2283,1825,1861,2025,1660,1679
52,861395,2286,1827,1859,2031,1662,1680
53,871395,2292,1831,1857,1957,1653,1677
54,881395,2284,1825,1811,2025,1781,1675
55,891396,2285,1829,1859,2027,1651,1655
56,901395,2286,1827,1858,2031,1645,1676
57,911395,2279,1826,1867,2026,1653,1676
58,921395,2283,1829,1850,2031,1651,1678
59,931395,2287,1830,1847,1974,1651,1609
60,941395,2281,1830,1860,2032,1650,1674
61,951396,2288,1824,1861,2025,1656,1678
62,961395,2283,1827,1856,2031,1652,1681
