seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
0,342292,4095,1374,1395,3155,1273,1303
1,351394,4095,1377,1376,3155,1277,1278
2,361395,4095,1392,1375,3155,1271,1278
3,371394,4095,1381,1377,3155,1280,1276
4,381394,4095,1377,1377,3155,1274,1279
5,391395,4095,1380,1376,3155,1297,1280
6,401394,4095,1380,1394,3155,1280,1265
7,411395,4095,1382,1389,3155,1286,1288
8,421395,4095,1382,1391,3155,1288,1290
9,431395,4095,1403,1379,3155,1285,1280
10,441395,4095,1383,1377,3155,1276,1278
11,451395,4095,1373,1375,3155,1269,1284
12,461394,4095,1375,1372,3155,1275,1280
13,471395,4095,1379,1353,3155,1278,1280
14,481395,4095,1376,1373,3155,1269,1285
15,491395,4095,1374,1382,3155,1281,1283
16,501395,4095,1378,1378,3155,1279,1285
17,511395,4095,1376,1373,3155,1278,1275
18,521394,4095,1373,1375,3155,1280,1287
19,531395,4095,1317,1375,3155,1277,1333
20,541395,4095,1378,1375,3155,1281,1319
21,551395,4095,1424,1440,3155,1288,1349
22,561394,4095,1354,1446,3155,1291,1287
23,571394,4095,1387,1263,3155,1271,1291
24,581395,4095,1376,1392,3155,1284,1277
25,591394,4095,1387,1360,3155,1292,1292
26,601394,4095,1391,1376,3155,1295,1318
27,611395,4095,1413,1349,3155,1357,1290
28,621395,4095,1392,1390,3155,1292,1339
29,631395,4095,1389,1391,3155,1292,1294
30,641394,4095,1382,1386,3155,1288,1289
31,651395,4095,1309,1383,3155,1280,1283
32,661395,4095,1387,1394,3155,1288,1290
33,671395,4095,1373,1377,3155,1277,1285
34,681395,4095,1373,1381,3155,1271,1275
35,691395,4095,1375,1378,3155,1285,1280
36,701394,4095,1373,1347,3155,1274,1283
37,711395,4095,1390,1375,3155,1252,1277
38,721395,4095,1374,1375,3155,1371,1280
39,731395,4095,1376,1365,3155,1279,1276
40,741395,4095,1374,1370,3155,1272,1280
41,751395,4095,1370,1376,3155,1248,1281
42,761395,4095,1387,1371,3155,1318,1284
