seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
0,342269,1970,1724,1583,1780,1571,1448
1,351399,1988,1655,1582,1780,1580,1445
2,361399,1983,1734,1582,1781,1572,1450
3,371399,1985,1727,1577,1780,1572,1451
4,381398,1981,1729,1581,1777,1570,1452
5,391399,1982,1731,1585,1774,1583,1451
6,401399,1983,1730,1584,1780,1586,1467
7,411399,1983,1730,1584,1811,1572,1442
8,421399,1983,1734,1582,1781,1575,1451
9,431399,1983,1729,1586,1784,1562,1451
10,441399,1984,1730,1569,1787,1569,1446
11,451399,1983,1731,1581,1780,1569,1409
12,461398,1982,1729,1582,1779,1556,1445
13,471399,1918,1730,1701,1765,1524,1451
14,481399,1982,1735,1585,1780,1571,1451
15,491398,1987,1723,1566,1781,1572,1438
16,501398,2003,1731,1591,1794,1572,1451
17,511399,1979,1731,1579,1799,1570,1453
18,521399,1983,1730,1627,1782,1518,1446
19,531399,1975,1733,1585,1777,1609,1451
20,541398,1984,1729,1630,1779,1577,1451
21,551399,1997,1725,1578,1779,1575,1451
22,561399,1985,1730,1647,1769,1575,1447
23,571399,1980,1734,1585,1779,1572,1442
24,581399,1968,1729,1575,1790,1578,1448
25,591399,1984,1731,1579,1781,1574,1446
26,601398,1968,1730,1583,1779,1573,1451
27,611399,1981,1730,1633,1779,1572,1500
28,621399,1931,1729,1577,1764,1571,1440
29,631398,1985,1734,1584,1786,1675,1449
30,641398,1985,1726,1581,1780,1557,1451
31,651399,1983,1731,1587,1782,1542,1451
32,661400,2000,1733,1575,1780,1570,1446
33,671399,1986,1733,1581,1782,1577,1450
34,681399,1986,1730,1558,1783,1574,1456
35,691399,1984,1729,1579,1780,1537,1451
36,701399,2131,1735,1569,1774,1575,1448
37,711399,1981,1730,1584,1784,1572,1451
38,721399,1987,1733,1622,1769,1569,1451
39,731399,1981,1730,1586,1779,1572,1410
40,741399,1984,1728,1584,1777,1556,1449
41,751398,2001,1735,1618,1790,1570,1450
42,761399,1984,1730,1581,1765,1570,1478
43,771399,1983,1735,1520,1779,1575,1443
44,781398,1981,1731,1584,1775,1574,1451
45,791398,1983,1730,1582,1728,1577,1432
46,801399,1984,1727,1575,1777,1583,1451
47,811398,1986,1729,1584,1777,1566,1449
48,821398,1896,1733,1581,1782,1572,1451
49,831398,1981,1730,1524,1783,1572,1548
50,841399,1981,1730,1584,1781,1575,1464
51,851399,1979,1732,1582,1784,1567,1451
52,861398,1981,1737,1583,1786,1570,1448
53,871399,1980,1728,1580,1784,1573,1442
54,881399,1984,1729,1635,1780,1570,1433
55,891398,1968,1731,1580,1782,1572,1453
56,901398,1975,1733,1589,1776,1527,1446
57,911399,1985,1728,1581,1787,1572,1451
58,921399,1989,1728,1631,1768,1569,1446
59,931399,1983,1735,1582,1781,1572,1451
60,941398,1985,1728,1582,1782,1542,1447
61,951398,1979,1731,1584,1794,1572,1451
62,961399,1983,1734,1583,1781,1574,1432
63,971398,1987,1728,1587,1782,1570,1465
64,981399,1968,1729,1584,1779,1575,1451
65,991398,1981,1730,1581,1780,1560,1451
66,1001399,1989,1731,1571,1784,1570,1451
67,1011399,1981,1732,1563,1779,1577,1449
68,1021399,1979,1728,1584,1779,1575,1451
69,1031399,1984,1728,1581,1782,1571,1516
70,1041399,1983,1739,1583,1823,1568,1451
71,1051399,1965,1737,1535,1775,1565,1446
72,1061398,1983,1732,1597,1779,1575,1437
73,1071399,1984,1726,1584,1762,1569,1444
74,1081399,1980,1733,1573,1779,1573,1448
75,1091399,1982,1729,1581,1790,1573,1445
76,1101399,1936,1731,1583,1800,1572,1448
77,1111398,1986,1733,1581,1783,1570,1446
78,1121399,1977,1730,1570,1777,1570,1371
79,1131399,2033,1730,1578,1816,1572,1449
80,1141399,1989,1727,1591,1783,1569,1449
81,1151399,1985,1731,1583,1776,1577,1449
82,1161398,1981,1730,1584,1803,1579,1446
83,1171399,1984,1734,1587,1779,1557,1452
84,1181399,1987,1733,1582,1779,1597,1449
85,1191399,1985,1733,1584,1772,1575,1451
86,1201399,1984,1733,1574,1745,1570,1451
87,1211399,1978,1731,1717,1717,1572,1451
88,1221399,1990,1733,1569,1790,1574,1450
89,1231399,2000,1728,1584,1781,1569,1446
90,1241398,1982,1728,1577,1781,1570,1453
91,1251399,1982,1731,1535,1805,1570,1442
92,1261399,1981,1733,1584,1779,1570,1443
93,1271398,1983,1732,1584,1784,1546,1450
94,1281399,1985,1733,1577,1779,1582,1451
95,1291399,1983,1735,1584,1780,1570,1454
96,1301399,1983,1731,1521,1784,1572,1448
97,1311399,1983,1734,1582,1783,1574,1394
98,1321399,1968,1732,1573,1781,1570,1445
99,1331399,1930,1737,1581,1779,1572,1448
100,1341399,1985,1729,1636,1781,1549,1446
101,1351399,1999,1729,1583,1887,1572,1455
102,1361399,1983,1728,1583,1780,1684,1448
103,1371399,1984,1728,1579,1781,1574,1445
104,1381399,1983,1733,1581,1766,1577,1381
105,1391398,1986,1730,1578,1786,1575,1450
106,1401399,1983,1728,1575,1776,1568,1449
107,1411399,1985,1727,1585,1781,1602,1448
108,1421399,1992,1730,1584,1769,1578,1448
109,1431398,1979,1741,1575,1777,1565,1451
110,1441399,1968,1731,1581,1780,1572,1442
111,1451399,1981,1732,1567,1785,1537,1451
112,1461399,1983,1728,1584,1780,1575,1446
113,1471398,1979,1726,1575,1783,1556,1443
114,1481399,1978,1734,1583,1780,1569,1410
115,1491399,2001,1730,1583,1773,1567,1451
116,1501399,1983,1734,1575,1776,1570,1446
117,1511399,1984,1730,1595,1765,1569,1446
118,1521399,1962,1735,1557,1794,1572,1451
119,1531399,1981,1732,1584,1779,1627,1445
120,1541399,1983,1741,1582,1780,1578,1449
121,1551398,1968,1728,1584,1780,1571,1446
122,1561399,1983,1729,1584,1780,1561,1451
123,1571398,1981,1728,1579,1781,1565,1436
124,1581398,1989,1731,1584,1779,1578,1451
125,1591399,1970,1728,1584,1785,1570,1446
126,1601398,1917,1718,1584,1775,1570,1369
127,1611399,1984,1733,1575,1781,1570,1442
128,1621399,1980,1728,1582,1782,1570,1448
129,1631398,1989,1731,1584,1776,1560,1450
130,1641399,1975,1728,1579,1784,1585,1451
131,1651399,1983,1733,1579,1781,1569,1449
132,1661399,1985,1732,1580,1779,1572,1449
133,1671398,1985,1730,1577,1787,1575,1446
134,1681399,1981,1737,1578,1779,1579,1451
135,1691399,1936,1731,1584,1780,1575,1451
136,1701399,1988,1731,1590,1782,1570,1452
137,1711399,1984,1735,1579,1779,1573,1451
138,1721399,1984,1733,1583,1783,1569,1451
139,1731399,1978,1729,1557,1812,1570,1440
140,1741399,1985,1735,1584,1777,1556,1451
141,1751399,1986,1731,1584,1782,1537,1451
142,1761399,1984,1733,1573,1794,1574,1449
143,1771399,1987,1727,1581,1781,1594,1453
144,1781399,1982,1729,1573,1780,1596,1447
145,1791399,2043,1734,1582,1780,1570,1452
146,1801398,2001,1729,1575,1781,1575,1451
147,1811398,1983,1733,1582,1777,1565,1446
148,1821399,1984,1733,1570,1729,1569,1444
149,1831399,2000,1730,1584,1780,1570,1459
150,1841399,1976,1733,1583,1782,1574,1452
151,1851399,1984,1728,1577,1773,1689,1451
152,1861399,1973,1732,1635,1784,1572,1410
153,1871399,1990,1731,1579,1772,1568,1461
154,1881398,1985,1733,1584,1775,1570,1450
155,1891399,1978,1734,1584,1780,1575,1448
156,1901399,1987,1729,1579,1779,1568,1446
157,1911399,1983,1730,1535,1770,1570,1449
158,1921399,1997,1731,1571,1779,1579,1446
159,1931399,1983,1725,1577,1781,1572,1451
160,1941399,1982,1729,1583,1781,1570,1463
161,1951398,1970,1729,1582,1781,1569,1450
162,1961399,1990,1733,1584,1781,1575,1449
163,1971399,1984,1733,1579,1740,1577,1442
164,1981398,1991,1729,1584,1717,1579,1446
165,1991399,1983,1733,1575,1776,1551,1450
166,2001399,1983,1729,1557,1790,1572,1448
167,2011398,1984,1734,1591,1784,1570,1451
168,2021399,1984,1733,1584,1786,1627,1443
169,2031399,1958,1728,1583,1791,1578,1450
170,2041399,1901,1733,1582,1779,1581,1450
171,2051399,1979,1726,1568,1779,1570,1467
172,2061399,2017,1730,1581,1784,1570,1448
173,2071399,1983,1735,1584,1780,1583,1449
174,2081399,1913,1737,1581,1782,1571,1449
175,2091399,1986,1729,1578,1784,1574,1440
176,2101399,1982,1731,1535,1721,1573,1449
177,2111399,1983,1729,1584,1782,1559,1447
178,2121399,1981,1731,1573,1782,1570,1443
179,2131399,1982,1733,1579,1731,1575,1451
180,2141399,1984,1728,1582,1782,1575,1446
181,2151399,1983,1733,1583,1779,1575,1446
182,2161399,1987,1728,1577,1781,1569,1448
183,2171399,2003,1733,1583,1780,1570,1456
184,2181399,1984,1733,1584,1777,1575,1448
185,2191398,1982,1735,1582,1781,1569,1438
186,2201398,1979,1732,1583,1780,1571,1451
187,2211399,1982,1702,1582,1777,1578,1446
188,2221399,1983,1731,1556,1779,1577,1451
189,2231398,1983,1732,1591,1781,1576,1448
190,2241399,1983,1731,1584,1780,1594,1446
191,2251399,1998,1734,1597,1785,1574,1450
192,2261398,1985,1733,1595,1727,1570,1444
193,2271399,1979,1737,1583,1776,1648,1445
194,2281398,1990,1731,1581,1787,1507,1446
195,2291399,1981,1730,1578,1775,1579,1456
196,2301399,1993,1732,1580,1779,1569,1451
197,2311399,1970,1735,1581,1784,1572,1451
198,2321399,1981,1729,1531,1714,1575,1446
199,2331399,1977,1729,1581,1782,1574,1445
200,2341398,1980,1732,1583,1772,1571,1450
201,2351398,2030,1728,1574,1759,1557,1449
202,2361398,1986,1728,1584,1779,1581,1451
203,2371399,1984,1733,1581,1780,1589,1451
204,2381399,1978,1733,1573,1831,1570,1455
205,2391398,1979,1732,1583,1779,1572,1449
206,2401399,1984,1726,1577,1778,1573,1446
207,2411399,1975,1731,1581,1780,1570,1448
208,2421398,1983,1731,1579,1780,1580,1446
209,2431399,1964,1732,1587,1785,1570,1449
210,2441399,1970,1729,1584,1780,1571,1442
211,2451399,1986,1730,1505,1775,1570,1435
212,2461399,1984,1732,1581,1782,1584,1451
213,2471399,1984,1735,1602,1793,1570,1435
214,2481399,1984,1737,1583,1775,1575,1451
215,2491398,1986,1737,1581,1780,1635,1453
216,2501399,1983,1728,1584,1779,1571,1446
217,2511399,1984,1737,1584,1782,1622,1451
218,2521399,1971,1731,1584,1780,1570,1452
219,2531399,1984,1733,1584,1786,1574,1450
220,2541399,1929,1732,1579,1781,1570,1452
221,2551399,1983,1731,1572,1781,1557,1451
222,2561399,1983,1731,1581,1795,1579,1458
223,2571399,1999,1735,1569,1765,1558,1479
224,2581399,1986,1745,1584,1783,1684,1451
225,2591399,1982,1730,1533,1729,1580,1454
226,2601398,1984,1728,1584,1768,1575,1448
227,2611399,1984,1733,1582,1781,1570,1451
228,2621399,2003,1731,1579,1782,1573,1451
229,2631399,1982,1728,1584,1777,1575,1445
230,2641399,1982,1729,1571,1817,1570,1446
231,2651398,1983,1732,1583,1781,1569,1451
232,2661398,1983,1734,1584,1781,1586,1446
233,2671399,1983,1729,1582,1779,1569,1460
234,2681399,1982,1737,1581,1787,1565,1458
235,2691399,1981,1730,1579,1781,1573,1441
236,2701399,1985,1734,1581,1777,1573,1451
237,2711398,1994,1728,1571,1774,1578,1445
238,2721399,1982,1727,1585,1784,1568,1445
239,2731399,1984,1729,1535,1717,1580,1450
240,2741399,1978,1731,1574,1779,1571,1448
241,2751399,1984,1730,1584,1779,1489,1452
242,2761399,1989,1728,1581,1780,1575,1477
243,2771399,1963,1727,1582,1780,1577,1436
244,2781399,1985,1731,1583,1780,1572,1451
245,2791399,1982,1731,1584,1769,1572,1432
246,2801399,1983,1728,1582,1779,1572,1447
247,2811399,1984,1728,1575,1794,1575,1447
