seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
0,342298,4043,1389,1392,3151,1291,1311
1,351400,4079,1392,1392,3146,1294,1283
2,361400,4080,1392,1403,3155,1304,1294
3,371400,4095,1392,1403,3151,1291,1292
4,381400,4078,1394,1381,3147,1291,1292
5,391399,3935,1389,1385,3148,1291,1278
6,401400,4075,1392,1392,3141,1293,1293
7,411400,4058,1393,1378,3141,1290,1290
8,421400,4059,1395,1383,3138,1292,1225
9,431400,4095,1393,1403,3139,1290,1300
10,441400,4040,1392,1390,3133,1292,1293
11,451400,4055,1399,1392,3155,1266,1292
12,461400,4078,1392,1387,3147,1304,1288
13,471399,4061,1392,1389,3135,1290,1285
14,481400,4048,1392,1391,3138,1305,1293
15,491400,4048,1392,1399,3126,1212,1290
16,501400,4056,1392,1392,3132,1251,1285
17,511400,4047,1392,1398,3139,1287,1292
18,521399,4038,1395,1392,3129,1298,1298
19,531400,4003,1392,1397,3140,1285,1214
20,541399,4031,1395,1386,3124,1294,1294
21,551400,4043,1394,1392,3123,1292,1292
22,561400,3971,1392,1395,3109,1292,1292
23,571400,3946,1391,1391,3096,1294,1258
24,581404,3770,1393,1391,2988,1290,1293
25,591404,3419,1382,1383,2853,1292,1286
26,601400,3409,1391,1393,2811,1290,1278
27,611400,3398,1391,1365,2851,1292,1306
28,621399,3402,1389,1391,2828,1292,1288
29,631400,3388,1389,1394,2839,1303,1292
30,641400,3374,1387,1382,2828,1279,1292
31,651400,3383,1392,1383,2828,1285,1268
32,661400,3387,1390,1387,2849,1288,1289
33,671400,3408,1387,1391,2841,1281,1294
34,681400,3376,1382,1390,2821,1294,1283
35,691400,3364,1382,1399,2815,1316,1289
36,701400,3391,1392,1510,2830,1283,1337
37,711400,3458,1389,1383,2841,1290,1292
38,721399,3386,1392,1391,2832,1289,1290
39,731400,3377,1389,1399,2814,1305,1292
40,741400,3362,1391,1391,2811,1291,1291
41,751400,3381,1392,1408,2820,1271,1294
42,761400,3742,1391,1377,3003,1280,1284
43,771400,3771,1390,1385,3016,1304,1316
44,781400,3816,1392,1303,3000,1298,1292
45,791400,3822,1393,1392,3041,1288,1300
46,801400,3841,1390,1392,3051,1290,1290
47,811400,3856,1393,1390,3049,1289,1410
48,821399,3842,1390,1388,3042,1291,1301
49,831400,3872,1392,1392,3057,1290,1318
50,841400,3871,1389,1465,3066,1288,1292
51,851399,3879,1392,1402,3060,1283,1280
52,861400,3845,1392,1392,3058,1273,1288
53,871400,3870,1389,1377,3072,1274,1287
54,881400,3887,1392,1395,3065,1288,1295
55,891400,3878,1393,1392,3063,1292,1292
56,901400,3851,1392,1389,3055,1210,1292
57,911400,3883,1390,1392,3061,1292,1270
58,921400,3874,1392,1392,3066,1290,1292
59,931400,3870,1392,1407,3063,1296,1285
60,941399,3799,1391,1392,3061,1292,1303
61,951400,3878,1392,1391,3076,1290,1292
62,961400,3897,1390,1392,3072,1290,1298
63,971400,3870,1391,1393,3027,1289,1288
64,981400,3362,1392,1392,2840,1294,1292
65,991400,3411,1390,1392,2844,1285,1290
66,1001400,3398,1386,1398,2841,1357,1283
67,1011400,3381,1391,1409,2789,1298,1256
68,1021400,3375,1391,1392,2827,1292,1303
69,1031400,3377,1392,1385,2818,1288,1290
70,1041400,3377,1387,1373,2826,1279,1286
71,1051400,3374,1390,1392,2823,1296,1292
72,1061400,3371,1391,1382,2832,1288,1290
73,1071400,3389,1387,1395,2817,1294,1284
74,1081400,3359,1390,1386,2817,1288,1262
