seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
0,342260,1990,1469,1488,1784,1371,1364
1,351390,1986,1482,1488,1787,1363,1366
2,361389,1986,1478,1471,1782,1386,1387
3,371390,1989,1479,1493,1782,1361,1369
4,381390,1981,1479,1474,1774,1361,1364
5,391389,1985,1477,1477,1780,1367,1369
6,401390,1991,1488,1471,1780,1363,1356
7,411390,1990,1479,1479,1745,1356,1319
8,421390,1995,1477,1466,1785,1358,1364
9,431390,1988,1475,1465,1780,1364,1360
10,441390,1994,1472,1488,1784,1473,1344
11,451390,1938,1478,1475,1768,1366,1379
12,461390,1992,1482,1637,1779,1343,1358
13,471390,1985,1479,1465,1784,1361,1321
14,481390,1994,1479,1481,1779,1361,1355
15,491390,1982,1475,1475,1781,1362,1360
16,501390,1991,1482,1394,1777,1360,1361
17,511390,1936,1483,1474,1773,1366,1366
18,521390,1979,1475,1475,1782,1363,1369
19,531390,1993,1477,1494,1750,1356,1314
20,541390,1984,1473,1478,1789,1361,1368
21,551390,1971,1478,1510,1784,1365,1345
22,561390,1985,1477,1475,1788,1364,1347
23,571390,1980,1478,1478,1774,1374,1357
24,581390,1984,1477,1479,1780,1359,1363
25,591390,1987,1476,1475,1780,1275,1347
26,601389,1987,1483,1451,1784,1364,1408
27,611390,1995,1479,1475,1781,1367,1369
28,621389,1990,1473,1473,1793,1344,1361
29,631389,1987,1486,1499,1790,1392,1362
30,641390,1982,1475,1456,1786,1366,1349
31,651390,2065,1479,1481,1783,1375,1364
32,661390,1971,1472,1471,1782,1362,1318
33,671390,1984,1479,1477,1782,1256,1366
34,681390,1993,1475,1467,1785,1356,1389
35,691390,1994,1473,1474,1845,1363,1368
36,701389,1987,1475,1409,1779,1363,1345
37,711390,1993,1472,1483,1777,1477,1362
38,721390,1987,1473,1483,1782,1375,1361
39,731390,1914,1474,1434,1779,1361,1358
40,741390,1983,1479,1474,1780,1360,1362
41,751390,2036,1477,1471,1784,1356,1371
42,761390,1968,1479,1487,1790,1345,1366
43,771390,1990,1477,1454,1784,1361,1358
44,781390,2135,1477,1474,1786,1357,1364
45,791390,1987,1474,1477,1793,1364,1364
46,801390,1986,1482,1485,1788,1361,1359
47,811390,1986,1483,1474,1784,1366,1376
48,821390,1989,1478,1456,1784,1363,1362
49,831390,1997,1479,1469,1783,1439,1360
50,841389,1991,1474,1474,1783,1366,1305
51,851390,1984,1482,1479,1784,1363,1366
52,861390,1984,1474,1487,1772,1332,1370
53,871390,1979,1483,1478,1728,1367,1361
54,881390,1989,1473,1473,1776,1361,1346
55,891390,1993,1481,1486,1782,1364,1361
56,901390,1990,1473,1467,1793,1410,1366
57,911389,1982,1475,1479,1777,1354,1358
58,921390,1985,1480,1488,1782,1362,1354
59,931390,2001,1476,1473,1779,1358,1365
60,941389,1987,1478,1393,1783,1363,1336
61,951390,1987,1479,1463,1793,1362,1371
62,961390,1981,1479,1531,1810,1359,1367
63,971389,1991,1476,1478,1766,1356,1403
64,981390,1968,1475,1484,1875,1371,1362
65,991390,1985,1479,1519,1785,1351,1371
66,1001390,1987,1481,1475,1781,1361,1367
67,1011390,1889,1478,1472,1782,1362,1366
68,1021390,1978,1475,1483,1781,1356,1357
69,1031390,1983,1471,1473,1797,1367,1345
70,1041390,1984,1481,1475,1781,1375,1362
71,1051390,1984,1483,1463,1783,1354,1345
72,1061390,2046,1474,1482,1830,1361,1345
73,1071390,2006,1475,1475,1784,1368,1361
74,1081390,1983,1478,1479,1792,1328,1352
75,1091390,1984,1481,1477,1782,1369,1372
76,1101390,1992,1473,1473,1768,1370,1359
77,1111390,1984,1479,1476,1783,1362,1366
78,1121390,1983,1478,1478,1780,1358,1357
79,1131390,1984,1479,1475,1774,1352,1358
80,1141390,1985,1482,1471,1762,1358,1361
81,1151390,1986,1475,1471,1775,1366,1367
82,1161389,1984,1481,1474,1770,1364,1359
83,1171390,1995,1473,1474,1781,1358,1361
84,1181389,1994,1485,1476,1784,1396,1363
85,1191390,1987,1479,1458,1774,1367,1356
86,1201390,1987,1481,1483,1794,1364,1347
87,1211390,1983,1474,1475,1796,1337,1356
88,1221390,1981,1475,1469,1849,1368,1352
89,1231390,1977,1479,1495,1797,1371,1363
90,1241390,1985,1474,1475,1787,1361,1356
91,1251390,1988,1479,1477,1779,1374,1360
92,1261390,1986,1477,1474,1783,1359,1359
93,1271390,1985,1473,1474,1785,1360,1360
94,1281390,1990,1477,1472,1784,1358,1359
95,1291390,1997,1477,1478,1779,1360,1364
96,1301390,1927,1474,1463,1782,1366,1349
97,1311390,1984,1474,1481,1768,1350,1359
98,1321390,2043,1477,1508,1784,1359,1351
99,1331390,1991,1457,1473,1784,1364,1363
100,1341390,1975,1475,1476,1783,1362,1428
101,1351390,1987,1478,1473,1777,1358,1359
102,1361390,1989,1481,1475,1782,1306,1359
103,1371390,1993,1472,1474,1789,1256,1355
104,1381390,1989,1477,1477,1787,1327,1364
105,1391390,1991,1475,1472,1776,1355,1357
106,1401390,1987,1481,1409,1770,1354,1359
107,1411390,1983,1474,1463,1772,1375,1357
108,1421390,1979,1477,1473,1790,1361,1330
109,1431390,1877,1484,1475,1781,1357,1350
110,1441390,1989,1478,1488,1786,1400,1364
111,1451390,1991,1477,1483,1779,1356,1345
112,1461390,1998,1479,1648,1783,1361,1354
113,1471390,1975,1479,1469,1787,1361,1354
114,1481389,1985,1481,1471,1779,1366,1347
115,1491389,1996,1480,1471,1800,1361,1368
116,1501390,1981,1481,1467,1776,1367,1357
117,1511389,1984,1475,1475,1776,1364,1372
118,1521390,1987,1477,1472,1777,1371,1356
119,1531389,1988,1478,1489,1746,1363,1359
120,1541390,1991,1474,1488,1788,1330,1358
121,1551390,1987,1476,1435,1779,1356,1359
122,1561390,2072,1446,1458,1783,1367,1363
123,1571389,1975,1476,1479,1782,1370,1368
124,1581390,1981,1478,1472,1780,1359,1362
125,1591390,1994,1473,1471,1782,1356,1356
126,1601390,1981,1474,1487,1787,1362,1345
127,1611390,1983,1468,1487,1783,1351,1349
128,1621390,1990,1461,1465,1786,1266,1360
129,1631390,1985,1463,1454,1714,1356,1358
130,1641390,1915,1467,1462,1755,1354,1344
131,1651390,1979,1466,1456,1794,1345,1356
132,1661390,1949,1467,1458,1797,1355,1354
133,1671390,1981,1460,1463,1781,1360,1337
134,1681390,1975,1467,1459,1777,1313,1347
135,1691389,1983,1469,1461,1786,1343,1347
136,1701390,1991,1466,1466,1782,1356,1347
137,1711390,1994,1458,1450,1783,1352,1358
138,1721390,1991,1465,1467,1772,1484,1347
139,1731390,1978,1467,1460,1760,1362,1366
140,1741390,1936,1477,1473,1783,1360,1351
141,1751390,1983,1473,1479,1794,1361,1348
142,1761390,1972,1473,1461,1792,1360,1360
143,1771390,1979,1471,1456,1791,1383,1361
144,1781390,1984,1474,1475,1781,1358,1361
145,1791390,1989,1478,1484,1785,1310,1366
