seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
0,342270,1883,1985,2109,1697,1785,1866
1,351400,1885,1988,2090,1693,1784,1868
2,361400,1881,1998,2079,1699,1785,1860
3,371400,1797,1979,2083,1706,1782,1865
4,381399,1883,1985,2096,1703,1781,1868
5,391400,1885,1997,2086,1689,1781,1861
6,401400,1885,1982,2085,1658,1782,1882
7,411400,1878,1987,2086,1694,1779,1874
8,421400,1887,1988,2086,1700,1770,1866
9,431400,1886,1983,2087,1812,1793,1866
10,441400,1884,1984,2087,1701,1784,1867
11,451400,1881,1984,2112,1706,1787,1979
12,461400,1881,1999,2079,1698,1781,1861
13,471400,1885,1987,2080,1705,1794,1869
14,481400,1872,1984,2045,1698,1794,1885
15,491401,1887,1998,2064,1701,1784,1863
16,501400,1890,1982,2085,1703,1884,1866
17,511401,1881,1989,2089,1703,1788,1865
18,521400,1894,1986,2082,1689,1860,1865
19,531400,1881,1984,2086,1698,1789,1865
20,541400,1888,1983,2090,1702,1779,1865
21,551401,1885,1987,2081,1699,1781,1865
22,561400,1873,1983,2085,1692,1782,1869
23,571400,1886,1986,2091,1702,1781,1862
24,581400,1886,1987,2078,1701,1779,1866
25,591401,1889,1989,2096,1690,1783,1874
26,601400,1927,1988,2089,1694,1779,1869
27,611400,1877,1991,2087,1701,1797,1869
28,621400,1883,1982,2088,1702,1782,1874
29,631400,1866,1987,2087,1698,1784,1858
30,641401,1897,1991,2091,1698,1784,1877
31,651401,1879,1973,2091,1699,1783,1861
32,661401,1883,1985,2080,1690,1802,1873
33,671400,1872,1991,2103,1698,1780,1867
34,681401,1899,1984,2090,1703,1789,1874
35,691401,1871,1986,2089,1703,1777,1864
36,701401,1894,1985,2092,1701,1781,1862
37,711400,1882,1987,2093,1696,1779,1865
38,721400,1877,1995,2078,1696,1706,1862
39,731400,1879,1985,2082,1711,1790,1861
40,741401,1840,1991,2093,1699,1795,1866
41,751401,1885,1989,2087,1698,1794,1871
42,761400,1882,1987,2077,1681,1792,1864
43,771400,1888,1984,2009,1703,1833,1874
44,781401,1885,1989,2089,1696,1784,1874
45,791401,1883,1986,2179,1699,1784,1853
46,801400,1887,1991,2087,1699,1787,1882
47,811401,1950,1994,2079,1704,1779,1869
48,821401,1882,1986,2089,1698,1780,1871
49,831401,1881,1986,2091,1691,1777,1869
50,841401,1889,1985,2064,1700,1785,1869
51,851400,1913,1986,2083,1699,1784,1872
52,861400,1873,1992,2085,1703,1793,1863
53,871400,1887,1990,2080,1701,1866,1860
54,881400,1885,1989,2030,1698,1792,1895
55,891400,1887,1989,2092,1693,1779,1871
56,901400,1886,1991,2015,1715,1783,1865
57,911400,1879,1985,2091,1698,1768,1871
58,921400,1877,1987,2087,1700,1784,1868
59,931401,1879,1984,2087,1698,1737,1874
60,941400,2045,1986,2090,1698,1782,1842
61,951400,1885,1989,2084,1697,1786,1883
62,961400,1882,1987,2122,1698,1784,1869
63,971400,1892,1985,2081,1702,1784,1865
64,981400,1877,1985,2096,1723,1790,1888
65,991400,1878,1991,2085,1702,1777,1925
66,1001400,1884,1993,2089,1689,1916,1879
67,1011401,2043,1986,2086,1700,1780,1869
68,1021400,1878,1983,2089,1694,1786,1868
69,1031401,1884,1989,2000,1704,1789,1866
70,1041401,1889,1987,2087,1712,1787,1872
71,1051400,1879,1995,2102,1703,1774,1869
72,1061401,1883,1989,2096,1769,1788,1858
73,1071400,1866,1985,2078,1703,1787,1862
74,1081400,1883,1989,2095,1708,1785,1873
75,1091400,1879,1983,2091,1703,1785,1861
76,1101400,1973,1989,2074,1658,1781,1865
77,1111400,1885,1991,2079,1692,1790,1871
78,1121400,1891,1986,2083,1693,1785,1874
79,1131401,1889,1985,2110,1715,1779,1864
80,1141401,1887,1986,2089,1700,1784,1869
81,1151400,1891,1988,2078,1699,1779,1869
82,1161401,1884,1931,2091,1699,1781,1864
83,1171400,1876,1987,2081,1697,1768,1865
84,1181401,1918,1987,2131,1626,1783,1860
85,1191400,1903,1987,2086,1698,1786,1865
86,1201401,1962,1982,2005,1693,1783,1859
87,1211401,1883,1986,2086,1697,1782,1869
88,1221400,1881,1985,2091,1701,1785,1862
89,1231401,1883,1983,2087,1700,1785,1874
90,1241400,1887,1985,2090,1697,1786,1869
91,1251400,1837,1989,2096,1684,1790,1869
92,1261401,1878,1995,2086,1694,1793,1874
93,1271401,1882,1990,2090,1698,1780,1881
94,1281401,1886,1987,2089,1697,1785,1850
95,1291400,1895,1990,2091,1701,1787,1869
96,1301400,1891,1985,2080,1693,1785,1869
97,1311401,1885,1991,2090,1698,1785,1891
98,1321400,1805,1985,2063,1644,1770,1926
99,1331401,1882,1986,2083,1697,1780,1865
100,1341401,1886,2000,2091,1703,1783,1862
101,1351400,1952,1986,2127,1689,1785,1869
102,1361401,1889,1990,2095,1696,1782,1862
103,1371400,1886,1987,2084,1650,1783,1876
104,1381400,1901,1989,2087,1662,1787,1869
105,1391400,1887,1990,2094,1693,1783,1874
106,1401400,1885,1986,2087,1692,1760,1867
107,1411401,1830,1990,2096,1671,1782,1866
108,1421400,1875,1989,2107,1687,1784,1874
109,1431401,1882,1990,2080,1698,1712,1874
