seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
222,2559301,4095,139,142,3150,259,258
223,2569300,4095,144,135,3150,262,257
224,2579301,4095,144,129,3150,259,264
225,2589300,4095,138,152,3150,260,254
226,2599301,4095,158,139,3150,258,254
227,2609300,4095,135,140,3150,259,240
228,2619301,4095,141,134,3150,260,258
229,2629301,4095,137,135,3150,254,257
230,2639300,4095,142,144,3150,259,286
231,2649300,4095,157,144,3150,259,257
232,2659300,4095,139,141,3150,256,249
233,2669301,4095,142,133,3150,247,276
234,2679300,4095,157,142,3150,259,254
235,2689300,4095,135,140,3150,255,254
236,2699300,4095,144,138,3150,256,253
237,2709300,4095,147,135,3150,258,254
238,2719300,4095,146,143,3150,260,258
239,2729300,4095,141,128,3150,253,255
240,2739301,4095,142,133,3150,258,255
241,2749300,4095,138,136,3150,260,260
242,2759300,4095,143,131,3150,259,254
243,2769301,4095,141,140,3150,259,258
244,2779301,4095,145,133,3150,260,256
245,2789301,4095,144,141,3150,254,256
246,2799300,4095,141,133,3150,260,259
247,2809301,4095,139,139,3150,259,256
248,2819301,4095,145,137,3150,256,255
249,2829301,4095,137,141,3150,259,258
250,2839301,4095,144,143,3150,261,258
251,2849300,4095,140,141,3150,260,254
252,2859300,4095,141,137,3150,256,254
253,2869301,4095,142,128,3150,253,260
254,2879300,4095,144,143,3150,259,256
255,2889301,4095,144,147,3150,254,255
256,2899300,4095,143,143,3150,256,256
257,2909300,4095,145,135,3150,260,254
258,2919300,4095,144,139,3150,259,260
259,2929300,4095,144,138,3150,259,260
260,2939300,4095,141,110,3150,259,258
261,2949300,4095,138,131,3150,264,261
262,2959300,4095,144,140,3150,259,259
263,2969301,4095,140,138,3150,256,260
264,2979301,4095,139,138,3150,259,255
265,2989301,4095,134,138,3150,260,256
266,2999301,4095,141,134,3150,262,255
267,3009300,4095,144,135,3150,260,253
268,3019301,4095,135,139,3150,260,260
269,3029300,4095,144,132,3150,259,245
270,3039300,4095,143,141,3150,258,256
271,3049300,4095,144,156,3150,259,250
272,3059300,4095,141,142,3150,261,252
273,3069300,4095,143,138,3150,260,260
274,3079300,4095,144,130,3150,259,250
275,3089301,4095,145,141,3150,268,245
276,3099301,4095,143,132,3150,262,259
277,3109301,4092,139,138,3150,254,253
278,3119301,4095,131,138,3150,260,255
279,3129301,4095,139,139,3150,272,253
280,3139300,4095,144,135,3150,258,257
281,3149301,4095,142,144,3150,258,256
282,3159300,4095,140,155,3150,260,256
283,3169300,4095,139,133,3150,256,255
284,3179300,4095,142,141,3150,263,255
285,3189301,4095,143,134,3150,256,258
286,3199300,4095,141,141,3150,260,235
287,3209300,4095,135,143,3150,276,249
288,3219300,4095,142,141,3150,256,254
289,3229301,4095,144,139,3150,259,256
290,3239300,4095,144,148,3150,260,251
291,3249301,4095,128,143,3150,258,258
292,3259301,4095,146,144,3150,252,255
293,3269300,4095,139,147,3150,251,268
294,3279300,4095,139,136,3150,258,260
295,3289300,4095,148,124,3150,259,268
