seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
0,353074,4095,880,874,3155,862,865
1,362282,4095,885,875,3155,871,866
2,372282,4095,882,875,3155,865,863
3,382282,4095,879,878,3155,871,867
4,392282,4095,880,875,3155,875,865
5,402286,4095,880,873,3155,871,857
6,412282,4095,883,819,3155,844,865
7,422282,4095,878,875,3155,875,860
8,432282,4095,880,878,3155,884,867
9,442282,4095,881,882,3155,870,865
10,452282,4095,880,879,3155,867,864
11,462282,4095,881,871,3155,869,859
12,472282,4095,884,873,3155,892,862
13,482282,4095,863,850,3155,762,847
14,492282,4095,880,854,3155,853,848
15,502282,4095,855,850,3155,858,848
16,512282,4095,862,853,3155,852,844
17,522282,4095,866,855,3155,857,847
18,532281,4095,851,854,3155,854,851
19,542282,4095,866,896,3155,852,847
20,552282,4095,832,853,3155,854,848
21,562282,4095,867,850,3155,856,846
22,572282,4095,864,848,3155,850,860
23,582282,4095,858,863,3155,857,862
24,592282,4095,861,860,3155,857,853
25,602282,4095,864,855,3155,855,853
26,612282,4095,869,788,3155,860,857
27,622282,4095,873,869,3155,869,856
28,632282,4095,882,877,3155,869,867
29,642282,4095,875,863,3155,865,860
30,652282,4095,880,897,3155,868,861
31,662282,4095,880,874,3155,869,865
32,672282,4095,898,886,3155,883,874
33,682282,4095,880,873,3155,869,907
34,692282,4095,862,870,3155,859,862
35,702282,4095,877,871,3155,869,863
36,712282,4095,870,866,3155,868,857
37,722282,4095,875,864,3155,861,860
38,732282,4095,880,866,3155,862,854
39,742282,4095,871,860,3155,864,855
40,752282,4095,869,859,3155,859,852
41,762282,4095,867,858,3155,865,857
42,772282,4095,808,863,3155,859,846
43,782282,4095,869,863,3155,779,853
44,792282,4095,869,859,3155,843,848
45,802283,4095,867,842,3155,865,857
46,812282,4095,950,859,3155,853,860
47,822282,4095,870,858,3155,864,857
48,832282,4095,875,865,3155,863,854
49,842282,4095,875,864,3155,859,854
50,852282,4095,881,866,3155,868,853
51,862283,4095,865,865,3155,863,857
52,872282,4095,877,859,3155,867,853
53,882282,4095,874,861,3155,829,848
54,892282,4095,869,864,3155,857,855
55,902282,4095,871,854,3155,867,809
56,912282,4095,861,862,3155,848,854
57,922282,4095,874,864,3155,862,811
58,932282,4095,886,859,3155,860,853
59,942282,4095,871,855,3155,856,848
60,952282,4095,868,839,3155,844,848
61,962282,4095,865,797,3155,853,843
62,972282,4095,974,859,3155,857,853
63,982286,4095,872,858,3155,865,852
64,992282,4095,855,858,3155,857,854
65,1002283,4095,865,862,3155,858,848
66,1012282,4095,859,858,3155,863,853
67,1022282,4095,871,859,3155,865,847
68,1032282,4095,873,855,3155,856,856
69,1042282,4095,873,784,3155,856,852
70,1052282,4095,879,858,3155,867,843
71,1062282,4095,866,854,3155,866,857
72,1072282,4095,870,800,3155,859,943
73,1082282,4095,851,857,3155,867,857
74,1092282,4095,871,859,3155,860,851
75,1102282,4095,875,850,3155,861,861
76,1112282,4095,866,859,3155,859,850
77,1122282,4095,950,861,3155,858,853
78,1132282,4095,872,858,3155,860,852
79,1142282,4095,866,864,3155,860,848
80,1152282,4095,869,859,3155,859,858
81,1162281,4095,863,812,3155,859,869
82,1172282,4095,874,862,3155,861,859
83,1182282,4095,871,866,3155,824,859
84,1192282,4095,876,851,3155,843,848
85,1202282,4095,858,863,3155,861,857
86,1212286,4095,871,865,3155,867,856
87,1222282,4095,878,867,3155,822,862
88,1232282,4095,880,878,3155,899,857
89,1242282,4095,875,863,3155,862,855
90,1252282,4095,880,864,3155,871,856
91,1262282,4095,893,889,3155,882,871
92,1272282,4095,885,864,3155,867,828
93,1282282,4095,880,878,3155,898,867
94,1292286,4095,880,866,3155,869,859
95,1302282,4095,880,864,3155,867,856
96,1312282,4095,875,866,3155,869,858
97,1322282,4095,879,865,3155,870,855
98,1332282,4095,880,848,3155,863,855
99,1342282,4095,791,871,3155,871,856
100,1352282,4095,899,875,3155,869,861
101,1362282,4095,874,867,3155,869,866
102,1372282,4095,890,885,3155,881,833
103,1382282,4095,874,866,3155,869,860
104,1392282,4095,867,866,3155,862,857
105,1402282,4095,871,864,3155,842,857
106,1412282,4095,885,866,3155,866,830
107,1422282,4095,872,866,3155,862,855
108,1432283,4095,848,869,3155,864,858
109,1442282,4095,878,861,3155,858,860
110,1452282,4095,874,874,3155,817,862
111,1462282,4095,878,809,3155,858,857
112,1472282,4095,879,867,3155,868,878
113,1482282,4095,883,867,3155,867,857
114,1492282,4095,879,802,3155,864,862
115,1502282,4095,912,870,3155,869,858
116,1512282,4095,881,878,3155,870,862
117,1522282,4095,880,876,3155,869,811
118,1532282,4095,877,875,3155,864,859
119,1542282,4095,881,873,3155,866,864
120,1552281,4095,882,879,3155,871,867
121,1562282,4095,885,873,3155,867,867
122,1572282,4095,893,912,3155,882,871
