seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
0,340083,4095,1388,1382,3150,1281,1280
1,349293,4095,1382,1375,3150,1276,1276
2,359292,4095,1391,1371,3150,1281,1273
3,369292,4095,1378,1378,3150,1277,1280
4,379292,4095,1417,1375,3150,1274,1270
5,389292,4095,1392,1373,3150,1284,1276
6,399292,4095,1392,1375,3150,1274,1273
7,409292,4095,1389,1379,3150,1282,1269
8,419292,4095,1388,1377,3150,1283,1267
9,429292,4095,1382,1379,3150,1273,1269
10,439292,4095,1392,1386,3150,1278,1245
11,449292,4095,1385,1389,3150,1270,1273
12,459292,4095,1379,1381,3150,1284,1274
13,469292,4095,1391,1381,3150,1276,1269
14,479292,4095,1386,1381,3150,1276,1283
15,489292,4095,1379,1375,3150,1285,1277
16,499292,4095,1381,1374,3150,1280,1272
17,509300,3055,1380,1370,2618,1277,1274
18,519292,4095,1381,1376,3150,1273,1257
19,529292,4095,1384,1379,3150,1270,1271
20,539292,4095,1384,1383,3150,1280,1283
21,549292,4095,1381,1381,3150,1274,1276
22,559292,4095,1387,1387,3150,1300,1282
23,569292,4095,1390,1386,3150,1280,1282
24,579292,4095,1391,1385,3150,1295,1277
25,589292,4095,1392,1384,3150,1284,1280
26,599292,4095,1383,1381,3150,1282,1282
27,609292,4095,1383,1386,3150,1285,1274
28,619292,4095,1381,1383,3150,1285,1273
29,629293,4095,1382,1385,3150,1284,1283
30,639292,4095,1392,1390,3150,1282,1277
31,649292,4095,1391,1387,3150,1284,1277
32,659292,4095,1383,1379,3150,1282,1269
33,669292,4095,1387,1395,3150,1285,1258
34,679292,4095,1383,1373,3150,1280,1274
35,689292,4095,1389,1391,3150,1277,1282
36,699292,4095,1391,1376,3150,1271,1282
37,709292,4095,1391,1379,3150,1282,1283
38,719292,4095,1392,1383,3150,1283,1277
39,729292,4095,1393,1381,3150,1281,1279
40,739292,4095,1382,1390,3150,1282,1283
41,749292,4095,1380,1387,3150,1284,1277
42,759292,4095,1390,1382,3150,1285,1277
43,769292,4095,1382,1387,3150,1273,1277
44,779292,4095,1386,1384,3150,1281,1273
45,789292,4095,1389,1378,3150,1284,1280
46,799292,4095,1389,1385,3150,1277,1273
47,809292,4095,1375,1382,3150,1277,1276
48,819292,4095,1385,1373,3150,1270,1271
49,829292,4095,1374,1367,3150,1248,1272
50,839292,4095,1377,1382,3150,1266,1271
51,849292,4095,1367,1371,3150,1271,1263
52,859293,4095,1365,1366,3150,1266,1260
53,869293,4095,1373,1374,3150,1264,1277
54,879292,4095,1369,1362,3150,1270,1273
55,889292,4095,1375,1376,3150,1269,1262
56,899292,4095,1376,1371,3150,1273,1266
57,909292,4095,1375,1379,3150,1271,1259
58,919292,4095,1366,1369,3150,1281,1263
