seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
0,342274,1874,1813,2254,1700,1643,2000
1,351403,1884,1809,2194,1698,1587,2005
2,361403,1887,1776,2254,1701,1662,2004
3,371403,1880,1810,2255,1702,1636,2003
4,381403,1873,1811,2247,1698,1641,2002
5,391404,1882,1811,2355,1791,1648,2003
6,401403,1870,1815,2251,1699,1640,2004
7,411403,1889,1818,2219,1694,1660,2004
8,421403,1885,1815,2240,1661,1641,1971
9,431403,1881,1818,2256,1700,1641,2002
10,441403,1890,1813,2254,1705,1562,2006
11,451403,1888,1815,2224,1703,1636,2011
12,461403,1879,1815,2256,1704,1636,2006
13,471403,1889,1811,2255,1697,1628,2001
14,481403,1887,1809,2256,1693,1640,2003
15,491403,1886,1811,2253,1700,1650,2006
16,501403,2015,1814,2223,1752,1636,2002
17,511403,1885,1810,2249,1703,1636,2001
18,521403,1881,1810,2255,1696,1646,1995
19,531403,1890,1814,2229,1714,1641,2003
20,541403,1878,1813,2255,1699,1617,2004
21,551403,1875,1811,2210,1689,1640,2003
22,561403,1886,1814,2252,1700,1643,2000
23,571404,1883,1818,2256,1697,1641,1998
24,581403,1881,1815,2259,1702,1637,2002
25,591403,1883,1816,2256,1689,1644,2006
26,601403,1887,1809,2253,1693,1636,2004
27,611403,1891,1813,2253,1700,1637,2001
28,621403,1881,1810,2252,1703,1643,2003
29,631403,1888,1816,2256,1699,1643,2004
30,641404,1885,1817,2255,1700,1640,2003
31,651403,1905,1811,2255,1700,1644,2028
32,661403,1884,1811,2247,1701,1643,1998
33,671403,1885,1817,2256,1700,1639,2049
34,681403,1851,1818,2179,1736,1644,1974
35,691403,1807,1820,2250,1689,1644,2046
36,701404,1881,1814,2250,1693,1610,2006
37,711403,1890,1809,2250,1693,1638,2006
38,721403,1887,1815,2256,1727,1635,2000
39,731404,1969,1816,2256,1706,1636,2003
40,741404,1887,1810,2254,1717,1646,2004
41,751404,1886,1813,2253,1698,1644,2006
42,761404,1886,1814,2254,1702,1643,2008
43,771403,1878,1813,2256,1688,1557,2002
44,781403,1879,1818,2256,1711,1636,2003
45,791403,1887,1813,2256,1701,1641,1993
46,801404,1889,1819,2275,1694,1641,2031
47,811403,1887,1814,2256,1700,1636,2002
48,821403,1883,1817,2256,1693,1636,2006
49,831403,1885,1813,2256,1700,1641,1995
50,841403,1883,1811,2246,1705,1643,2003
51,851404,1888,1808,2255,1700,1643,2002
52,861403,1890,1818,2256,1687,1645,2002
53,871404,1872,1813,2259,1693,1641,2006
54,881403,1886,1816,2254,1701,1641,1969
55,891404,1886,1815,2247,1730,1635,1998
56,901403,1889,1818,2258,1694,1642,2004
57,911404,1878,1818,2241,1700,1596,2006
58,921403,1887,1813,2203,1715,1641,2006
59,931403,1875,1813,2257,1704,1636,2003
60,941404,1891,1814,2262,1696,1639,2006
61,951403,1882,1812,2198,1691,1653,2005
62,961404,1881,1815,2256,1698,1570,2006
63,971403,1884,1815,2245,1692,1641,1997
64,981403,1886,1811,2255,1762,1639,2005
65,991404,1887,1813,2254,1696,1641,2006
66,1001403,1840,1814,2258,1700,1637,2003
67,1011403,1874,1815,2252,1701,1641,2015
68,1021403,1891,1815,2256,1704,1641,2031
69,1031404,1894,1815,2259,1697,1625,2006
70,1041403,1886,1814,2257,1699,1646,2005
71,1051404,1880,1811,2250,1701,1636,2006
72,1061403,1876,1814,2256,1702,1645,2004
73,1071403,1895,1812,2254,1698,1647,2006
74,1081403,1893,1819,2246,1686,1651,1993
75,1091403,1887,1814,2253,1705,1641,2007
76,1101404,1883,1813,2256,1694,1636,1979
77,1111404,1885,1818,2287,1702,1641,2016
78,1121403,1886,1811,2256,1698,1638,2003
79,1131403,1887,1809,2256,1702,1650,2006
80,1141403,1886,1814,2256,1703,1636,2006
81,1151403,1886,1813,2246,1697,1645,2006
82,1161403,1922,1812,2255,1703,1640,1957
83,1171403,1886,1810,2245,1693,1638,2023
84,1181404,1882,1819,2187,1650,1645,2005
85,1191403,1879,1818,2251,1697,1641,2003
86,1201403,1883,1810,2256,1688,1636,1998
87,1211403,1884,1817,2254,1701,1638,2002
88,1221403,1886,1815,2254,1705,1645,2006
89,1231403,1855,1814,2250,1698,1679,2006
90,1241403,1890,1815,2254,1702,1658,2002
91,1251404,1901,1817,2251,1698,1574,1998
92,1261404,1883,1819,2207,1694,1651,2006
93,1271404,1886,1811,2252,1698,1641,2005
94,1281404,1886,1813,2331,1708,1637,2005
95,1291403,1847,1814,2249,1696,1636,1969
96,1301404,1876,1821,2256,1699,1645,2006
97,1311404,1827,1817,2249,1704,1688,1997
98,1321403,1882,1808,2252,1688,1635,1994
99,1331403,1859,1819,2260,1702,1637,2031
100,1341404,1892,1814,2238,1702,1636,1995
101,1351403,1881,1813,2251,1708,1647,2007
102,1361404,1884,1821,2289,1699,1646,2006
103,1371403,1872,1810,2260,1719,1641,1985
104,1381404,1890,1809,2256,1702,1645,2006
105,1391403,1884,1812,2254,1703,1646,1979
106,1401403,1885,1809,2253,1700,1639,2006
107,1411403,1882,1811,2256,1699,1640,1998
108,1421404,1904,1810,2256,1693,1638,2005
109,1431404,1888,1811,2252,1700,1637,2004
110,1441403,1899,1814,2251,1704,1638,1990
111,1451403,1881,1815,2243,1702,1637,2001
112,1461403,1891,1811,2259,1701,1638,2003
113,1471403,1901,1814,2254,1702,1636,2005
114,1481404,1888,1814,2254,1700,1584,2006
115,1491404,1885,1815,2211,1698,1641,2006
116,1501404,1887,1812,2257,1699,1635,2005
117,1511403,1895,1813,2256,1704,1643,2002
118,1521403,1887,1811,2256,1699,1641,2006
119,1531403,1933,1813,2255,1722,1641,2007
120,1541403,1890,1811,2253,1699,1641,2006
121,1551403,1883,1822,2254,1698,1636,2003
122,1561403,1886,1816,2254,1699,1640,2014
123,1571403,1889,1814,2253,1700,1644,2006
124,1581403,1874,1814,2256,1703,1645,2005
125,1591403,1881,1810,2260,1698,1641,1993
126,1601403,1869,1825,2254,1699,1637,2006
127,1611403,1885,1811,2238,1684,1636,2006
128,1621404,1887,1818,2251,1701,1637,2005
129,1631403,1892,1811,2256,1702,1660,2006
130,1641404,1885,1815,2253,1700,1639,2004
131,1651404,1877,1809,2254,1701,1641,2006
132,1661403,1907,1816,2251,1701,1638,2003
133,1671403,1886,1808,2256,1696,1644,1998
134,1681403,1890,1813,2256,1701,1641,1971
135,1691403,1888,1811,2192,1698,1643,2007
136,1701403,1884,1818,2241,1665,1645,2004
137,1711403,1887,1809,2249,1698,1637,2004
138,1721404,1883,1813,2248,1703,1582,2002
139,1731404,1883,1867,2352,1694,1646,2025
140,1741403,1885,1810,2253,1684,1645,2002
141,1751403,1886,1815,2253,1693,1641,2002
142,1761403,1888,1813,2253,1684,1643,2042
143,1771403,1885,1814,2245,1691,1636,2001
144,1781403,1893,1819,2250,1693,1638,2004
145,1791404,1872,1813,2255,1757,1636,2005
146,1801404,1886,1815,2254,1701,1613,1998
147,1811403,1893,1808,2258,1700,1641,1977
148,1821403,1887,1811,2254,1700,1636,2001
149,1831403,1883,1814,2253,1698,1641,2006
150,1841404,1887,1810,2248,1760,1637,2004
151,1851404,1879,1812,2256,1633,1645,2002
152,1861403,1890,1816,2256,1698,1635,2004
153,1871403,1883,1818,2254,1693,1636,2006
154,1881403,1875,1815,2256,1690,1640,2005
155,1891403,1891,1842,2255,1701,1645,2006
156,1901403,1877,1814,2251,1698,1627,2002
157,1911403,1923,1817,2253,1698,1640,1998
158,1921404,1882,1815,2256,1763,1641,2002
159,1931403,1877,1812,2267,1701,1643,2003
160,1941403,1841,1818,2259,1694,1647,2007
161,1951403,1891,1809,2253,1702,1640,2004
162,1961403,1887,1814,2234,1693,1620,2004
163,1971403,1889,1813,2254,1698,1644,2004
164,1981403,1930,1814,2256,1707,1638,2004
165,1991403,1886,1812,2254,1697,1626,2010
166,2001403,1884,1811,2176,1647,1641,2037
167,2011403,1878,1815,2253,1703,1636,1995
168,2021403,1887,1811,2251,1695,1636,2002
169,2031403,1881,1812,2257,1693,1648,2006
170,2041403,1888,1811,2256,1699,1650,2005
171,2051403,1895,1811,2252,1698,1638,2003
172,2061403,1902,1814,2253,1688,1641,1998
173,2071403,1879,1813,2253,1698,1641,2015
174,2081403,1886,1811,2255,1703,1641,2001
175,2091403,1891,1813,2254,1696,1635,1998
176,2101403,1886,1809,2278,1697,1644,2017
177,2111403,1887,1815,2235,1703,1637,2002
178,2121403,1885,1812,2251,1697,1640,2004
179,2131403,1916,1819,2283,1705,1628,1991
180,2141403,1879,1811,2247,1700,1636,2000
181,2151403,1885,1814,2255,1703,1640,2004
182,2161403,1870,1815,2256,1699,1639,2004
183,2171403,1889,1815,2254,1697,1644,2005
184,2181403,1892,1812,2253,1700,1662,2005
185,2191403,1827,1813,2247,1692,1637,2010
186,2201404,1881,1816,2250,1701,1688,2002
187,2211403,1887,1811,2298,1715,1641,2004
188,2221404,1886,1810,2255,1701,1638,2006
189,2231404,1890,1812,2256,1700,1630,1998
190,2241403,1883,1814,2258,1700,1572,2002
191,2251403,1882,1818,2208,1717,1641,1953
192,2261403,1890,1817,2253,1703,1638,2003
193,2271403,1883,1808,2256,1704,1641,2006
194,2281403,1879,1811,2251,1708,1625,2003
195,2291403,1911,1821,2249,1741,1639,2002
196,2301403,1872,1813,2256,1698,1644,2000
197,2311403,1886,1813,2255,1675,1641,1997
198,2321404,1886,1808,2256,1703,1644,2006
199,2331403,1925,1812,2254,1699,1641,2003
200,2341404,1887,1811,2255,1702,1641,2002
201,2351403,1889,1818,2256,1646,1644,1997
202,2361403,1883,1812,2261,1700,1640,2005
203,2371403,1882,1811,2256,1696,1636,2006
204,2381404,1886,1811,2201,1696,1636,2003
205,2391403,1877,1808,2251,1703,1654,2006
206,2401404,1887,1811,2246,1701,1643,1992
207,2411403,1890,1815,2255,1702,1613,2004
208,2421403,1878,1812,2250,1706,1608,2002
209,2431404,1885,1810,2253,1698,1641,2003
210,2441404,1879,1814,2255,1698,1641,2008
211,2451403,1881,1815,2251,1697,1641,2085
212,2461404,1838,1810,2257,1700,1645,2006
213,2471404,1886,1808,2251,1701,1648,2004
214,2481403,1882,1814,2255,1703,1640,2012
215,2491403,1880,1808,2257,1691,1646,2001
216,2501403,1887,1815,2253,1698,1557,2006
217,2511403,1884,1837,2255,1701,1636,2006
218,2521404,1886,1808,2254,1702,1651,2000
219,2531403,1893,1818,2274,1697,1640,2005
220,2541404,1885,1809,2251,1701,1637,2004
221,2551404,1889,1813,2255,1701,1636,1993
222,2561403,1819,1820,2265,1706,1646,2002
223,2571403,1879,1813,2256,1691,1644,2004
224,2581403,1880,1808,2251,1709,1639,2025
225,2591403,1876,1815,2233,1705,1638,2027
226,2601403,1870,1812,2254,1694,1647,2005
227,2611403,1875,1809,2253,1690,1638,2002
228,2621403,1878,1808,2256,1701,1641,2002
229,2631403,1886,1809,2267,1701,1636,2000
230,2641403,1882,1818,2256,1701,1646,2005
231,2651403,1889,1811,2256,1702,1663,2006
232,2661403,1805,1782,2241,1697,1636,2003
233,2671404,1885,1814,2254,1698,1640,2017
234,2681403,1885,1814,2239,1701,1642,2064
235,2691403,1853,1818,2255,1708,1636,2004
236,2701403,1878,1810,2240,1697,1641,2005
237,2711403,1870,1813,2247,1689,1639,1990
238,2721404,1893,1809,2253,1702,1638,2000
239,2731404,1883,1815,2247,1698,1609,2006
240,2741403,1882,1814,2256,1698,1630,2000
241,2751403,1889,1814,2256,1661,1640,1998
242,2761403,1879,1808,2251,1720,1636,2003
243,2771404,1883,1813,2246,1704,1636,2003
244,2781403,1899,1821,2255,1700,1644,1998
245,2791403,1839,1814,2254,1665,1645,2007
246,2801403,1885,1817,2254,1698,1636,1996
247,2811403,1885,1810,2246,1708,1643,2004
248,2821403,1883,1811,2255,1660,1636,2001
249,2831403,1889,1810,2247,1705,1637,2005
250,2841403,1883,1821,2265,1693,1655,1953
251,2851404,1870,1812,2255,1700,1646,2004
252,2861404,1883,1818,2251,1699,1637,2004
253,2871403,1882,1808,2261,1698,1636,2009
254,2881404,1875,1823,2256,1714,1641,2002
255,2891403,1883,1809,2256,1699,1636,2003
256,2901403,1885,1815,2250,1696,1622,2006
257,2911404,1888,1824,2259,1703,1640,1961
258,2921403,1813,1808,2256,1715,1643,2006
259,2931404,1883,1814,2245,1694,1636,2006
260,2941403,1809,1795,2219,1698,1636,1990
261,2951403,1886,1799,2256,1707,1636,2002
262,2961403,1869,1869,2240,1693,1641,2002
263,2971403,1883,1835,2283,1689,1636,2003
264,2981403,1883,1804,2256,1694,1651,2002
265,2991403,1888,1821,2255,1689,1643,2017
266,3001404,1881,1813,2253,1696,1644,2005
267,3011404,1888,1817,2257,1703,1622,2004
268,3021404,1875,1819,2247,1698,1652,2004
269,3031403,1886,1819,2244,1673,1646,2005
270,3041403,1882,1808,2256,1699,1641,2002
271,3051403,1883,1808,2246,1698,1646,2005
272,3061404,1877,1813,2255,1701,1644,1995
273,3071403,1887,1808,2255,1700,1641,2003
274,3081403,1893,1810,2254,1689,1646,2006
275,3091404,1889,1807,2251,1705,1646,1998
276,3101404,1885,1815,2303,1686,1638,2006
277,3111404,1887,1818,2256,1699,1651,2006
278,3121404,1888,1809,2251,1698,1636,2005
279,3131404,1883,1813,2256,1700,1638,2006
280,3141404,1881,1821,2254,1697,1613,2005
