seq,t_us,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
0,340091,4095,0,0,3150,142,142
1,349300,4095,0,0,3150,142,142
2,359301,4095,0,0,3150,142,142
3,369300,4095,12,0,3150,142,142
4,379300,4095,0,0,3150,142,142
5,389300,4095,0,0,3150,142,142
6,399300,4095,0,0,3150,142,142
7,409300,4095,0,0,3150,142,142
8,419300,4095,0,0,3150,142,142
9,429300,4095,0,0,3150,142,142
10,439300,4095,0,0,3150,142,142
11,449300,4095,0,0,3150,142,142
12,459300,4095,0,0,3150,142,142
13,469300,4095,0,0,3150,142,142
14,479300,4095,0,0,3150,142,142
15,489300,4095,0,0,3150,142,142
16,499300,4095,0,0,3150,142,142
17,509300,4095,0,0,3150,142,142
18,519300,4095,0,0,3150,142,142
19,529300,4095,0,0,3150,142,142
20,539300,4095,0,0,3150,142,142
21,549300,4095,0,0,3150,142,144
22,559300,4095,0,0,3150,142,142
23,569300,4095,0,0,3150,142,142
24,579300,4095,0,0,3150,142,142
25,589300,4095,0,0,3150,142,142
26,599300,4095,0,0,3150,142,142
27,609300,4095,0,0,3150,142,142
28,619300,4095,0,0,3150,142,142
29,629300,4095,0,0,3150,142,142
30,639300,4095,0,0,3150,142,142
31,649300,4095,0,0,3150,142,142
32,659300,4095,0,0,3150,142,142
33,669300,4095,0,0,3150,142,142
34,679300,4095,0,0,3150,142,142
35,689301,4095,0,0,3150,142,142
36,699300,4095,0,0,3150,142,142
37,709300,4095,0,0,3150,144,142
38,719300,4095,0,0,3150,142,142
39,729300,4095,0,0,3150,142,142
40,739300,4095,0,0,3150,142,142
41,749300,4095,0,0,3150,142,142
42,759300,4095,0,0,3150,142,142
43,769300,4095,0,0,3150,142,142
44,779300,4095,0,0,3150,142,142
45,789300,4095,0,0,3150,142,149
46,799300,4095,0,0,3150,142,142
47,809300,4095,0,0,3150,142,142
48,819300,4095,0,0,3150,142,142
49,829300,4095,0,0,3150,142,142
50,839300,4095,0,0,3150,142,142
