pose,run_file,samples,duration_s,freq_hz,seq_jumps,raw_x_mean,raw_y_mean,raw_z_mean,mv_x_mean,mv_y_mean,mv_z_mean,dominant_channel_observed,dominant_sign_observed,dominance_ratio,expected_channel,expected_sign,status
pos_x,sensor_C_pos_x_20260322_100543.csv,805,8.039129,100.010834507072,0,2296.83975155279,427.783850931677,424.296894409938,2039.31925465839,495.072049689441,493.555279503106,x,1,4.11923730280805,x,1,ok
pos_x,sensor_C_pos_x_20260322_100727.csv,792,7.90913,100.010999945632,0,2292.58207070707,415.785353535354,413.669191919192,2034.86237373737,485.542929292929,483.22601010101,x,1,4.19090105317904,x,1,ok
neg_x,sensor_C_neg_x_20260322_102138.csv,802,8.00913,100.010862603054,0,1580.53117206983,1101.01496259352,1099.91271820449,1448.20573566085,1052.00872817955,1051.74314214464,x,1,1.37661000034372,x,-1,sign_inverted
neg_x,sensor_C_neg_x_20260322_102310.csv,792,7.909131,100.010987300628,0,1557.30303030303,1120.49242424242,1118.79671717172,1427.07070707071,1068.38636363636,1067.73863636364,x,1,1.33572531028337,x,-1,sign_inverted
pos_y,sensor_C_pos_y_20260322_102733.csv,792,7.90913,100.010999945632,0,1985.65909090909,1468.43308080808,1464.58712121212,1782.83333333333,1353.79545454545,1351.44191919192,x,1,1.31691484658732,y,1,axis_permuted
pos_y,sensor_C_pos_y_20260322_102903.csv,794,7.929105,100.011287528668,0,3440.08060453401,1709.15365239295,1706.96095717884,2855.22670025189,1553.11586901763,1552.20151133501,x,1,1.83838614826456,y,1,axis_permuted
neg_y,sensor_C_neg_y_20260322_103241.csv,793,7.919102,100.011339669574,0,4095,1403.59773013871,1403.16771752837,3155,1300.23076923077,1301.56494325347,x,1,2.42400505357311,y,-1,axis_permuted
neg_y,sensor_C_neg_y_20260322_103426.csv,796,7.949102,100.011296873534,0,4094.96984924623,1376.21105527638,1377.38065326633,3154.72864321608,1279.05778894472,1278.89572864322,x,1,2.4664473102649,y,-1,axis_permuted
pos_z,sensor_C_pos_z_20260322_103811.csv,792,7.909101,100.011366652164,0,4091.04545454545,1785.67550505051,1786.75631313131,3153.51893939394,1618.0404040404,1618.10353535354,x,1,1.94889812085166,z,1,axis_permuted
pos_z,sensor_C_pos_z_20260322_103938.csv,793,7.9191,100.011364927833,0,4088.65573770492,1785.01891551072,1787.08575031526,3151.24842370744,1618.76166456494,1617.96973518285,x,1,1.94670314518127,z,1,axis_permuted
neg_z,sensor_C_neg_z_20260322_104725.csv,793,7.919103,100.011327040449,0,4093.28373266078,1307.55359394704,1307.1500630517,3152.184110971,1221.46153846154,1222.39596469105,x,1,2.57869315837253,z,-1,axis_permuted
neg_z,sensor_C_neg_z_20260322_104855.csv,797,7.959101,100.011295245531,0,4092.71894604768,1280.44667503137,1280.25846925972,3153.71894604768,1200.16185696361,1199.48557089084,x,1,2.62774468939259,z,-1,axis_permuted
