pose,run_file,samples,duration_s,freq_hz,seq_jumps,raw_x_mean,raw_y_mean,raw_z_mean,mv_x_mean,mv_y_mean,mv_z_mean,dominant_channel_observed,dominant_sign_observed,dominance_ratio,dominant_abs_value_mv,second_channel_observed,second_abs_value_mv,ambiguous_low_ratio,expected_channel,expected_sign,status
pos_x,sensor_C_pos_x_20260322_111504.csv,796,7.949102,100.011296873534,0,3568.32035175879,1393.2148241206,1394.07788944724,2913.24497487437,1293.43844221106,1293.9648241206,x,1,2.25140971421248,2913.24497487437,z,1293.9648241206,0,x,1,ok
pos_x,sensor_C_pos_x_20260322_111643.csv,792,7.909106,100.011303426708,0,3301.48232323232,1399.30050505051,1399.78282828283,2770.12752525253,1299.78282828283,1297.93181818182,x,1,2.1312233589916,2770.12752525253,y,1299.78282828283,0,x,1,ok
pos_x,sensor_C_pos_x_20260322_111810.csv,792,7.909105,100.011316071793,0,3546.98737373737,1403.9797979798,1404.57323232323,2887.7196969697,1301.42424242424,1303.08080808081,x,1,2.21607108251618,2887.7196969697,z,1303.08080808081,0,x,1,ok
neg_x,sensor_C_neg_x_20260322_112213.csv,795,7.939107,100.011248116444,0,3508.14968553459,1449.17987421384,1450.10440251572,2887.87295597484,1340.00754716981,1339.02893081761,x,1,2.15511693353834,2887.87295597484,y,1340.00754716981,0,x,-1,sign_inverted
neg_x,sensor_C_neg_x_20260322_112342.csv,792,7.909101,100.011366652164,0,3524.19065656566,1465.24116161616,1464.08712121212,2882.88636363636,1352.01262626263,1351.82070707071,x,1,2.1322924857629,2882.88636363636,y,1352.01262626263,0,x,-1,sign_inverted
neg_x,sensor_C_neg_x_20260322_112521.csv,793,7.919101,100.011352298702,0,3755.39974779319,1490.81715006305,1492.16771752837,2994.72383354351,1374.62799495586,1374.81336696091,x,1,2.17827663413216,2994.72383354351,z,1374.81336696091,0,x,-1,sign_inverted
pos_y,sensor_C_pos_y_20260322_112844.csv,792,7.90913,100.010999945632,0,2338.41666666667,1712.55681818182,1713.4797979798,2073.68308080808,1557.08080808081,1557.69318181818,x,1,1.33125258877209,2073.68308080808,z,1557.69318181818,0,y,1,axis_permuted
pos_y,sensor_C_pos_y_20260322_113009.csv,792,7.90913,100.010999945632,0,2280.37878787879,1698.77904040404,1699.30681818182,2025.81944444444,1545.12626262626,1545.15025252525,x,1,1.3110824925496,2025.81944444444,z,1545.15025252525,0,y,1,axis_permuted
pos_y,sensor_C_pos_y_20260322_113138.csv,792,7.90913,100.010999945632,0,2229.04292929293,1695.14015151515,1695.58838383838,1983.36616161616,1542.32702020202,1542.18813131313,x,1,1.28595695701186,1983.36616161616,y,1542.32702020202,1,y,1,ambiguous
neg_y,sensor_C_neg_y_20260322_113521.csv,793,7.91913,100.010986055286,0,2120.00126103405,1326.86002522068,1327.17402269861,1894.99495586381,1238.76923076923,1239.10466582598,x,1,1.52932597877082,1894.99495586381,z,1239.10466582598,0,y,-1,axis_permuted
neg_y,sensor_C_neg_y_20260322_113710.csv,793,7.919131,100.010973426251,0,2137.92938209332,1329.19546027743,1329.58764186633,1907.95460277427,1240.41740226986,1239.4842370744,x,1,1.53815530101632,1907.95460277427,y,1240.41740226986,0,y,-1,axis_permuted
neg_y,sensor_C_neg_y_20260322_113839.csv,794,7.929131,100.01095958687,0,2198.05667506297,1319.25062972292,1320.1838790932,1958.13727959698,1231.97229219144,1232.98236775819,x,1,1.58813080446338,1958.13727959698,z,1232.98236775819,0,y,-1,axis_permuted
pos_z,sensor_C_pos_z_20260322_114145.csv,790,7.889102,100.011382791096,0,4095,1734.00379746835,1732.99240506329,3155,1573.25696202532,1573.98734177215,x,1,2.00446338815393,3155,z,1573.98734177215,0,z,1,axis_permuted
pos_z,sensor_C_pos_z_20260322_114310.csv,792,7.909102,100.011354007067,0,4095,1733.74368686869,1732.68434343434,3155,1572.92424242424,1574.25631313131,x,1,2.00412091327394,3155,z,1574.25631313131,0,z,1,axis_permuted
pos_z,sensor_C_pos_z_20260322_114438.csv,792,7.909102,100.011354007067,0,3822.40404040404,1725.17171717172,1726.24494949495,3030.47348484848,1567.875,1567.20075757576,x,1,1.93285401250003,3030.47348484848,y,1567.875,0,z,1,axis_permuted
neg_z,sensor_C_neg_z_20260322_114932.csv,794,7.929106,100.011274915482,0,3458.92317380353,1359.83375314861,1360.53778337531,2864.63853904282,1267.29471032746,1266.27204030227,x,1,2.2604359630781,2864.63853904282,y,1267.29471032746,0,z,-1,axis_permuted
neg_z,sensor_C_neg_z_20260322_115059.csv,792,7.909106,100.011303426708,0,3497.29797979798,1328.47601010101,1329.12373737374,2885.88131313131,1241.30429292929,1240.26515151515,x,1,2.32487821847539,2885.88131313131,y,1241.30429292929,0,z,-1,axis_permuted
neg_z,sensor_C_neg_z_20260322_115227.csv,793,7.919102,100.011339669574,0,3542.70239596469,1340.83606557377,1343.02522068096,2910.35561160151,1250.94577553594,1250.8184110971,x,1,2.32652419354839,2910.35561160151,y,1250.94577553594,0,z,-1,axis_permuted
