pose,run_file
pos_x,sensor_C_pos_x_20260322_111504.csv
pos_x,sensor_C_pos_x_20260322_111643.csv
pos_x,sensor_C_pos_x_20260322_111810.csv
neg_x,sensor_C_neg_x_20260322_112213.csv
neg_x,sensor_C_neg_x_20260322_112342.csv
neg_x,sensor_C_neg_x_20260322_112521.csv
pos_y,sensor_C_pos_y_20260322_112844.csv
pos_y,sensor_C_pos_y_20260322_113009.csv
pos_y,sensor_C_pos_y_20260322_113138.csv
neg_y,sensor_C_neg_y_20260322_113521.csv
neg_y,sensor_C_neg_y_20260322_113710.csv
neg_y,sensor_C_neg_y_20260322_113839.csv
pos_z,sensor_C_pos_z_20260322_114145.csv
pos_z,sensor_C_pos_z_20260322_114310.csv
pos_z,sensor_C_pos_z_20260322_114438.csv
neg_z,sensor_C_neg_z_20260322_114932.csv
neg_z,sensor_C_neg_z_20260322_115059.csv
neg_z,sensor_C_neg_z_20260322_115227.csv
