pose,run_file,samples,duration_s,freq_hz,seq_jumps,mean_gx,mean_gy,mean_gz,mean_gnorm,mean_abs_gnorm_err,expected_axis_mean,cross_axis_abs_mean,dominant_axis,dominant_sign,axis_match,sign_match,exact_match
pos_x,sensor_C_pos_x_20260322_111504.csv,796,7.949102,100.011296873534,0,-0.735088205195117,-0.637538242664382,-0.740026460586941,1.22247652028389,0.222476520283887,-0.735088205195117,0.688782351625661,z,-1,0,0,0
pos_x,sensor_C_pos_x_20260322_111643.csv,792,7.909106,100.011303426708,0,3.68232253830852,-0.596754731563608,-0.715183289338436,3.79830259762534,2.79830259762534,3.68232253830852,0.655969010451022,x,1,1,1,1
pos_x,sensor_C_pos_x_20260322_111810.csv,792,7.909105,100.011316071793,0,0.0527656668865679,-0.586203256432678,-0.682937907610227,0.901566780169553,0.0984332198304468,0.0527656668865679,0.634570582021452,z,-1,0,1,0
neg_x,sensor_C_neg_x_20260322_112213.csv,795,7.939107,100.011248116444,0,0.0480352306074293,-0.338178842471425,-0.45781395848613,0.571196930541089,0.428803069458911,-0.0480352306074293,0.397996400478778,z,-1,0,0,0
neg_x,sensor_C_neg_x_20260322_112342.csv,792,7.909101,100.011366652164,0,0.201949562002195,-0.261006792897421,-0.377705875861249,0.501567443313049,0.498432556686951,-0.201949562002195,0.319356334379335,z,-1,0,0,0
neg_x,sensor_C_neg_x_20260322_112521.csv,793,7.919101,100.011352298702,0,-3.2499847926096,-0.11562879576507,-0.233715091328568,3.2604284863371,2.2604284863371,3.2499847926096,0.174671943546819,x,-1,1,1,1
pos_y,sensor_C_pos_y_20260322_112844.csv,792,7.90913,100.010999945632,0,25.1785214942791,1.0572295778063,0.911563799510559,25.2171891292158,24.2171891292158,1.0572295778063,13.0450426468948,x,1,0,1,0
pos_y,sensor_C_pos_y_20260322_113009.csv,792,7.90913,100.010999945632,0,26.6558629509256,0.980382372775802,0.833014112877888,26.686889885628,25.686889885628,0.980382372775802,13.7444385319017,x,1,0,1,0
pos_y,sensor_C_pos_y_20260322_113138.csv,792,7.90913,100.010999945632,0,27.9662104183949,0.962388049417901,0.814463925154893,27.9946149716152,26.9946149716152,0.962388049417901,14.3903371717749,x,1,0,1,0
neg_y,sensor_C_neg_y_20260322_113521.csv,793,7.91913,100.010986055286,0,30.6938436646432,-0.98896742217601,-1.08358641711885,30.7288830743171,29.7288830743171,0.98896742217601,15.888715040881,x,1,0,1,0
neg_y,sensor_C_neg_y_20260322_113710.csv,793,7.919131,100.010973426251,0,30.2938359531757,-0.978372508825606,-1.08120936452434,30.32890903435,29.32890903435,0.978372508825606,15.68752265885,x,1,0,1,0
neg_y,sensor_C_neg_y_20260322_113839.csv,794,7.929131,100.01095958687,0,28.7449158437124,-1.03266006899838,-1.12192710958913,28.7853312317132,27.7853312317132,1.03266006899838,14.9334214766508,x,1,0,1,0
pos_z,sensor_C_pos_z_20260322_114145.csv,790,7.889102,100.011382791096,0,-8.19701020078468,1.16121447823644,1.01360544611766,8.34067091405922,7.34067091405922,1.01360544611766,4.67911233951056,x,-1,0,1,0
pos_z,sensor_C_pos_z_20260322_114310.csv,792,7.909102,100.011354007067,0,-8.19701020078468,1.15907566237776,1.01528987050385,8.3405782859483,7.3405782859483,1.01528987050385,4.67804293158122,x,-1,0,1,0
pos_z,sensor_C_pos_z_20260322_114438.csv,792,7.909102,100.011354007067,0,-4.35342042654795,1.12661770157116,0.971104683378488,4.600497925427,3.600497925427,0.971104683378488,2.74001906405956,x,-1,0,1,0
neg_z,sensor_C_neg_z_20260322_114932.csv,794,7.929106,100.011274915482,0,0.765180227571422,-0.805597558006843,-0.913451618308496,1.43836089529827,0.438360895298274,0.913451618308496,0.785388892789132,z,-1,1,1,1
neg_z,sensor_C_neg_z_20260322_115059.csv,792,7.909106,100.011303426708,0,0.109508548623335,-0.972671324401312,-1.07631891324495,1.45483470901095,0.454834709010953,1.07631891324495,0.541089936512323,z,-1,1,1,1
neg_z,sensor_C_neg_z_20260322_115227.csv,793,7.919102,100.011339669574,0,-0.645906177447032,-0.910693142672185,-1.01022946844655,1.50569597498704,0.505695974987044,1.01022946844655,0.778299660059609,z,-1,1,1,1
