pose,run_file,samples,duration_s,freq_hz,seq_jumps,mv_x_mean,mv_y_mean,mv_z_mean
pos_z,sensor_C_pos_z_20260321_131713.csv,1195,11.93913,100.00728696312,0,1793.88953974895,1784.52468619247,1860.78410041841
pos_z,sensor_C_pos_z_20260321_131840.csv,1191,11.899131,100.007303054315,0,1792.71620486986,1784.70193115029,1861.34592779177
pos_z,sensor_C_pos_z_20260321_132019.csv,1203,12.019131,100.007230140016,0,1791.54779717373,1782.33582709892,1863.0182876143
pos_z,sensor_C_pos_z_20260321_132204.csv,1195,11.939129,100.007295339551,0,1791.95146443515,1781.6719665272,1864.15815899582
pos_z,sensor_C_pos_z_20260321_132349.csv,1192,11.90913,100.007305319532,0,1793.35654362416,1780.44295302013,1866.03104026846
neg_z,sensor_C_neg_z_20260321_132804.csv,1197,11.959131,100.007266414257,0,1812.67251461988,1559.01754385965,1474.27234753551
neg_z,sensor_C_neg_z_20260321_132949.csv,1193,11.91913,100.007299190461,0,1816.7870913663,1562.27074601844,1466.7795473596
neg_z,sensor_C_neg_z_20260321_133129.csv,1190,11.88913,100.007317608606,0,1804.99915966387,1569.13613445378,1452.95210084034
neg_z,sensor_C_neg_z_20260321_133305.csv,1195,11.93913,100.00728696312,0,1779.70543933054,1573.02092050209,1449.18242677824
neg_z,sensor_C_neg_z_20260321_133454.csv,1192,11.909129,100.007313717065,0,1777.04362416107,1576.16946308725,1445.02936241611
